Arabic	﻿English
على، حول	about
فوق	above
مجدداً	again
على وشك	almost
بجانب (bijá:nib)	along
سابِقاً، قبل الآن، قد، الآن	already
تقريباً	approximately
مثل	as
أمام	before
قبل	before
خلف، وراء	behind
بين	between
عبر	by
مباشرة	directly
أسفل	down
باكراً	early
في أيٍ مِنهما	either
بشكل كافٍ	enough
حتى	even
بالضبط	exactly
آخر واحد	finally
أولاً	first
نحو الأمام	forward
بصورة عامه	generally
هنا	here
إلى هنا	here
رغم	however
فوراً	immediately
في	in
حقـا: تستعمل للتوكيد	indeed
داخل	inside
بدلا من	instead
متأخراً	late
فيما بعد	later
الأقل	least
قليلاً	little
فقط	merely
أكثر (ʔakθar)	more
ابداً	never
لا	not
حالياً	now
كما يبدو بِوضوح	obviously
تِكراراً	often
خارج	outside
من فضلك (min fáɖlak)	please
ربما	possibly
من المحتمل	probably
فِي الواقِع، فِي الحقِيقة، فِعلاً	really
جدا	really
مؤخرا	recently
ببطء	slowly
جداً	so
وحده, وحيداً	solely
أحيانا	sometimes
قريبا، عما قريب	soon
دائماً	still
هكذا	such
فجأة (faj’áa)	suddenly
بالتأكيد	surely
ثم	then
هناك	there
لِذلِك	therefore
اليوم	today
معاً	together
غداً	tomorrow
الليلة (al-léila)	tonight
أيضاً	too
فوق	up
عادةً	usually
جداً	very
جيداً	well
