Bulgarian	﻿English
навсякъде	about
над	above
отново	again
почти	almost
покрай	along
преди	already
винаги	always
приблизително	approximately
зад	behind
между	between
направо	directly
рано	early
всеки	either
достатъчно	enough
подходящ	exactly
първо	first
обичайно	generally
тук	here
тук	here
обаче	however
веднага	immediately
използва се за подсилване	indeed
от вътре	inside
в замяна	instead
късно	late
малък	little
само	merely
не е	not
до колкото се вижда	obviously
често	often
веднъж	once
особено	particularly
моля (mólja)	please
може би	possibly
навярно	probably
бързо	quickly
действително	really
много	really
на скоро	recently
бавно	slowly
не след дълго	soon
все още	still
подобен	such
определено	surely
тогава	then
натам (natam), нататък (natatäk)	there
днес	today
заедно	together
утре	tomorrow
довечера	tonight
също	too
обикновено	usually
наистина	very
добре	well
