English	Bulgarian
another	друг
bad	лош
basic	основен
beautiful	красив
better	за предпочитане
big	голям
clean	чист
cold	студен
correct	верен
dark	тъмен
difficult	труден
fast	бърз
good	възпитан
great	велик
great	страхотен
happy	щастлив
healthy	здрав
heavy	тежък
hot	горещ
important	важен
left	ляв
light	лек
near	наблизко
new	модерен
nice	приятен
real	истински
right	десен
sharp	остър
slow	бавен
soft	мек
strong	силен
weak	слаб
wrong	неточен
after	след
ago	пред
automatic	автоматичен
available	на разположение
bitter	горчив
boring	досаден
central	главен
certain	сигурен
cheap	евтин
chemical	химически
clear	ясен
closed	затворен
common	обикновен (m)
common	общ
complete	цялостен
cruel	мъчителен
dangerous	опасен
delicate	нежен
different	различен
different	различен
down	долу
dry	сух
each	всеки
early	в началото
easy	лесен
economic	икономически
economic	пестелив
electric	електрически
equal	еднакъв
even	четен
every	всички
excellent	отличен
fake	неверен
far	далече
fat	дебел
fat	голям
few	няколко
final	краен
financial	финансов
firm	стабилен
flat	равен
following	следващ
foreign	чуждестранен
former	бивш
fragile	деликатен
free	гратисен
frequent	чест
fresh	пресен
full	пълен
full	цял
future	бъдещ
general	всеобщ
industrial	индустриален
interesting	интересен
international	международен
last	последен
legal	правен
liquid	течен
loud	шумен
low	нисък
lucky	щастлив
main	главен
major	важен
many	много
metal	метален
military	военен
modern	съвременен
narrow	тесен
natural	природен
necessary	необходим
next	съседен
normal	нормален
opposite	противоположен
original	първичен
own	мой
parallel	успореден
particular	специален
past	минал
personal	личен
political	политически
poor	беден
popular	общодостъпен
possible	възможен
present	присъстващ
previous	предишен
private	личен
probable	вероятен
professional	професионален
public	обществен
quiet	спокоен
ready	готов
recent	скорошен
regular	равен
responsible	отговорен
rigid	твърд
rough	шумен
round	кръгъл
safe	сигурен
same	еднакъв
second	допълнителен
secret	скрит
separate	разделен
serious	сериозен за
set	стандартен
several	неколцина
short	къс
silent	тих
silver	сребърен, сребърна
simple	прост
single	едничък
small	малък
smooth	гладък
solid	твърд
sparse	пръснат
special	особен
specific	определен
square	квадратен
standard	стандартен
sticky	лепкав
straight	прав
strange	странен
stylish	стилен
sudden	внезапен
sweet	сладък
tall	висок
thick	гъст
thin	тънък
tight	затегнат
true	верен
ugly	грозен
under	под
unusual	необикновен
usual	обичаен
various	разнообразен
warm	топъл
wet	мокър
whole	цял
wide	широк