Catalan	﻿English
altre	another
dolent	bad
basilar	basic
preciós	beautiful
millor	better
gran, gros	big
net	clean
fred	cold
correcte, just	correct
obscur	dark
dur	difficult
desendreçat	dirty
prompte, ràpid	fast
bon	good
gran	great
feliç	happy
sa	healthy
alt	high
lleuger	light
llarg	long
a la vora de, al costat de	near
nou	new
bonic	nice
ver, veritable	real
correcte, just	right
esmolat	sharp
semblant, similar	similar
lent	slow
bla	soft
fort	strong
feble	weak
àcid	acid
darrera de, després de	after
tot	all
alguna mena de, una mena de	any
amarg	bitter
ambdós	both
clar, nítid	bright
barat	cheap
clar	clear
tancat	closed
comú	common
sota	down
sec	dry
aviat, d'hora	early
fàcil	easy
econòmic	economic
econòmic	economic
igual	equal
llis	even
excel-lent	excellent
fals	false
gruixut	fat
gras	fat
robust	firm
pla	flat
aliè, estranger	foreign
anterior	former
desocupat, franc	free
fresc, recent	fresh
ple	full
general	general
industrial	industrial
internacional	international
legal	legal
fluid	liquid
local	local
alt, fort de so	loud
baix	low
feliç	lucky
major	main
cabdal, principal	major
molts	many
militar	military
modern	modern
més	more
molt	much
natural	natural
necessari	necessary
proper, pròxim	next
cap, ningú	no
normal	normal
sobre	on
original	original
altre	other
paraŀlel	parallel
físic	physical
pobre	poor
popular	popular
present	present
particular, privat	private
possible	probable
llest	ready
rígid	rigid
rodó	round
segur	safe
a part, apartat	separate
seriós	serious
silenciós	silent
simple	simple
llis	smooth
robust	solid
prim	sparse
especial	special
quadrat	square
delicat, exquisit	squeamish
dret	straight
elegant	stylish
sobtat	sudden
dolç	sweet
gruixut	thick
prim	thin
lleig	ugly
sota de	under
original	unusual
divers	various
calent, càlid	warm
