Catalan	﻿English
gairebé	almost
ja	already
sempre	always
aproximadament	approximately
darrera de, després de	behind
entre	between
a l'altra banda de	beyond
més enllà de, per devant de	by
directe, dret	directly
aviat, d'hora	early
bastant	enough
àdhuc, fins i tot	even
suara, tot just	exactly
darrer, últim	finally
anterior	forward
no obstant això, tanmateix	however
a, dins de	in
darrera de, després de	later
poc	little
només	merely
més	more
mai	never
no	not
ara, no abans de	now
freqüentment	often
alguna vegada, algun dia	once
fora	outside
pricipalment, sobretot	particularly
potser	possibly
versemblantment	probably
veritablement	really
veritablement	really
sol, únic	solely
aviat, prompte	soon
encara	still
alli	there
per aquesta raó, per tant	therefore
avui	today
demà	tomorrow
també	too
molt	very
bé	well
