English	Catalan
almost	gairebé
already	ja
always	sempre
approximately	aproximadament
behind	darrera de, després de
between	entre
beyond	a l'altra banda de
by	més enllà de, per devant de
directly	directe, dret
early	aviat, d'hora
enough	bastant
even	àdhuc, fins i tot
exactly	suara, tot just
finally	darrer, últim
forward	anterior
however	no obstant això, tanmateix
in	a, dins de
later	darrera de, després de
little	poc
merely	només
more	més
never	mai
not	no
now	ara, no abans de
often	freqüentment
once	alguna vegada, algun dia
outside	fora
particularly	pricipalment, sobretot
possibly	potser
probably	versemblantment
really	veritablement
really	veritablement
solely	sol, únic
soon	aviat, prompte
still	encara
there	alli
therefore	per aquesta raó, per tant
today	avui
tomorrow	demà
too	també
very	molt
well	bé
why	per què