Chinese	﻿English
上	above
又	again
几乎	almost
已经	already
总是	always
大概	approximately
直接地	directly
足够	enough
恰恰	exactly
在前	forward
这里 (zhèlǐ), 这儿 (zhèr)	here
仍然	however
立刻	immediately
在...里面 (zài...lǐmiàn)	inside
仅仅	merely
从不	never
不 (bu)	not
现在 (xiànzài)	now
常常	often
一次	once
请 (qǐng)	please
大概	possibly
真实地	really
确实	really
最近	recently
有时	sometimes
不久	soon
仍然	still
这样	such
突然 (tūrán)	suddenly
一定	surely
因此	therefore
今天	today
一起	together
明天	tomorrow
今晚 (jīnwǎn)	tonight
也	too
向上 (xiàngshàng)	up
非常	very
好	well
