Chinese	﻿English
任何人 [rèn hé rén]	anyone
任何事	anything
大家 [dà jiā], 每个人 [měi ge rén]	everybody
一切 [yī qiè], 所有 [suǒ yǒu]	everything
他 [tā]	he
她 [tā]	her
她自己 [tā zì jǐ]	herself
他 [tā]	him
他自己 [tā zì jǐ]	himself
他的	his
它 [tā]	it
它本身 [tā běn shēn], 它自己	itself
我 [wǒ]	me
我的 [wǒ de]	my
我们的 [wǒ men de]	our
她 [tā]	she
那 [nǎ], 那个 [nèi gè]	that
他们的 [tā men de]	their
他们 [tā men]	them
这些 [zhè xiē]	these
他们 [tā men]	they
这 [zhè], 这个 [zhè ge]	this
那些 [nà xiē]	those
我们 [wǒ men]	us
我们 [wǒ men]	we
什么 [shén me]	what
什么时候 [shén me shí hou], 何时 [hé shí]	when
哪个 [nǎ ge]	which
哪个 [nǎ ge]	which
谁 [shéi]	who
谁 [shéi]	whom
誰的	whose
你 [nǐ], 您 [nín]	you
你的 [nǐ de]	your
