English	Chinese
black	黑色 [hēi sè]
blue	蓝色 [lán sè]
brown	褐色 [hè sè], 棕色 [zōng sè]
gray	灰色 [huī sè]
green	绿色 [lǜ sè]
orange	橙色 [chéng sè]
pink	粉红色 [fěn hóng sè]
red	红色 [hóng sè]
violet	紫色 [zǐ sè]
white	白色 [bái sè]
yellow	黄色 [huáng sè]
couple	一对 [yī duì], 一双
eight	八 [bā]
eighteen	十八 (shíbā)
eighty	八十 [bā shí]
eleven	十一 [shí yī]
fifteen	十五 (shíwǔ)
fifty	五十 (wǔ shí)
first	第一 [dì yī]
five	五 [wǔ]
forty	四十 [sì shí]
four	四 [sì]
fourteen	十四 [shí sì]
hundred	百 [bǎi]
million	百万 [bǎi wàn]
nine	九 [jiǔ]
nineteen	十九 [shí jiǔ]
ninety	九十 [jiǔ shí]
nothing	零 [líng]
one	一 [yī]
seven	七 [qī]
seventeen	十七 (shíqī)
seventy	七十 [qī shí]
six	六 [liù]
sixteen	十六 [shí liù]
sixty	六十 [liù shí]
ten	十 [shí]
third	第三 [dì sān]
thirteen	十三 (shísān)
thirty	三十 (sānshí)
thousand	一千
thousand	千 [qiān]
three	三 [sān]
twenty	二十 [èr shí]
two	二 [èr], 两 [liǎng]
arm	手臂 [shǒu bì], 胳膊 [gē bo]
back	背 [bèi], 背部
beak	喙 [huì], 鸟嘴 [niǎo zuǐ]
blood	血 [xuè], 血液 [xuè yè]
body	身体 [shēn tǐ]
bone	骨头 [gǔ tou]
brain	脑 [nǎo], 头脑 [tóu nǎo]
breath	呼吸 [hū xī]
cell	细胞 [xì bāo]
chest	胸膛 [xiōng táng], 胸部 [xiōng bù]
chest	胸膛 [xiōng táng], 胸腔 [xiōng qiāng]
chin	下巴 [xià ba], 下颔 [xià hàn]
ear	耳 [ěr], 耳朵 [ěr duo]
eye	眼睛 [yǎn jing]
face	脸 [liǎn]
finger	手指 [shǒu zhǐ]
foot	脚 [jué], 足 [zú]
forehead	额头 [é tóu]
gene	基因 [jī yīn]
hair	头发 [tóu fa], 毛发 [máo fà]
hair	毛发 [máo fà]
hand	手 [shǒu], 爪 [zhuǎ]
head	头 [tóu], 首 [shǒu]
heart	心 [xīn], 心脏 [xīn zàng]
knee	膝 [xī], 膝盖 [xī gài]
leg	腿 [tuǐ]
lip	唇 [chún], 嘴唇 [zuǐ chún]
mouth	口 [kǒu], 嘴 [zuǐ]
muscle	肌肉 [jī ròu]
nail	指甲 [zhǐ jia]
neck	脖子 [bó zi], 颈部 [jǐng bù]
nerve	神经 [shén jīng], 神经系统 [shén jīng xì tǒng]
nose	鼻子 [bí zi]
skin	皮 [pí], 皮肤 [pí fū]
stomach	胃 [wèi], 肚子 [dù zi]
tail	尾巴 [wěi ba]
throat	喉咙 [hóu lóng], 咽喉 [yān hóu]
thumb	拇指 [mǔ zhǐ]
toe	脚趾 [jiǎo zhǐ]
tongue	舌头 [shé tou]
tooth	牙 [yá], 牙齿 [yá chǐ]
wing	翅膀 [chì bǎng], 翼 [yì]
ant	蚂蚁 [mǎ yǐ]
bear	熊 [xióng]
bee	蜜蜂 [mì fēng]
bird	鸟 [niǎo]
cat	猫 [māo]
cow	母牛 [mǔ niú]
dog	狗 [gǒu], 犬 [quǎn]
elephant	象 [xiàng], 大象 [dà xiàng]
fish	鱼 [yú]
fly	苍蝇 [cāng ying]
goat	山羊 [shān yáng]
horse	马 [mǎ]
insect	虫 [chóng], 虫子 [chóng zi]
lion	狮子 [shī zi]
monkey	猴子 [hóu zi]
pig	猪 [zhū]
sheep	羊 [yáng], 绵羊 [mián yáng]
snake	蛇 [shé]
afternoon	下午 [xià wǔ]
age	年龄 [nián líng]
April	四月 [sì yuè]
August	八月 [bā yuè]
autumn	秋天 [qiū tiān]
beginning	开始 [kāi shǐ], 最初 [zuì chū]
century	世纪 [shì jì]
date	日期 [rì qī]
day	天 [tiān]
December	十二月 [shí èr yuè]
end	终点 [zhōng diǎn], 末端 [mò duān]
evening	傍晚 [bàng wǎn]
February	二月 [èr yuè]
Friday	星期五 [xīng qī wǔ], 周五 [zhōu wǔ]
future	将来 [jiāng lái], 未来 [wèi lái]
hour	小时 [xiǎo shí], 钟头 [zhōng tóu]
January	一月 [yī yuè]
July	七月 [qī yuè]
June	六月 [liù yuè]
May	五月 [wǔ yuè]
midnight	半夜 [bàn yè], 午夜 [wǔ yè]
minute	分 [fèn], 分钟 [fēn zhōng]
moment	瞬间 [shùn jiān], 片刻 [piàn kè]
moment	瞬间 [shùn jiān]
Monday	星期一 [xīng qī yī], 周一 [zhōu yī]
month	月 [yuè]
morning	上午 [shàng wǔ]
night	夜晚 [yè wǎn]
November	十一月 [shí yī yuè]
now	现在 [xiàn zài]
October	十月 [shí yuè]
past	过去 [guò qu]
pause	暂停 [zàn tíng]
period	时期 [shí qī]
present	现在 [xiàn zài]
Saturday	星期六 [xīng qī liù]
season	季节 [jì jié]
second	秒 [miǎo]
September	九月 [jiǔ yuè]
spring	春天 [chūn tiān]
summer	夏天 [xià tiān]
Sunday	星期天 [xīng qī tiān], 周日 [zhōu rì]
Thursday	星期四 [xīng qī sì], 周四 [zhōu sì]
today	今天 [jīn tiān]
tomorrow	明天 [míng tiān]
Tuesday	星期二 [xīng qī èr]
Wednesday	星期三 [xīng qī sān]
week	星期 [xīng qī]
weekend	周末 [zhōu mò]
while	一会儿 [yī huì r], 一段时间
winter	冬天 [dōng tiān]
year	年 [nián]
bread	面包 [miàn bāo]
breakfast	早餐 [zǎo cān]
butter	黄油 [huáng yóu]
cake	蛋糕 [dàn gāo]
cheese	奶酪 [nǎi lào]
chocolate	巧克力 [qiǎo kè lì]
egg	蛋 [dàn]
food	食物 [shí wù]
fruit	水果 [shuǐ guǒ]
lunch	午饭 [wǔ fàn]
meal	一餐一顿饭
meat	肉 [ròu]
oil	油 [yóu]
rice	稻 [dào], 米 [mǐ]
salad	沙拉 [shā lā]
salt	盐 [yán]
sandwich	三明治 [sān míng zhì]
sauce	酱 [jiàng]
soup	汤 [tāng]
sugar	糖 [táng]
sweet	甜 [tián]
beer	啤酒 [pí jiǔ]
coffee	咖啡 [kā fēi]
drink	饮料 [yǐn liào]
milk	牛奶 [niú nǎi]
milkshake	奶昔 [nǎi xī]
tea	茶 [chá]
water	水 [shuǐ]
wine	葡萄酒 [pú tao jiǔ]
apple	苹果 [píng guǒ]
apricot	杏 [xìng]
banana	香蕉 [xiāng jiāo]
blackberry	黑莓 [hēi méi]
cherry	樱桃 [yīng táo]
lemon	柠檬 [níng méng]
nut	坚果 [jiān guǒ]
orange	橘子 [jú zi], 橙子 [chéng zi]
peach	桃子 [táo zi]
pear	梨子 [lí zi]
pineapple	菠萝 [bō luó]
plum	李子 [lǐ zi]
raspberry	树莓 [shù méi]
strawberry	草莓 [cǎo méi]
bean	豆 [dòu]
cabbage	卷心菜 [juǎn xīn cài]
carrot	胡萝卜 [hú luó bo]
cucumber	黄瓜 [huáng guā]
garlic	大蒜 [dà suàn]
olive	橄榄 [gǎn lǎn]
onion	洋葱 [yáng cōng]
parsnip	欧洲防风草
pea	豌豆 [wān dòu]
potato	土豆 [tǔ dòu], 马铃薯 [mǎ líng shǔ]
radish	萝卜 [luó bo]
tomato	西红柿 [xī hóng shì]
baby	婴儿 [yīng ér]
birth	出生 [chū shēng]
birthday	生日 [shēng rì]
boy	男孩 [nán hái]
brother	兄弟 [xiōng dì]
child	孩子 [hái zi]
daughter	女儿 [nǚ ér]
death	死亡 [sǐ wáng]
family	家庭 [jiā tíng]
father	爸爸 [bà ba]
friend	朋友 [péng you]
girl	小姐 [xiǎo jie]
grandfather	祖父 [zǔ fù]
human	人类 [rén lèi]
husband	丈夫 [zhàng fu]
life	生命 [shēng mìng]
man	男人 [nán rén]
marriage	婚姻 [hūn yīn]
mother	母亲 [mǔ qīn]
neighbor	邻居 [lín jū]
parent	父亲 [fù qīn], 母亲 [mǔ qīn]
person	个人 [gè rén]
relationship	关系 [guān xì]
sister	姐妹 [jiě mèi]
son	儿子 [ér zi]
wedding	婚礼 [hūn lǐ]
wedding	结婚 [jié hūn], 婚礼 [hūn lǐ]
wife	妻子 [qī zi]
woman	女人 [nǚ rén]
address	地址 [dì zhǐ]
bathroom	浴室 [yù shì]
bedroom	卧室 [wò shì]
brick	砖 [zhuān]
door	门 [mén]
floor	地板 [dì bǎn]
floor	层 [céng]
garage	车库 [chē kù]
garden	花园 [huā yuán]
gate	门 [mén]
hall	休息室 [xiū xī shì]
home	家 [jiā]
house	房子 [fáng zi]
kitchen	厨房 [chú fáng]
roof	屋顶 [wū dǐng]
room	房间 [fáng jiān]
shower	淋浴器
step	阶梯 [jiē tī], 台阶 [tái jiē]
toilet	厕所 [cè suǒ]
wall	墙壁 [qiáng bì]
well	井 [jǐng]
window	窗户 [chuāng hu]
bed	床 [chuáng]
carpet	地毯 [dì tǎn]
chair	椅子 [yǐ zi]
cupboard	壁橱 [bì chú]
curtain	帘子 [lián zi], 窗帘 [chuāng lián]
desk	书桌 [shū zhuō]
furniture	家具 [jiā jù]
seat	席位 [xí wèi]
shelf	架子 [jià zi]
sink	盥洗盆
table	桌子 [zhuō zi]
bag	手提包 [shǒu tí bāo]
boot	靴子 [xuē zi]
cloth	纺织品 [fǎng zhī pǐn], 布料 [bù liào]
clothing	衣服 [yī fu], 服装 [fú zhuāng]
coat	外套 [wài tào]
collar	衣领 [yī lǐng]
hat	帽子 [mào zi]
jacket	夹克 [jiā kè]
jewel	珠宝 [zhū bǎo]
ring	戒指 [jiè zhi]
shirt	衬衫 [chèn shān]
shoe	鞋 [xié]
skirt	裙子 [qún zi]
sock	短袜 [duǎn wà]
suitcase	手提箱 [shǒu tí xiāng]
tie	领带 [lǐng dài]
air	空气 [kōng qì]
animal	动物 [dòng wù]
branch	分枝 [fēn zhī]
evolution	进化 [jìn huà], 发展 [fā zhǎn]
farm	农场 [nóng chǎng]
field	田地 [tián dì]
fire	燃烧 [rán shāo], 火焰 [huǒ yàn]
flower	花 [huā]
forest	森林 [sēn lín]
grass	草 [cǎo]
leaf	树叶 [shù yè], 叶子 [yè zi]
life	生活 [shēng huó]
lightning	闪电 [shǎn diàn]
moisture	潮湿 [cháo shī], 湿气 [shī qì]
nature	自然 [zì rán]
plant	植物 [zhí wù]
root	根 [gēn]
sex	性别 [xìng bié]
sky	天空 [tiān kōng]
sleep	睡眠 [shuì mián]
smell	气味 [qì wèi]
smoke	烟 [yān]
spring	泉 [quán]
stem	茎 [jīng]
stream	流 [liú]
tree	树 [shù]
wave	波浪 [bō làng]
weather	天气 [tiān qì]
world	世界 [shì jiè]
airport	飞机场 [fēi jī chǎng]
bank	银行 [yín háng]
bridge	桥 [qiáo]
building	建筑物 [jiàn zhù wù]
capital	首都 [shǒu dū]
castle	城堡 [chéng bǎo]
church	教堂 [jiào táng]
cinema	电影院 [diàn yǐng yuàn]
city	城市 [chéng shì]
factory	工厂 [gōng chǎng]
flat	公寓 [gōng yù]
hospital	医院 [yī yuàn]
hotel	旅馆 [lǚ guǎn]
library	图书馆 [tú shū guǎn], 仓库 [cāng kù]
park	公园 [gōng yuán]
prison	监狱 [jiān yù]
restaurant	餐厅 [cān tīng], 饭店 [fàn diàn]
road	道路 [dào lù]
school	学校 [xué xiào]
station	火车站
street	街道 [jiē dào]
structure	结构 [jié gòu]
subway	地铁 [dì tiě]
supermarket	超级市场 [chāo jí shì chǎng], 超市 [chāo shì]
theater	剧场 [jù chǎng], 剧院 [jù yuàn]
town	城镇 [chéng zhèn]
university	大学 [dà xué]
village	乡村 [xiāng cūn], 村庄 [cūn zhuāng]
accident	事故 [shì gù]
boat	小船 [xiǎo chuán]
bus	公共汽车 [gōng gòng qì chē]
car	汽车 [qì chē]
curve	拐弯 [guǎi wān]
express	快车 [kuài chē]
flight	飞行 [fēi xíng]
journey	旅游 [lǚ yóu]
passenger	乘客 [chéng kè]
plane	飞机 [fēi jī]
ship	轮船 [lún chuán]
skid	滑倒 [huá dǎo]
track	铁轨 [tiě guǐ]
train	火车 [huǒ chē]
transport	运输 [yùn shū]
actor	艺人 [yì rén]
actress	女演员 [nǚ yǎn yuán]
businessman	商人 [shāng rén], 老板 [lǎo bǎn]
expert	专家 [zhuān jiā]
general	将军 [jiāng jūn]
journalist	记者 [jì zhě]
judge	裁判 [cái pàn]
leader	领导人 [lǐng dǎo rén], 首领 [shǒu lǐng]
minister	部长 [bù zhǎng]
musician	音乐家 [yīn yuè jiā]
photographer	摄影师 [shè yǐng shī]
pilot	飞行员 [fēi xíng yuán]
policeman	警察 [jǐng chá]
politician	政治家 [zhèng zhì jiā]
president	总统 [zǒng tǒng]
professional	专业人员
representative	代表 [dài biǎo]
sailor	水手 [shuǐ shǒu]
scientist	科学家 [kē xué jiā]
secretary	秘书 [mì shū], 书记 [shū ji]
servant	仆人 [pú rén], 佣人 [yōng rén]
soldier	士兵 [shì bīng]
writer	作家 [zuò jiā]
bank	堤 [dī], 岸 [àn]
beach	沙滩 [shā tān]
current	水流 [shuǐ liú]
direction	方向 [fāng xiàng]
Earth	地球 [dì qiú]
east	东方 [dōng fāng]
height	海拔
hill	山丘 [shān qiū]
island	岛 [dǎo]
lake	湖 [hú]
land	土地 [tǔ dì]
map	地图 [dì tú]
Moon	月亮 [yuè liang]
north	北方 [běi fāng]
plain	平原 [píng yuán]
region	地区 [dì qū], 区域 [qū yù]
river	河流 [hé liú]
sea	大海 [dà hǎi]
south	南方 [nán fāng]
space	空间 [kōng jiān]
star	星 [xīng]
sun	太阳 [tài yáng]
west	西方 [xī fāng]
cloud	云 [yún]
dew	露水 [lù shuǐ]
fog	雾 [wù]
frost	霜 [shuāng]
rain	雨 [yǔ]
rainbow	彩虹 [cǎi hóng]
snow	雪 [xuě]
storm	暴风雨 [bào fēng yǔ]
thunder	雷 [léi]
wind	风 [fēng]
acid	酸 [suān]
chemical	化学物质
chemical element	化学元素 [huà xué yuán sù]
coal	煤 [méi]
cotton	棉布 [mián bù]
dust	灰尘 [huī chén]
earth	土壤 [tǔ rǎng], 泥土 [ní tǔ]
fat	脂肪 [zhī fáng]
glass	玻璃 [bō li]
glue	胶水 [jiāo shuǐ]
grain	颗粒 [kē lì]
ice	冰 [bīng]
iron	铁 [tiě]
leather	皮革 [pí gé]
liquid	液体 [yè tǐ]
matter	物质 [wù zhì]
metallic element	金属 [jīn shǔ]
oil	石油 [shí yóu]
poison	毒药 [dú yào]
powder	粉末 [fěn mò]
sand	沙 [shā]
silk	丝绸 [sī chóu]
soap	肥皂 [féi zào]
steel	钢 [gāng]
wood	木头 [mù tou], 木材 [mù cái]
wool	羊毛 [yáng máo]
bag	袋子 [dài zi]
basket	篮子 [lán zi]
bottle	瓶子 [píng zi]
box	箱子 [xiāng zi]
can	罐头 [guàn tou], 听头 [tīng tóu]
cup	茶杯 [chá bēi]
drawer	抽屉 [chōu ti]
envelope	信封 [xìn fēng]
glass	杯子 [bēi zi], 玻璃杯 [bō li bēi]
plate	盘子 [pán zi]
bell	钟 [zhōng]
button	按钮 [àn niǔ]
gun	炮 [páo], 枪 [qiāng]
hammer	锤子 [chuí zi]
hook	钩 [gōu]
key	钥匙 [yào shi]
lock	锁 [suǒ]
match	火柴 [huǒ chái]
nail	钉 [dīng], 钉子 [dīng zi]
needle	针 [zhēn]
pump	泵 [bèng]
rope	绳子 [shéng zi]
scissors	剪刀 [jiǎn dāo]
spring	弹簧 [tán huáng]
stamp	印章 [yìn zhāng]
whip	鞭子 [biān zi]
addition	加 [jiā]
angle	角 [jué]
area	区域 [qū yù], 面积 [miàn jī]
center	中心 [zhōng xīn]
circle	圆形 [yuán xíng]
curve	弯曲 [wān qū]
degree	温度 [wēn dù], 度数 [dù shù]
degree	程度 [chéng dù], 等级 [děng jí]
difference	差别 [chā bié], 不同 [bù tóng]
distance	距离 [jù lí]
division	划分 [huà fēn]
edge	边缘 [biān yuán]
element	成份 [chéng fèn]
function	功能 [gōng néng], 作用 [zuò yòng]
half	半 [bàn], 一半 [yī bàn]
limit	限度 [xiàn dù]
line	线条 [xiàn tiáo]
net	网 [wǎng]
order	规则 [guī zé]
outside	表面 [biǎo miàn], 外面 [wài mian]
percent	百分比 [bǎi fēn bǐ]
point	点 [diǎn], 圆点 [yuán diǎn]
purpose	功能 [gōng néng], 用处 [yòng chu]
result	结果 [jié guǒ]
root	被乘数
rule	规则 [guī zé], 惯例 [guàn lì]
set	集合 [jí hé]
side	旁边 [páng biān]
square	正方形 [zhèng fāng xíng]
square	平方 [píng fāng], 二次方 [èr cì fāng]
substitution	替换 [tì huàn]
surface	表面 [biǎo miàn]
total	总和 [zǒng hé]
act	行动
action	行动
activity	活动
addition	附加设备
amount	数量
attack	攻打
attempt	企图
behavior	行为
bit	碎片
campaign	市场活动, 市场活动
case	服务案例
chance	机会
change	变化
choice	选择
condition	条件
connection	连接器
crack	裂缝
danger	危险
decoration	装饰物
defense	防御
detail	特殊
drop	水滴
fall	落下
feature	特征
fight	斗争
front	前面
