English	Chinese
anyone	任何人 [rèn hé rén]
anything	任何事
everybody	大家 [dà jiā], 每个人 [měi ge rén]
everything	一切 [yī qiè], 所有 [suǒ yǒu]
he	他 [tā]
her	她 [tā]
herself	她自己 [tā zì jǐ]
him	他 [tā]
himself	他自己 [tā zì jǐ]
his	他的
it	它 [tā]
itself	它本身 [tā běn shēn], 它自己
me	我 [wǒ]
my	我的 [wǒ de]
our	我们的 [wǒ men de]
she	她 [tā]
that	那 [nǎ], 那个 [nèi gè]
their	他们的 [tā men de]
them	他们 [tā men]
these	这些 [zhè xiē]
they	他们 [tā men]
this	这 [zhè], 这个 [zhè ge]
those	那些 [nà xiē]
us	我们 [wǒ men]
we	我们 [wǒ men]
what	什么 [shén me]
when	什么时候 [shén me shí hou], 何时 [hé shí]
which	哪个 [nǎ ge]
which	哪个 [nǎ ge]
who	谁 [shéi]
whom	谁 [shéi]
whose	誰的
you	你 [nǐ], 您 [nín]
your	你的 [nǐ de]
yourself	你自己 [nǐ zì jǐ]