Croatian	﻿English
drugi	another
slab	bad
osnovan	basic
lijep	beautiful
najbolji	best
bolji	better
velik	big
čist	clean
hladan	cold
točan	correct
mračan	dark
teško	difficult
prljav	dirty
brz	fast
dobar	good
velik	great
odličan	great
sretan	happy
zdrav	healthy
težak	heavy
visok	high
topao	hot
važan	important
lijevo	left
lagan	light
dugi	long
skoro	near
nov	new
lijep	nice
otvoreno	open
stvaran	real
desna strana	right
oštar	sharp
slično	similar
spor	slow
mekan	soft
snažan	strong
slab	weak
netočan	wrong
prošao	ago
sve	all
neki	any
automatski	automatic
dostupan	available
gorak	bitter
dosadan	boring
svijetao	bright
razbijen	broken
središnji	central
siguran	certain
jeftin	cheap
kemijski	chemical
vedar	clear
zatvoren	closed
uobičajen	common
zajednički	common
potpun	complete
grub	cruel
opasan	dangerous
spretan	delicate
različit	different
koji nije sličan	different
dolje	down
suh	dry
svaki	each
ran	early
lagan	easy
gospodarski	economic
ekonomičan	economic
električni	electric
jednak	equal
parni brojevi	even
ravan	even
svaki	every
odličan	excellent
lažan	fake
daleko	far
debeo	fat
obilan	fat
malo njih	few
konačan	final
financijski	financial
jak	firm
gladak	flat
sljedeći	following
inozeman	foreign
prošli	former
nježan	fragile
besplatna ulaznica	free
svjež	fresh
pun	full
potpun	full
dalje	further
budući	future
općenit	general
pošten	good
industrijski	industrial
zanimljiv	interesting
internacionalni	international
zadnji	last
kasno	late
zakonit	legal
tekućina	liquid
mjesni	local
glasan	loud
nizak	low
sretan	lucky
vrhovni	main
velik	major
mnogo	many
metalan	metal
vojnički	military
neznatan	minute
moderan	modern
puno	much
uzak	narrow
narodni	national
prirodan	natural
potreban	necessary
nijedan	no
normalan	normal
suprotan	opposite
izvorno	original
drugi	other
vlastit	own
paralelan	parallel
poseban	particular
prošlost	past
osobno	personal
politički	political
siromašan	poor
razumljiva	popular
moguć	possible
sadašnji	present
osobni	private
vjerojatno	probable
javno	public
tih	quiet
spreman	ready
posljednji	recent
redovit	regular
imati odgovornost	responsible
krut	rigid
osoran	rough
okrugao	round
zaštićen	safe
isti	same
drugi	second
tajni	secret
odvojen	separate
ozbiljan	serious
ustaljen	set
nekoliko	several
kratak	short
tih	silent
lak	simple
jedan jedini	single
malen	small
gladak	smooth
krut	solid
rijedak	sparse
poseban	special
specifičan	specific
četverokutan	square
standardan	standard
ljepljiv	sticky
ravan	straight
čudan	strange
po modi	stylish
nenadan	sudden
sladak	sweet
visok	tall
gust	thick
tanak	thin
tijesan	tight
istinit	true
ružan	ugly
ispod	under
neobičan	unusual
uobičajen	usual
običan	usual
raznolik	various
topao	warm
mokar	wet
čitav	whole
