Croatian	﻿English
okolo	about
iznad	above
opet	again
skoro	almost
duž	along
već	already
uvijek	always
približno	approximately
kao	as
iza	behind
između	between
ravno	directly
dolje	down
rano	early
oba	either
dovoljno	enough
čak	even
točno	exactly
konačno	finally
ponajprije	first
naprijed	forward
obično	generally
na ovom mjestu	here
ovdje	here
smjesta	immediately
unutra	in
zaista	indeed
iznutra	inside
umjesto	instead
kasno	late
najmanje	least
mali	little
samo	merely
nikad	never
nemati	not
sad	now
očito	obviously
cesto	often
jednom	once
napolju	outside
napose	particularly
možda	possibly
brzo	quickly
stvarno	really
zaista	really
nedavno	recently
sporo	slowly
tako	so
sam	solely
ponekad	sometimes
uskoro	soon
još uvijek	still
takav	such
zacijelo	surely
onda	then
tamo	there
zato	therefore
danas	today
zajedno	together
sutra	tomorrow
večeras	tonight
također	too
obično	usually
zaista	very
zdrav	well
