English	Croatian
another	drugi
bad	slab
basic	osnovan
beautiful	lijep
best	najbolji
better	bolji
big	velik
clean	čist
cold	hladan
correct	točan
dark	mračan
difficult	teško
dirty	prljav
fast	brz
good	dobar
great	velik
great	odličan
happy	sretan
healthy	zdrav
heavy	težak
high	visok
hot	topao
important	važan
left	lijevo
light	lagan
long	dugi
near	skoro
new	nov
nice	lijep
open	otvoreno
real	stvaran
right	desna strana
sharp	oštar
similar	slično
slow	spor
soft	mekan
strong	snažan
weak	slab
wrong	netočan
ago	prošao
all	sve
any	neki
automatic	automatski
available	dostupan
bitter	gorak
boring	dosadan
bright	svijetao
broken	razbijen
central	središnji
certain	siguran
cheap	jeftin
chemical	kemijski
clear	vedar
closed	zatvoren
common	uobičajen
common	zajednički
complete	potpun
cruel	grub
dangerous	opasan
delicate	spretan
different	različit
different	koji nije sličan
down	dolje
dry	suh
each	svaki
early	ran
easy	lagan
economic	gospodarski
economic	ekonomičan
electric	električni
equal	jednak
even	parni brojevi
even	ravan
every	svaki
excellent	odličan
fake	lažan
far	daleko
fat	debeo
fat	obilan
few	malo njih
final	konačan
financial	financijski
firm	jak
flat	gladak
following	sljedeći
foreign	inozeman
former	prošli
fragile	nježan
free	besplatna ulaznica
fresh	svjež
full	pun
full	potpun
further	dalje
future	budući
general	općenit
good	pošten
industrial	industrijski
interesting	zanimljiv
international	internacionalni
last	zadnji
late	kasno
legal	zakonit
liquid	tekućina
local	mjesni
loud	glasan
low	nizak
lucky	sretan
main	vrhovni
major	velik
many	mnogo
metal	metalan
military	vojnički
minute	neznatan
modern	moderan
much	puno
narrow	uzak
national	narodni
natural	prirodan
necessary	potreban
no	nijedan
normal	normalan
opposite	suprotan
original	izvorno
other	drugi
own	vlastit
parallel	paralelan
particular	poseban
past	prošlost
personal	osobno
political	politički
poor	siromašan
popular	razumljiva
possible	moguć
present	sadašnji
private	osobni
probable	vjerojatno
public	javno
quiet	tih
ready	spreman
recent	posljednji
regular	redovit
responsible	imati odgovornost
rigid	krut
rough	osoran
round	okrugao
safe	zaštićen
same	isti
second	drugi
secret	tajni
separate	odvojen
serious	ozbiljan
set	ustaljen
several	nekoliko
short	kratak
silent	tih
simple	lak
single	jedan jedini
small	malen
smooth	gladak
solid	krut
sparse	rijedak
special	poseban
specific	specifičan
square	četverokutan
standard	standardan
sticky	ljepljiv
straight	ravan
strange	čudan
stylish	po modi
sudden	nenadan
sweet	sladak
tall	visok
thick	gust
thin	tanak
tight	tijesan
true	istinit
ugly	ružan
under	ispod
unusual	neobičan
usual	uobičajen
usual	običan
various	raznolik
warm	topao
wet	mokar
whole	čitav
wide	širok