English	Croatian
about	okolo
above	iznad
again	opet
almost	skoro
along	duž
already	već
always	uvijek
approximately	približno
as	kao
behind	iza
between	između
directly	ravno
down	dolje
early	rano
either	oba
enough	dovoljno
even	čak
exactly	točno
finally	konačno
first	ponajprije
forward	naprijed
generally	obično
here	na ovom mjestu
here	ovdje
immediately	smjesta
in	unutra
indeed	zaista
inside	iznutra
instead	umjesto
late	kasno
least	najmanje
little	mali
merely	samo
never	nikad
not	nemati
now	sad
obviously	očito
often	cesto
once	jednom
outside	napolju
particularly	napose
possibly	možda
quickly	brzo
really	stvarno
really	zaista
recently	nedavno
slowly	sporo
so	tako
solely	sam
sometimes	ponekad
soon	uskoro
still	još uvijek
such	takav
surely	zacijelo
then	onda
there	tamo
therefore	zato
today	danas
together	zajedno
tomorrow	sutra
tonight	večeras
too	također
usually	obično
very	zaista
well	zdrav
why	zašto