English	Croatian
be	biti
break	polomiti
buy	kupiti
close	zatvoriti
come	doći
cut	rezati
dance	plesati
do	uvježbati
draw	crtati
drink	piti
eat	jesti
fall	pasti
find	naići na
fire	pucati
fly	letjeti
follow	slijediti
forget	zaboraviti
give	dati
hear	saznati
help	pomoći
hope	nadati se
jump	skakati
kiss	poljubiti
laugh	smijati se
learn	učiti
lie	ležati
lie	lagati
like	sviđati se
listen	slušati
look	gledati
lose	izgubiti
love	voljeti
meet	nabasati
move	micati
need	zahtijevati
offer	ponuditi
open	otvoriti
pay	platiti
play	igrati
pull	izvući
put	položiti
read	čitati
remember	sjetiti se
run	trčanje
say	reći
sell	prodati
sing	pjevati
sit	posjesti
smile	smiješiti se
take	uzeti
talk	govoriti
understand	razumjeti
use	koristiti
wait	čekati
write	pisati
accept	prihvatiti
accuse	optužiti
achieve	postići
act	djelovati
admit	priznati
agree	složiti se
allow	propusnica
announce	najaviti
argue	svađati se
arrive	stići
ask	pitati
attack	napad
avoid	izbjegavati
be	živjeti
bear	nositi
beat	pobijediti
become	postati
believe	vjerovati
bring	dovesti do
build	sagraditi
call	nazvati
carry	nositi
change	promijeniti
choose	izabrati
classify	klasificirati
clean	čistit
compare	uspoređivati
contain	sadržavati
continue	nastavljati
cook	kuhati
copy	kopirati
cough	kašalj
cry	plakati
decide	odrediti
describe	opisati
design	plan
desire	željeti
develop	razviti fotografski film
die	umrijeti
discover	otkriti
discuss	raspravljati
divide	podijeliti u grupe
doubt	sumnjati
drive	voziti
embrace	obuhvatiti
encourage	ohrabriti
end	završiti
enhance	poboljšati
enter	ući
establish	utemeljiti
estimate	ocijeniti
exceed	nadmašiti
exist	postojati
expect	iščekivati
explain	objasniti
fight	tući se
fill	napuniti
find	detektirati
forgive	oprostiti
free	osloboditi
grow	rasti
happen	dogoditi se
hate	mrziti
hide	prikriti
hold	držati
identify	identificirati
include	uključiti
injure	raniti
introduce	predstaviti
join	spojiti
keep	smiren
kick	udariti nogom
kill	ubiti
land	polje
last	potrajati
lead	vođenje
leave	ostaviti
let	dopustiti
lift	podići
limit	ograničiti
load	napuniti
look	izgledati
lose	izgubiti
manage	upravljati
marry	oženiti se
mean	kaniti
measure	mjeriti
mention	spomenuti
name	zvati
own	posjedovati
pass	on predati
peel	ljuštiti
poison	otrovati
prepare	pripremiti
press	privinuti
prevent	spriječiti
print	štampati
process	obraditi
protest	prosvjed
publish	objaviti
raise	odgojiti
rate	procijeniti
reach	stići
receive	primiti
record	snimiti
reduce	smanjiti
reflect	odražavati
refuse	odbiti
remove	ukloniti
render	vratiti
reply	odgovoriti
report	izvijestiti
represent	predstavljati
request	zamoliti
respect	poštivati
reveal	otkriti
risk	dogoditi se
rule	voditi
save	spremiti
save	spasiti
see	vidjeti
see	držati za
send	slati
sew	sašiti
shout	vikati
show	pokazati
spend	provesti
stand	stajati
stay	ostati
steal	krasti
stop	zaustaviti
study	studirati
suggest	predlagati
supply	opremiti
support	poduprijeti
surprise	iznenaditi
taste	okusiti
teach	učiti
test	ispitati
thank	zahvaliti
throw	baciti
title	dati ime
trade	trgovati
train	obrazovati
travel	hodati
treat	postupati s
try	pokušaj
turn	okrenuti
visit	posjetiti
walk	hodati
wash	prati
watch	promatrati
wear	nositi
weigh	težiti
win	pobijediti
wish	željeti