Czech	﻿English
druhý, jiný	another
špatný	bad
základní	basic
krásný, hezký	beautiful
nejlepší	best
lepší	better
velký, veliký	big
čistý	clean
studený	cold
správný, korektní	correct
tmavý	dark
hluboký	deep
těžký, obtížný	difficult
špinavý, znečištěný	dirty
rychlý	fast
dobrý	good
veliký, velký	great
skvělý, báječný	great
šťastný, veselý	happy
zdravý	healthy
těžký	heavy
vysoký	high
horký, teplý	hot
důležitý, významný	important
levý	left
lehký	light
drobný, malý	little
dlouhý	long
nedaleký, blízký	near
nový	new
hezký, pěkný	nice
otevřený	open
opravdový, skutečný	real
pravý	right
ostrý	sharp
podobný	similar
pomalý	slow
měkký	soft
silný	strong
slabý	weak
nesprávný, chybný	wrong
kyselý	acid
po	after
před	ago
vše, všechno	all
nějaký, některý	any
automatický	automatic
disponibilní, použitelný	available
trpký, hořký	bitter
únavný, nudný	boring
obě, oba	both
světlý, jasný	bright
rozbitý, zlomený	broken
centrální	central
jistý	certain
laciný, levný	cheap
chemický	chemical
jasný, zřetelný	clear
zavřený	closed
barevný	color
běžný, obvyklý	common
společný	common
kompletní, dokonalý	complete
vědomý	conscious
krutý, barbarský	cruel
současný, obvyklý	current
nebezpečný	dangerous
delikátní, něžný	delicate
žalostný	deplorable
jiný	different
jiný, odlišný	different
odlišný, rozdílný	different
dole	down
suchý	dry
každý	each
časný, raný	early
lehký, jednoduchý	easy
ekonomický	economic
hospodárný, spořivý	economic
elektrický	electric
rovný, stejný	equal
sudý	even
vyrovnaný, rovný	even
každý	every
výtečný, prvotřídní	excellent
falešný, imitovaný	fake
chybný, nesprávný	false
vzdálený, daleký	far
tlustý	fat
mastný, tučný	fat
málo	few
konečný	final
finanční	financial
pevný, tuhý	firm
první	first
daný, stanovený	fixed
rovný, plochý	flat
následující, další	following
cizí	foreign
bývalý, minulý	former
křehký, lámavý	fragile
zdarma, bezplatný	free
četný, častý	frequent
čerstvý, nový	fresh
přední	front
plný	full
celkový, úplný	full
dále	further
budoucí, příští	future
všeobecný, obecný	general
poctivý, čestný	good
industriální, průmyslový	industrial
zajímavý	interesting
internacionální, mezinárodní	international
poslední, minulý	last
opožděný, zpožděný	late
legální, zákonný	legal
dietní, nízkokalorický	light
kapalný, tekutý	liquid
lokální, místní	local
hlasitý, hlučný	loud
nízký	low
šťastný, mající štěstí	lucky
hlavní, podstatný	main
hlavní	major
mnoho	many
kovový	metal
vojenský	military
nepatrný, maličký	minute
moderní, novodobý	modern
více	more
hodně, mnoho	much
úzký	narrow
národní	national
přírodní	natural
nezbytný, nutný	necessary
sousední, další	next
žádný	no
normální	normal
vypnutý	off
zapnutý	on
opačný, protější	opposite
originální, původní	original
jiný	other
vlastní	own
rovnoběžný, paralelní	parallel
určitý	particular
uplynulý, minulý	past
osobní	personal
tělesný, fyzický	physical
politický	political
politováníhodný, žalostný	poor
populární	popular
možný	possible
nynější, přítomný	present
předešlý	previous
soukromý	private
pravděpodobný	probable
profesionální	professional
veřejný	public
tichý	quiet
připravený	ready
nedávný	recent
pravidelný	regular
odpovědný	responsible
nepoddajný, neohebný	rigid
drsný, hrubý	rough
kruhový, kulatý	round
bezpečný	safe
stejný	same
druhý	second
tajný	secret
samostatný, separátní	separate
vážný	serious
stanovený	set
několik	several
krátký	short
nehlučný, tichý	silent
stříbrný	silver
jednoduchý	simple
jednotlivý, samotný	single
malý, nepatrný	small
hladký	smooth
sociální, společenský	social
tuhý	solid
řídký	sparse
zvláštní	special
specifický	specific
čtvercový	square
háklivý	squeamish
normální	standard
lepkavý, lepivý	sticky
přímý, rovný	straight
zvláštní, divný	strange
elegantní	stylish
neočekávaný, nenadálý	sudden
sladký	sweet
vysoký	tall
hustý	thick
úzký, slabý	thin
těsný	tight
pravdivý, pravý	true
ohyzdný, ošklivý	ugly
pod	under
neobvyklý	unusual
z druhé ruky, použitý	used
obvyklý	usual
rozmanitý, různorodý	various
hřejivý, teplý	warm
vlhký, mokrý	wet
celý	whole
