Czech	﻿English
kolem	about
nad	above
opět, znovu	again
téměř, skoro	almost
podél	along
už	already
pořád, vždy	always
přibližně	approximately
jako	as
vpředu, před	before
než	before
vzadu	behind
mezi	between
za	beyond
okolo	by
jasně, zřejmě	clearly
přímo	directly
dolů	down
brzy	early
buď	either
dost	enough
dokonce	even
doslovně, přesně	exactly
nakonec	finally
nejprve, především	first
dopředu	forward
zpravidla	generally
zde	here
zde	here
nicméně, přestože	however
bezprostředně, hned	immediately
dovnitř	in
doopravdy, opravdu	indeed
uvnitř	inside
místo toho, namísto	instead
pozdě	late
později, poté	later
nejméně	least
trochu	little
pouze, jen	merely
více	more
nikdy	never
ne	not
nyní, právě	now
zjevně, zřejmě	obviously
často	often
jednou, jedenkrát	once
venku, mimo	outside
obzvláště, obzvlášť	particularly
možná	possibly
spíše, raději	preferably
pravděpodobně	probably
rychle	quickly
skutečně, opravdu	really
pravdivě, skutečně	really
nedávno	recently
pomalu	slowly
tak	so
sám, samotný	solely
občas, někdy	sometimes
brzy	soon
stále	still
takový, takové	such
náhle	suddenly
jistě, určitě	surely
pak, potom	then
tam, tamhle	there
proto, tedy	therefore
dnes	today
společně, spolu	together
zítra	tomorrow
dnes večer	tonight
rovněž, také	too
nahoru, vzhůru	up
obvykle	usually
moc, velmi	very
dobře	well
