Czech	﻿English
černý	black
modrý	blue
hnědý	brown
šedý	gray
zelený	green
oranžový	orange
růžový	pink
červený, rudý	red
fialový	violet
bílý	white
žlutý, žloutkově žlutý	yellow
pár	couple
osm	eight
osmnáct	eighteen
osmdesát	eighty
jedenáct	eleven
patnáct	fifteen
padesát	fifty
pět	five
čtyřicet	forty
čtyři	four
čtrnáct	fourteen
sto	hundred
milion, milión	million
devět	nine
devatenáct	nineteen
devadesát	ninety
nic, nula	nothing
jeden	one
sedm	seven
sedmnáct	seventeen
sedmdesát	seventy
šest	six
šestnáct	sixteen
šedesát	sixty
deset	ten
třetí	third
třináct	thirteen
třicet	thirty
tisíc	thousand
tisíc	thousand
tři	three
dvacet	twenty
dvě	two
paže, ruka	arm
záda, hřbet	back
zobák	beak
krev	blood
trup, tělo	body
kost	bone
mozek	brain
dech	breath
buňka	cell
hruď	chest
hrudník, hruď	chest
brada	chin
ucho	ear
oko	eye
tvář, obličej	face
prst	finger
chodidlo	foot
čelo	forehead
gen	gene
vlasy	hair
chlup, vlas	hair
ruka	hand
hlava	head
srdce	heart
koleno	knee
noha	leg
pysk, ret	lip
ústa, pusa	mouth
sval	muscle
nehet	nail
krk	neck
nerv	nerve
nos	nose
kůže, pleť	skin
žaludek	stomach
ocas, ohon	tail
hrdlo	throat
palec	thumb
prst	toe
jazyk	tongue
zub	tooth
křídlo	wing
mravenec	ant
medvěd	bear
včela	bee
pták	bird
kočka	cat
kráva	cow
pes	dog
slon	elephant
ryba	fish
moucha	fly
koza	goat
kůň	horse
hmyz	insect
lev	lion
opice	monkey
svině, prase	pig
ovce	sheep
had	snake
dítě, miminko	baby
narození, zrození	birth
narozeniny	birthday
kluk, chlapec	boy
bratr	brother
dítě	child
dcera	daughter
úmrtí, smrt	death
rodina	family
otec	father
přítel, kamarád	friend
dívka, děvče	girl
dědeček, děda	grandfather
člověk, jedinec	human
manžel	husband
život	life
muž, chlap	man
manželství	marriage
matka	mother
soused	neighbor
rodič	parent
jedinec, člověk	person
příbuzenský vztah	relationship
sestra	sister
syn	son
svatba	wedding
svatba, sňatek	wedding
manželka, žena	wife
žena	woman
pivo	beer
káva	coffee
nápoj, pití	drink
mléko	milk
mléčný koktejl	milkshake
čaj	tea
voda	water
víno	wine
chléb, chleba	bread
snídaně	breakfast
