English	Czech
about	kolem
above	nad
again	opět, znovu
almost	téměř, skoro
along	podél
already	už
always	pořád, vždy
approximately	přibližně
as	jako
before	vpředu, před
before	než
behind	vzadu
between	mezi
beyond	za
by	okolo
clearly	jasně, zřejmě
directly	přímo
down	dolů
early	brzy
either	buď
enough	dost
even	dokonce
exactly	doslovně, přesně
finally	nakonec
first	nejprve, především
forward	dopředu
generally	zpravidla
here	zde
here	zde
however	nicméně, přestože
immediately	bezprostředně, hned
in	dovnitř
indeed	doopravdy, opravdu
inside	uvnitř
instead	místo toho, namísto
late	pozdě
later	později, poté
least	nejméně
little	trochu
merely	pouze, jen
more	více
never	nikdy
not	ne
now	nyní, právě
obviously	zjevně, zřejmě
often	často
once	jednou, jedenkrát
outside	venku, mimo
particularly	obzvláště, obzvlášť
possibly	možná
preferably	spíše, raději
probably	pravděpodobně
quickly	rychle
really	skutečně, opravdu
really	pravdivě, skutečně
recently	nedávno
slowly	pomalu
so	tak
solely	sám, samotný
sometimes	občas, někdy
soon	brzy
still	stále
such	takový, takové
suddenly	náhle
surely	jistě, určitě
then	pak, potom
there	tam, tamhle
therefore	proto, tedy
today	dnes
together	společně, spolu
tomorrow	zítra
tonight	dnes večer
too	rovněž, také
up	nahoru, vzhůru
usually	obvykle
very	moc, velmi
well	dobře
why	proč