English	Czech
black	černý
blue	modrý
brown	hnědý
gray	šedý
green	zelený
orange	oranžový
pink	růžový
red	červený, rudý
violet	fialový
white	bílý
yellow	žlutý, žloutkově žlutý
couple	pár
eight	osm
eighteen	osmnáct
eighty	osmdesát
eleven	jedenáct
fifteen	patnáct
fifty	padesát
five	pět
forty	čtyřicet
four	čtyři
fourteen	čtrnáct
hundred	sto
million	milion, milión
nine	devět
nineteen	devatenáct
ninety	devadesát
nothing	nic, nula
one	jeden
seven	sedm
seventeen	sedmnáct
seventy	sedmdesát
six	šest
sixteen	šestnáct
sixty	šedesát
ten	deset
third	třetí
thirteen	třináct
thirty	třicet
thousand	tisíc
thousand	tisíc
three	tři
twenty	dvacet
two	dvě
arm	paže, ruka
back	záda, hřbet
beak	zobák
blood	krev
body	trup, tělo
bone	kost
brain	mozek
breath	dech
cell	buňka
chest	hruď
chest	hrudník, hruď
chin	brada
ear	ucho
eye	oko
face	tvář, obličej
finger	prst
foot	chodidlo
forehead	čelo
gene	gen
hair	vlasy
hair	chlup, vlas
hand	ruka
head	hlava
heart	srdce
knee	koleno
leg	noha
lip	pysk, ret
mouth	ústa, pusa
muscle	sval
nail	nehet
neck	krk
nerve	nerv
nose	nos
skin	kůže, pleť
stomach	žaludek
tail	ocas, ohon
throat	hrdlo
thumb	palec
toe	prst
tongue	jazyk
tooth	zub
wing	křídlo
ant	mravenec
bear	medvěd
bee	včela
bird	pták
cat	kočka
cow	kráva
dog	pes
elephant	slon
fish	ryba
fly	moucha
goat	koza
horse	kůň
insect	hmyz
lion	lev
monkey	opice
pig	svině, prase
sheep	ovce
snake	had
baby	dítě, miminko
birth	narození, zrození
birthday	narozeniny
boy	kluk, chlapec
brother	bratr
child	dítě
daughter	dcera
death	úmrtí, smrt
family	rodina
father	otec
friend	přítel, kamarád
girl	dívka, děvče
grandfather	dědeček, děda
human	člověk, jedinec
husband	manžel
life	život
man	muž, chlap
marriage	manželství
mother	matka
neighbor	soused
parent	rodič
person	jedinec, člověk
relationship	příbuzenský vztah
sister	sestra
son	syn
wedding	svatba
wedding	svatba, sňatek
wife	manželka, žena
woman	žena
beer	pivo
coffee	káva
drink	nápoj, pití
milk	mléko
milkshake	mléčný koktejl
tea	čaj
water	voda
wine	víno
bread	chléb, chleba
breakfast	snídaně
butter	máslo
cake	zákusek, koláč
cheese	sýr
chocolate	čokoláda
egg	vejce
food	potravina, potrava
fruit	ovoce, plod
lunch	oběd
meal	jídlo, pokrm
meat	maso
oil	olej
rice	rýže
salad	salát
salt	sůl
sandwich	sendvič
sauce	omáčka
soup	polévka
sugar	cukr
sweet	sladkost
apple	jablko
apricot	meruňka
banana	banán
blackberry	ostružina
cherry	třešeň
lemon	citrón, citron
nut	ořech
orange	pomeranč
peach	broskev
pear	hruška
pineapple	ananas
plum	bluma, slíva
raspberry	malina
strawberry	jahoda
bean	fazole, bob
cabbage	kapusta, zelí
carrot	mrkev, karotka
cucumber	okurka
garlic	česnek
olive	oliva
onion	cibule
parsnip	pastiňák
pea	hrách
potato	brambor, brambora
radish	ředkvička
tomato	rajské jablíčko, rajče
address	adresa
bathroom	koupelna
bedroom	ložnice
brick	cihla
door	dveře
floor	podlaha, zem
floor	patro, podlaží
garage	garáž
garden	zahrada
gate	brána
hall	hala, vestibul
home	domov, bydliště
house	dům
kitchen	kuchyně, kuchyň
roof	střecha
room	místnost, pokoj
shower	sprcha
step	schod
toilet	záchod, WC
wall	stěna, zeď
well	studna
window	okno
bed	lůžko, postel
carpet	koberec
chair	židle
cupboard	skříň
curtain	závěs, opona
desk	psací stůl
furniture	nábytek
seat	křeslo
shelf	police
sink	dřez
table	stůl, stolek
bag	kabelka
boot	bota
cloth	látka, tkanina
clothing	oblečení
coat	kabát
collar	límec
hat	klobouk
jacket	kabát, bunda
jewel	skvost, klenot
ring	prsten
shirt	košile
shoe	střevíc, bota
skirt	sukně
sock	ponožka
suitcase	kufr
tie	kravata, vázanka
actor	herec
actress	herečka
businessman	obchodník
expert	expert
general	generál
journalist	žurnalista, novinář
judge	soudce
leader	vůdce, vedoucí
minister	ministr
musician	muzikant, hudebník
photographer	fotograf
pilot	pilot
policeman	policista
politician	politik
president	prezident
professional	profesionál, odborník
representative	zástupce
sailor	námořník
scientist	vědec
secretary	sekretářka
servant	služebník, sluha
soldier	voják, vojín
writer	spisovatel
airport	letiště
bank	banka
bridge	most
building	stavba, budova
capital	hlavní město
castle	hrad
church	kostel, chrám
cinema	kino, biograf
city	velkoměsto, metropole
factory	továrna
flat	byt
hospital	nemocnice, ošetřovna
hotel	hotel
library	knihovna
park	park
prison	vězení
restaurant	restaurace
road	silnice, cesta
school	škola
station	stanice
street	ulice
structure	konstrukce, stavba
subway	podzemní dráha, metro
supermarket	supermarket
theater	divadlo
town	město
university	univerzita
village	vesnice
accident	nehoda
boat	člun
bus	autobus
car	auto, automobil
curve	zatáčka
express	rychlík
flight	létání, let
journey	jízda, cesta
passenger	cestující, pasažér
plane	letadlo, letoun
ship	loď
skid	smyk
track	kolej, kolejnice
train	vlak
transport	doprava, přeprava
air	vzduch, ovzduší
animal	zvíře, živočich
branch	větev
evolution	evoluce, vývoj
farm	farma, statek
field	pole, lán
fire	oheň, plamen
flower	květina
forest	les
grass	tráva
leaf	list, listí
life	život
lightning	blesk
moisture	vlhkost, vláha
nature	příroda
plant	rostlina
root	kořen
sex	pohlaví
sky	obloha
sleep	spánek
smell	vůně, zápach
smoke	kouř, dým
spring	zřídlo, pramen
stem	lodyha, stéblo
stream	proud
tree	strom
wave	vlna
weather	počasí
world	svět
bank	břeh
beach	pláž
current	tok, proud
direction	směr
Earth	Země
east	východ
height	výška
hill	pahorek, kopec
island	ostrov
lake	jezero
land	pevnina, souš
map	mapa
Moon	měsíc
north	sever
plain	rovina
region	krajina, region
river	řeka
sea	moře
south	jih
space	vesmír
star	hvězda
sun	slunce
west	západ
acid	kyselina
chemical	chemikálie
chemical element	prvek
coal	uhlí
cotton	bavlna
dust	prach
earth	zemina, půda
fat	tuk
glass	sklo
glue	klíh, lep
grain	zrnko
ice	led
iron	železo
leather	kůže, useň
liquid	tekutina, kapalina
matter	hmota, látka
metallic element	kov
oil	ropa
poison	jed
powder	prach, prášek
sand	písek
silk	hedvábí
soap	mýdlo
steel	ocel
wood	dřevo
wool	vlna
bag	pytel, vak
basket	košík
bottle	láhev
box	krabice, bedna
can	plechovka, konzerva
cup	šálek, hrneček
drawer	zásuvka, šuplík
envelope	obálka
glass	sklenice, sklenička
plate	talíř
camera	kamera
camera	fotoaparát, foťák
cellular phone	mobilní telefon, mobil
clock	hodiny
computer	počítač
elevator	elevátor, výtah
engine	motor
instrument	nástroj, instrument
machine	stroj
oven	trouba, pec
television	televize
watch	hodinky
addition	sčítání
angle	úhel
area	prostor, plocha
center	střed
circle	kruh
curve	křivka
degree	stupeň
degree	úroveň, stupeň
difference	rozdíl
distance	vzdálenost
division	segmentace, rozdělení
edge	hrana
element	prvek, element
function	funkce
half	polovice, polovička
limit	limit, hranice
line	linie, čára
net	síť
order	pořádek
outside	vnějšek
percent	procento
point	tečka, bod
purpose	funkce, účel
result	výsledek
root	odmocnina
rule	pravidlo
set	množina
side	strana
square	čtverec
square	druhá mocnina, kvadrát
substitution	nahrazení, substituce
surface	povrch
total	součet, suma
ability	schopnost
act	čin, skutek
action	čin
activity	aktivita, činnost
addition	přídavek, dodatek
amount	množství
attack	útok
attempt	námaha, úsilí
attitude	stanovisko
back	zadní strana
behavior	chování
bit	kousek
blow	úder
break	přestávka, pauza
campaign	kampaň
case	případ
chance	příležitost, šance
change	proměna, transformace
choice	volba, výběr
condition	situace, stav
connection	přípojka, konektor
connection	spojení
crack	prasklina, štěrbina
crush	rozmačkání, rozdrcení
cut	řez
damage	poškození
danger	nebezpečí
death	úmrtní, smrt
decoration	ornament, dekorace
defense	obrana
destruction	destrukce, zničení
detail	podrobnost, detail
dominance	nadvláda, převaha
drop	kapka
duty	povinnost
effort	námaha
fall	pád
feature	vlastnost
fight	boj
front	předek, přední strana
hit	rána, úder
hole	díra, otvor
increase	růst
increase	přírůstek
internet	Internet, internet
jolt	náraz
kick	kopnutí, kop
kind	druh, typ
knot	uzel
list	seznam
majority	většina
matter	záležitost, věc
mind	mysl
operation	fungování, chod
opposite	protiklad, opak
outburst	erupce, výbuch
part	kus, díl
part	díl, podíl
personality	osobnost, charakter
piece	součást, kousek
place	místo
position	pozice
power	moc, síla
practice	praxe
project	úkol, projekt
property	vlastnost
quality	kvalita
quiet	klid
reach	dosah
report	hlášení
responsibility	zodpovědnost
rest	odpočinek, oddech
return	vrácení se, návrat
rise	stoupání, vzestup
risk	nebezpečí, riziko
seat	místo
serial	seriál
set	soubor, sada
silence	ticho
situation	situace
slice	kus
state	stav
step	krok
stop	zastavení
taste	chuť
thing	předmět, věc
top	vrchol, vrcholek
touch	kontakt, dotyk
treatment	zacházení
tremble	chvění, třes
trick	úskok, trik
type	druh, typ
use	užití, upotřebení
way	způsob, postup
wear	opotřebení
whole	celek
will	úmysl, vůle
wish	přání
afternoon	odpoledne
age	stáří, věk
April	duben
August	srpen
autumn	podzim
beginning	začátek, počátek
century	století
date	datum
day	den
December	prosinec, Prosinec
end	konec
evening	večer
February	únor
Friday	pátek
future	budoucnost
hour	hodina
January	leden
July	červenec
June	červen
May	květen, máj
midnight	půlnoc
minute	minuta
moment	okamžik, chvíle
moment	okamžik, moment
Monday	pondělek, pondělí
month	měsíc
morning	ráno, jitro
night	noc
November	listopad
now	teď, nyní
October	říjen
past	minulost
pause	pauza, přestávka
period	období, doba
present	současnost
Saturday	sobota
season	roční období, sezóna
second	vteřina, sekunda
September	září
spring	jaro
summer	léto
Sunday	neděle
Thursday	čtvrtek
today	dnešek
tomorrow	zítřek, zítra
Tuesday	úterý
Wednesday	středa
week	týden
weekend	víkend, konec týdne
while	chvíle
