English	Czech
be	být
begin	počínat, začínat
break	rozbít, zlomit
buy	koupit, nakoupit
close	zavírat, zavřít
come	přicházet
cut	řezat, uříznout
dance	tančit, tancovat
do	dělat, provádět
draw	nakreslit, malovat
drink	pít
eat	jíst, sníst
fall	padat, padnout
feel	vycítit, cítit
find	nalézt, najít
fire	vystřelit, střílet
fly	létat, letět
follow	následovat
forget	zapomenout, zapomínat
get	získat, dostat
give	dávat, dát
have	mít
hear	slyšet, uslyšet
help	pomáhat, asistovat
hope	doufat
jump	skákat, skočit
kiss	líbat, políbit
know	znát, vědět
laugh	smát se
learn	naučit se, učit se
lie	ležet
lie	lhát
like	mít rád
listen	naslouchat, poslouchat
look	dívat se, dívat
lose	ztratit, ztrácet
love	milovat
make	dělat
meet	potkávat, potkat
move	pohybovat, pohnout
need	potřebovat, vyžadovat
offer	nabídnout, nabízet
open	otevřít, otvírat
pay	platit, zaplatit
play	hrát
pull	tahat, táhnout
push	strkat, tlačit
put	pokládat, umístit
read	číst, přečíst
remember	vzpomenout, vzpomenout si
run	běžet
say	říci, říkat
sell	prodávat, prodat
sing	zpívat
sit	sedět
smile	usmívat se, smát se
swim	plavat
take	vzít
talk	hovořit, mluvit
understand	chápat, rozumět
use	aplikovat, použít
wait	vyčkávat, počkat
write	napsat, psát
accept	akceptovat, přijmout
accuse	obvinit, obžalovat
achieve	dosahovat, dosáhnout
act	jednat, činit
add	přidat, přidávat
add	připočíst, sečítat
admit	připouštět, připustit
affect	postihnout, ovlivňovat
agree	souhlasit
allow	dovolit, povolit
announce	ohlásit, oznámit
argue	hádat se, přít se
arrive	dorazit, přijet
ask	zeptat, ptát
attack	zaútočit, útočit
avoid	vyhnout se, vyhýbat se
be	žít
bear	nést, nosit
beat	zdolat, porazit
become	stát se
behave	jednat, chovat se
believe	věřit
benefit	prospívat, prospět
bite	kousat, kousnout
bring	přinášet, přinést
build	budovat, stavět
burn	spálit
call	telefonovat, volat
care	starat se, pečovat
carry	nosit, nést
catch	chytit, chytat
cause	přimět
change	změnit
choose	volit, zvolit
classify	třídit, klasifikovat
clean	vyčistit, očistit
compare	porovnat, porovnávat
contain	obsahovat
continue	pokračovat, vytrvat
control	kontrolovat, ovládat
cook	vařit
copy	kopírovat, zkopírovat
cough	kašlat
count	počítat, spočítat
crush	rozdrtit
crush	mačkat, smáčknout
cry	brečet, plakat
decide	rozhodovat, rozhodnout
deliver	doručit
describe	popisovat, vylíčit
design	navrhnout
desire	dychtit, toužit
develop	vyvíjet, vyvinout
die	zemřít, umřít
discover	zjistit
discuss	diskutovat, debatovat
dislike	nemít rád
divide	roztříštit, rozštěpit
doubt	pochybovat
drive	řídit
embrace	zahrnovat, obsahovat
encourage	povzbudit
end	končit, skončit
enhance	zvýšit
enjoy	užívat, vychutnat
enter	vstupovat, vniknout
establish	založit
estimate	odhadovat, odhadnout
exceed	překročit, překonat
exist	existovat
expect	očekávat
explain	objasnit, vysvětlit
express	vyjádřit
fight	bojovat, rvát se
fill	naplnit, vyplnit
find	objevit
find	out zjistit
finish	dokončit, ukončit
flush	vyrovnat
forgive	prominout, odpustit
free	osvobozovat, vysvobodit
give	up kapitulovat, vzdát se
grow	vyrůstat, narůstat
happen	přihodit se, nastat
hate	nenávidět
hide	schovat, schovávat
hold	držet
identify	identifikovat
imply	obsahovat, zahrnovat
include	zahrnout
increase	vzrůstat, zvětšovat se
injure	zranit, poranit
introduce	uvést, představit
introduce	představovat, představit
join	připojit, spojit
keep	udržet, udržovat
kick	kopat, kopnout
kill	usmrtit, zabít
land	přistát
last	vydržet, vystačit
lead	vést, zavést
leave	nechat, zanechat
let	nechávat, nechat
lift	nadzdvihnout, pozdvihnout
limit	omezit, limitovat
load	nabít
lock	zamknout, zamykat
look	vypadat
lose	prohrát
manage	spravovat, řídit
marry	oženit se, provdat se
match	odpovídat si, shodovat se
mean	znamenat
mean	mínit, zamýšlet
measure	měřit, změřit
mention	citovat, uvádět
miss	zameškat, zmeškat
miss	minout, netrefit
name	nazvat, pojmenovat
operate	obsluhovat, ovládat
order	nařídit, přikázat
own	vlastnit
pass	on předat
peel	loupat, oloupat
plan	naplánovat
please	potěšit
plow	orat, zorat
poison	otrávit
polish	leštit, nablýskat
prepare	přichystat, připravit
press	stisknout, stlačit
prevent	předejít, zabránit
print	vytisknout
process	zpracovat, zpracovávat
profit	profitovat
protest	protestovat
prove	dokazovat, prokázat
publish	publikovat, vydat
raise	vychovat
rate	hodnotit, ohodnotit
reach	dosahovat, dosáhnout
receive	přijmout, obdržet
record	nahrát
reduce	redukovat, zmenšit
reflect	odrazit, odrážet
refuse	odmítnout
remove	odstranit, odstraňovat
render	vrátit
replace	nahradit, vyměnit
reply	odpovídat, odpovědět
report	nahlásit, ohlásit
represent	reprezentovat, představovat
request	žádat, požadovat
respect	respektovat, uznávat
rest	odpočívat
reveal	prozradit, odkrýt
risk	riskovat
round	off zaokrouhlit
rule	vládnout
save	uspořit, šetřit
save	chránit, spasit
see	vidět
see	považovat, pokládat za
send	odeslat, poslat
serve	sloužit
sew	šít, stehovat
share	sdílet, mít společné
shout	ječet, vykřiknout
show	ukázat, demonstrovat
smash	praštit, uhodit
smell	vonět
smell	páchnout, smrdět
smell	cítit
smoke	kouřit
spend	strávit
stand	stát
stay	zůstávat, zůstat
steal	krást, odcizit
stop	zastavit
study	studovat
suffer	zakusit, vytrpět
suggest	navrhnout, navrhovat
supply	poskytovat, poskytnout
support	podporovat
suppose	domnívat se, předpokládat
surprise	překvapit
taste	ochutnávat, ochutnat
teach	vyučovat, učit
test	otestovat, testovat
