Danish	﻿English
en anden	another
slem	bad
basal	basic
smuk	beautiful
bedst	best
bedre	better
stor	big
ren	clean
kold	cold
korrekt	correct
mørk	dark
vanskelig	difficult
hurtig	fast
velopdragen	good
stor	great
dejlig	great
glad	happy
sund	healthy
tung	heavy
varm	hot
vigtig	important
venstre	left
let	light
nær	near
ny	new
dejlig	nice
rigtig	real
højre	right
fin	sharp
langsom	slow
blød	soft
intens	strong
svag	weak
ukorrekt	wrong
automatisk	automatic
til rådighed	available
bitter	bitter
kedelig	boring
knust	broken
central	central
sikker	certain
billig	cheap
kemisk	chemical
klar	clear
lukket	closed
almindelig	common
kendt	common
komplet	complete
bevidst	conscious
grusom	cruel
farlig	dangerous
delikat	delicate
bedrøvet	deplorable
forskellig	different
uensartet	different
nede	down
kedelig	dry
hver	each
tidlig	early
let	easy
økonomisk	economic
økonomisk	economic
elektrisk	electric
ens	equal
lige	even
lige	even
hver	every
fremragende	excellent
falsk	fake
langt	far
fed	fat
fed	fat
ikke ret mange	few
endelig	final
finansiel	financial
fast	firm
flad	flat
følgende	following
udenlandsk	foreign
tidligere	former
sart	fragile
gratis	free
hyppig	frequent
frisk	fresh
fuld	full
total	full
videre	further
fremtidig	future
almindelig	general
industriel	industrial
interessant	interesting
international	international
sidst	last
sent	late
lovlig	legal
flydende	liquid
lokal	local
kraftig	loud
lav	low
heldig	lucky
vigtig	main
stor	major
mange	many
metallisk	metal
militær	military
moderne	modern
mere	more
megen	much
smal	narrow
naturlig	natural
fornøden	necessary
tilstødende	next
ikke	no
normal	normal
modsat	opposite
oprindelig	original
anden	other
egen	own
parallel	parallel
speciel	particular
forgangen	past
personlig	personal
fysisk	physical
politisk	political
fattig	poor
almen	popular
mulig	possible
nutid	present
tidligere	previous
privat	private
sandsynlig	probable
faglig	professional
offentlig	public
stille	quiet
parat	ready
sidste	recent
fast	regular
ansvarlig	responsible
stiv	rigid
grov	rough
rund	round
sikker	safe
samme	same
anden	second
hemmelig	secret
dele	separate
alvorlig	serious
allerede fastlagt	set
adskillige	several
kort	short
stille	silent
let	simple
enkel	single
lille	small
glat	smooth
fast	solid
sparsom	sparse
speciel	special
speciel	specific
firkantet	square
klistret	sticky
lige	straight
mærkelig	strange
stilfuld	stylish
pludselig	sudden
liflig	sweet
høj	tall
tyk	thick
tynd	thin
stram	tight
sand	true
grim	ugly
under	under
usædvanlig	unusual
almindelig	usual
varieret	various
varm	warm
våd	wet
hel	whole
