English	Danish
another	en anden
bad	slem
basic	basal
beautiful	smuk
best	bedst
better	bedre
big	stor
clean	ren
cold	kold
correct	korrekt
dark	mørk
difficult	vanskelig
fast	hurtig
good	velopdragen
great	stor
great	dejlig
happy	glad
healthy	sund
heavy	tung
hot	varm
important	vigtig
left	venstre
light	let
near	nær
new	ny
nice	dejlig
real	rigtig
right	højre
sharp	fin
slow	langsom
soft	blød
strong	intens
weak	svag
wrong	ukorrekt
automatic	automatisk
available	til rådighed
bitter	bitter
boring	kedelig
broken	knust
central	central
certain	sikker
cheap	billig
chemical	kemisk
clear	klar
closed	lukket
common	almindelig
common	kendt
complete	komplet
conscious	bevidst
cruel	grusom
dangerous	farlig
delicate	delikat
deplorable	bedrøvet
different	forskellig
different	uensartet
down	nede
dry	kedelig
each	hver
early	tidlig
easy	let
economic	økonomisk
economic	økonomisk
electric	elektrisk
equal	ens
even	lige
even	lige
every	hver
excellent	fremragende
fake	falsk
far	langt
fat	fed
fat	fed
few	ikke ret mange
final	endelig
financial	finansiel
firm	fast
flat	flad
following	følgende
foreign	udenlandsk
former	tidligere
fragile	sart
free	gratis
frequent	hyppig
fresh	frisk
full	fuld
full	total
further	videre
future	fremtidig
general	almindelig
industrial	industriel
interesting	interessant
international	international
last	sidst
late	sent
legal	lovlig
liquid	flydende
local	lokal
loud	kraftig
low	lav
lucky	heldig
main	vigtig
major	stor
many	mange
metal	metallisk
military	militær
modern	moderne
more	mere
much	megen
narrow	smal
natural	naturlig
necessary	fornøden
next	tilstødende
no	ikke
normal	normal
opposite	modsat
original	oprindelig
other	anden
own	egen
parallel	parallel
particular	speciel
past	forgangen
personal	personlig
physical	fysisk
political	politisk
poor	fattig
popular	almen
possible	mulig
present	nutid
previous	tidligere
private	privat
probable	sandsynlig
professional	faglig
public	offentlig
quiet	stille
ready	parat
recent	sidste
regular	fast
responsible	ansvarlig
rigid	stiv
rough	grov
round	rund
safe	sikker
same	samme
second	anden
secret	hemmelig
separate	dele
serious	alvorlig
set	allerede fastlagt
several	adskillige
short	kort
silent	stille
simple	let
single	enkel
small	lille
smooth	glat
solid	fast
sparse	sparsom
special	speciel
specific	speciel
square	firkantet
sticky	klistret
straight	lige
strange	mærkelig
stylish	stilfuld
sudden	pludselig
sweet	liflig
tall	høj
thick	tyk
thin	tynd
tight	stram
true	sand
ugly	grim
under	under
unusual	usædvanlig
usual	almindelig
various	varieret
warm	varm
wet	våd
whole	hel
wide	bred