English	Danish
about	rundt om
above	over
again	igen
almost	næsten
along	langs
already	allerede
always	altid
approximately	omtrent
as	som
before	inden
behind	bag
between	mellem
by	ad
directly	direkte
down	ned
early	tidligt
either	hver
enough	nok
exactly	lige
finally	til sidst
first	først
generally	generelt
here	her
here	her
however	alligevel
immediately	med det samme
in	på
indeed	virkelig
inside	ind
instead	i stedet
late	sent
least	mindst
little	lidt
merely	kun
never	aldrig
not	ikke
now	for tiden
obviously	tydeligvis
often	hyppigt
once	én gang
outside	udenfor
particularly	specielt
possibly	muligvis
probably	sandsynligt
quickly	hurtigt
really	faktisk
really	virkelig
recently	for nyligt
slowly	langsomt
so	sådan
sometimes	somme tider
soon	snart
still	stadig
such	den slags
surely	helt sikkert
then	dengang
there	der
therefore	derfor
today	dagens
together	sammen
tomorrow	i morgen
tonight	i aften
too	desuden
up	i
usually	normalt
very	virkeligt
well	vel
why	hvorfor