English	Dutch
be	[wij] zijn, [ik] ben
begin	beginnen, [wij] beginnen
break	breken, [wij] breken
buy	verwerven, [wij] kopen
close	sluiten, dichtklappen
come	komen, [wij] komen
cut	snijden, afsnijden
dance	dansen
do	uitoefenen, [wij] beoefenen
draw	tekenen, [wij] tekenen
drink	drinken, [wij] drinken
eat	eten, [wij] eten
fall	vallen, [wij] vallen
feel	tasten, [wij] tasten
find	vinden, [wij] vinden
fire	vuren, afvuren
fly	vliegen, [wij] vliegen
follow	volgen, [wij] voortvloeien
forget	vergeten, [wij] vergeten
get	verkrijgen, [wij] verkrijgen
give	geven, overhandigen
have	hebben, [wij] hebben
hear	horen, [wij] horen
help	helpen, [wij] helpen
hope	hopen, [wij] hopen
jump	springen, [wij] springen
kiss	kussen, zoenen
know	0, [wij] weten
laugh	lachen, [wij] lachen
learn	leren, [wij] leren
lie	liggen, [wij] liggen
lie	liegen, [wij] liegen
like	houden van, graag hebben
listen	beluisteren, [wij] beluisteren
look	kijken, [wij] kijken
lose	verliezen, [wij] verliezen
love	houden van, [wij] houden van
make	doen, [wij] doen
meet	ontmoeten, [wij] ontmoeten
move	verroeren, [wij] verroeren
need	hebben, [wij] hebben
offer	aanbieden, [wij] aanbieden
open	openen, [wij] openen
pay	betalen, [wij] betalen
play	spelen, [wij] spelen
pull	trekken, [wij] trekken
push	duwen, [wij] duwen
put	zetten, [wij] zetten
read	lezen, [wij] lezen
remember	onthouden, [wij] herinneren
run	rennen, lopen
say	vertellen, zeggen
sell	verkopen, [wij] verkopen
sing	zingen
sit	zitten, [wij] zitten
smile	glimlachen, [wij] glimlachen
swim	zwemmen, [wij] zwemmen
take	pakken, oppakken
talk	praten, spreken
understand	verstaan, begrijpen
use	gebruiken, [wij] gebruiken
wait	wachten, afwachten
write	schrijven, [wij] schrijven
accept	aanvaarden, [wij] nemen aan
accuse	beschuldigen, [wij] beschuldigen
achieve	bereiken, [wij] bereiken
act	handelen, [wij] handelen
add	bijvoegen, toevoegen
add	optellen, [wij] tellen op
admit	erkennen, [wij] erkennen
affect	invloed hebben op
agree	afspreken, overeenstemmen
allow	toelaten, [wij] laten toe
announce	aankondigen, [wij] kondigen aan
argue	redetwisten, ruzie
arrive	aankomen, [wij] aankomen
ask	vragen, [wij] vragen
attack	aanvallen, [wij] tackelen
avoid	vermijden, [wij] vermijden
be	leven, [wij] leven
bear	dragen, torsen
beat	overwinnen, [wij] overwinnen
become	worden, [wij] worden
behave	0
believe	geloven, [wij] geloven
benefit	ten goede komen aan, goed doen
bite	bijten, [wij] bijten
bring	halen, [wij] halen
build	bouwen, [wij] bouwen
burn	afbranden, [wij] branden af
call	roepen, schreeuwen
care	0, [wij] geven om
carry	dragen, [wij] dragen
catch	opvangen, [wij] opvangen
cause	teweegbrengen, [wij] teweegbrengen
change	veranderen, aanpassen
choose	kiezen, [wij] kiezen
classify	classificeren, [wij] classificeren
clean	schoonmaken, [wij] maken schoon
compare	vergelijken, [wij] vergelijken
connect	0, [wij] connectie leggen
contain	bevatten, [wij] bevatten
continue	voortzetten, [wij] voortzetten
control	beheersen, beheren
cook	koken, [wij] koken
copy	kopiëren, [wij] kopiëren
cough	hoesten, [wij] hoesten
crush	verpletteren, [wij] verpletteren
crush	knijpen, [wij] knijpen
cry	huilen, [wij] huilen
decide	beslissen, [wij] beslissen
deliver	0
describe	beschrijven, [wij] beschrijven
design	ontwerpen, [wij] ontwerpen
desire	willen, [wij] willen
develop	ontwikkelen, [wij] ontwikkelen
die	sterven, [wij] overlijden
discover	ontdekken, [wij] vinden
discuss	bespreken, [wij] bespreken
dislike	0
divide	verdelen, [wij] verdelen
doubt	twijfelen, [wij] twijfelen
drive	besturen, [wij] mennen
embrace	bevatten, [wij] bevatten
encourage	aanmoedigen, [wij] moedigen aan
end	eindigen, [wij] eindigen
enhance	verhogen, [wij] verhogen
enjoy	genieten, [wij] plezier hebben
enter	binnengaan, [wij] gaan binnen
establish	oprichten, [wij] aanleggen
estimate	veronderstellen, gissen
exceed	overtreffen, [wij] overtreffen
exist	bestaan, [wij] bestaan
expect	verwachten, [wij] afwachten
explain	uitleggen, verklaren
express	0, uitdrukken
fight	vechten, [wij] vechten
fill	vullen, [wij] vullen
find	ontdekken
find	out 0, uitzoeken
finish	afwerken, beëindigen
flush	gelijkmaken, [wij] maken gelijk
forgive	vergeven
free	verlossen, [wij] verlossen
give	up zich overgeven
grow	groeien, [wij] groeien
happen	gebeuren, [wij] gebeuren
hate	haten, [wij] haten
hide	verbergen
hold	0, vasthouden
identify	opsporen, [wij] identificeren
