English	Esperanto
black	nigra
blue	blua
brown	bruna
gray	grizo
green	verda
orange	orangxa
pink	rozkolora
red	rugxa
violet	violkolora
white	blanka
yellow	flava
couple	paro
eight	ok
eighty	okdek
eleven	dek unu
fifty	kvindek
five	kvin
forty	kvardek
four	kvar
hundred	cent
million	miliono
nine	naŭ
ninety	naŭdek
nothing	nenio
seven	sep
seventy	sepdek
six	ses
sixty	sesdek
ten	dek
third	tria
thirty	tridek
thousand	mil
three	tri
twenty	dudek
two	du
arm	brako
back	dorso
beak	beko
blood	veri
body	kere
bone	luu
brain	cerbo
cell	ĉelo
chest	brusto
chest	brusto
chin	mentono
ear	orelo
eye	okulo
face	vizaĝo
finger	fingro
foot	piedo
forehead	frunto
gene	geno
hair	haroj
hair	haro
hand	mano
head	kapo
heart	koro
knee	genuo
leg	kruro
lip	lipo
mouth	buŝo
muscle	muskolo
nail	ungo
neck	kolo
nerve	nervo
nose	nazo
skin	hauxto
stomach	stomako
tail	vosto
throat	gorgxo
thumb	dikfingro
toe	piedfingro
tongue	lango
tooth	dento
wing	flugilo
ant	formiko
bear	urso
bee	abelo
bird	birdo
cat	kato
cow	bovino
dog	hundo
elephant	elefanto
fish	kala
fly	muŝo
goat	kaprino
horse	cxevalo
insect	insekto
lion	leono
monkey	simio
pig	porko
sheep	ŝafo
snake	serpento
baby	infaneto
birthday	naskiĝtago
boy	knabo
brother	frato
daughter	filino
death	morto
family	familio
father	patro
friend	amiko
girl	frauxlino
grandfather	avo
human	homo
husband	edzo
man	homo
marriage	edzeco
mother	ema
neighbor	najbaro
person	persono
sister	fratino
son	filo
wedding	nupto
wedding	geedzigxo
wife	edzino
woman	virino
beer	biero
coffee	kafo
drink	trinkajxo
milk	lakto
tea	teo
water	akvo
wine	vino
bread	pano
breakfast	matenmangxo
butter	butero
cake	kuko
cheese	fromaĝo
chocolate	ĉokolado
egg	ovo
food	nutraĵo
fruit	frukto
lunch	tagmanĝo
meal	manĝo
meat	viando
oil	nafta
rice	rizo
salad	salato
salt	salo
sandwich	bulko
sauce	kaste
soup	supo
sugar	sukero
sweet	dolĉeco
apple	pomo
apricot	abrikoto
banana	banano
blackberry	rubusbero
cherry	ĉerizo
lemon	citrono
nut	nukso
orange	oranĝo
peach	persiko
pear	piro
pineapple	ananaso
plum	pruno
raspberry	frambo
strawberry	frago
bean	fazeolo
cabbage	brasiko
carrot	karoto
cucumber	kukumo
garlic	ajlo
olive	olivo
onion	cepo
parsnip	pastinako
potato	terpomo
radish	rafano
tomato	tomato
address	adreso
bathroom	banejo
bedroom	litoĉambro
brick	briko
door	pordo
floor	pavimo
floor	etagxo
garage	garaĝo
garden	ĝardeno
gate	pordego
hall	antauxcxambro
home	kodu
house	maja
kitchen	kuirejo
roof	tegmento
room	tuba
shower	duŝo
step	sxtupo
toilet	necesejo
wall	muro
well	puto
window	fenestro
bed	lito
carpet	tapiŝo
chair	seĝo
cupboard	sxranko
curtain	kurteno
desk	skribotablo
