Esperanto	﻿English
alia	another
malbona	bad
baza	basic
bela	beautiful
granda	big
pura	clean
malvarma	cold
gxusta	correct
tenebra	dark
malfacila	difficult
malpura	dirty
rapida	fast
bona	good
granda	great
feliĉa	happy
salubra	healthy
peza	heavy
varma	hot
grava	important
lefta	left
malpeza	light
bagatela	little
proksima	near
nova	new
kena	nice
efektiva	real
dekstra	right
akra	sharp
simila	similar
lanta	slow
mola	soft
forta	strong
malforta	weak
vale	wrong
post	after
cxio	all
ajna	any
aŭtomata	automatic
havebla	available
amara	bitter
teda	boring
ambaux	both
hela	bright
rompita	broken
centra	central
certa	certain
malmultekosta	cheap
kemia	chemical
hela	clear
fermita	closed
komuna	common
kompleta	complete
konscia	conscious
barbara	cruel
kuranta	current
danĝera	dangerous
delikata	delicate
lamentinda	deplorable
alia	different
diferenca	different
malsupre	down
seka	dry
cxiu	each
frue	early
facila	easy
ekonomia	economic
ekonomia	economic
elektra	electric
egala	equal
para	even
ebena	even
cxiu	every
bonega	excellent
vale	fake
fora	far
dika	fat
grasa	fat
malmulta	few
fina	final
financa	financial
firma	firm
fiksita	fixed
plata	flat
venonta	following
eksterlanda	foreign
estinta	former
fragila	fragile
senpaga	free
karge	fresh
antauxa	front
plena	full
totala	full
plue	further
venonta	future
gxenerala	general
industria	industrial
interesa	interesting
internacia	international
lasta	last
leĝa	legal
likva	liquid
loka	local
lauxta	loud
malalta	low
bonŝanca	lucky
ĉefa	main
majxora	major
multaj	many
metala	metal
armitaj fortoj	military
eta	minute
moderna	modern
pli	more
multe	much
malvasta	narrow
nacia	national
natura	natural
necesa	necessary
apuda	next
nenia	no
normala	normal
sur	on
kontrauxa	opposite
origina	original
alia	other
oma	own
paralela	parallel
pasinta	past
persona	personal
fizika	physical
politika	political
malriĉa	poor
eventuala	possible
nuna	present
privata	private
versxajna	probable
profesia	professional
publika	public
kvieta	quiet
preta	ready
fresxdata	recent
regula	regular
respondeca	responsible
nefleksebla	rigid
kruda	rough
cirkla	round
sekura	safe
sama	same
dua	second
aparta	separate
serioza	serious
kurta	short
senbrua	silent
simpla	simple
sola	single
malgranda	small
glata	smooth
sociala	social
speciala	special
specifa	specific
kvadrata	square
normala	standard
glueca	sticky
rekta	straight
stranga	strange
eleganta	stylish
subita	sudden
dolĉaĵo	sweet
alta	tall
viskoza	thick
maldika	thin
strikta	tight
vera	true
malbela	ugly
sub	under
diversa	various
varma	warm
malseka	wet
tuta	whole
