Esperanto	﻿English
nigra	black
blua	blue
bruna	brown
grizo	gray
verda	green
orangxa	orange
rozkolora	pink
rugxa	red
violkolora	violet
blanka	white
flava	yellow
paro	couple
ok	eight
okdek	eighty
dek unu	eleven
kvindek	fifty
kvin	five
kvardek	forty
kvar	four
cent	hundred
miliono	million
naŭ	nine
naŭdek	ninety
nenio	nothing
sep	seven
sepdek	seventy
ses	six
sesdek	sixty
dek	ten
tria	third
tridek	thirty
mil	thousand
tri	three
dudek	twenty
du	two
brako	arm
dorso	back
beko	beak
veri	blood
kere	body
luu	bone
cerbo	brain
ĉelo	cell
brusto	chest
brusto	chest
mentono	chin
orelo	ear
okulo	eye
vizaĝo	face
fingro	finger
piedo	foot
frunto	forehead
geno	gene
haroj	hair
haro	hair
mano	hand
kapo	head
koro	heart
genuo	knee
kruro	leg
lipo	lip
buŝo	mouth
muskolo	muscle
ungo	nail
kolo	neck
nervo	nerve
nazo	nose
hauxto	skin
stomako	stomach
vosto	tail
gorgxo	throat
dikfingro	thumb
piedfingro	toe
lango	tongue
dento	tooth
flugilo	wing
formiko	ant
urso	bear
abelo	bee
birdo	bird
kato	cat
bovino	cow
hundo	dog
elefanto	elephant
kala	fish
muŝo	fly
kaprino	goat
cxevalo	horse
insekto	insect
leono	lion
simio	monkey
porko	pig
ŝafo	sheep
serpento	snake
infaneto	baby
naskiĝtago	birthday
knabo	boy
frato	brother
filino	daughter
morto	death
familio	family
patro	father
amiko	friend
frauxlino	girl
avo	grandfather
homo	human
edzo	husband
homo	man
edzeco	marriage
ema	mother
najbaro	neighbor
persono	person
fratino	sister
filo	son
nupto	wedding
geedzigxo	wedding
edzino	wife
virino	woman
biero	beer
kafo	coffee
trinkajxo	drink
lakto	milk
teo	tea
akvo	water
vino	wine
pano	bread
matenmangxo	breakfast
butero	butter
kuko	cake
fromaĝo	cheese
ĉokolado	chocolate
ovo	egg
nutraĵo	food
frukto	fruit
tagmanĝo	lunch
manĝo	meal
viando	meat
nafta	oil
rizo	rice
salato	salad
salo	salt
bulko	sandwich
kaste	sauce
supo	soup
sukero	sugar
dolĉeco	sweet
pomo	apple
abrikoto	apricot
banano	banana
rubusbero	blackberry
ĉerizo	cherry
citrono	lemon
nukso	nut
oranĝo	orange
persiko	peach
piro	pear
ananaso	pineapple
pruno	plum
frambo	raspberry
frago	strawberry
fazeolo	bean
brasiko	cabbage
karoto	carrot
kukumo	cucumber
ajlo	garlic
olivo	olive
cepo	onion
pastinako	parsnip
terpomo	potato
rafano	radish
tomato	tomato
adreso	address
banejo	bathroom
litoĉambro	bedroom
briko	brick
pordo	door
pavimo	floor
etagxo	floor
garaĝo	garage
ĝardeno	garden
pordego	gate
antauxcxambro	hall
kodu	home
maja	house
kuirejo	kitchen
tegmento	roof
tuba	room
duŝo	shower
sxtupo	step
necesejo	toilet
muro	wall
puto	well
fenestro	window
lito	bed
tapiŝo	carpet
seĝo	chair
sxranko	cupboard
kurteno	curtain
skribotablo	desk
mebloj	furniture
bretaro	shelf
lavkuvo	sink
tablo	table
mansaketo	bag
boto	boot
lina	cloth
vestoj	clothing
palto	coat
kolumo	collar
ĉapelo	hat
jako	jacket
