Esperanto	﻿English
esti	be
komenciĝi	begin
rompi	break
aĉeti	buy
fermi	close
veni	come
trancxi	cut
danci	dance
ekzerci	do
desegni	draw
trinki	drink
manĝi	eat
langema	fall
palpi	feel
trovi	find
pafi	fire
flugi	fly
sekvi	follow
forgesi	forget
akiri	get
doni	give
havi	have
auxdi	hear
helpi	help
esperi	hope
salti	jump
kisi	kiss
scii	know
ridi	laugh
lerni	learn
kusxi	lie
mensogi	lie
aŭdi	listen
rigardi	look
perdi	lose
ami	love
fari	make
renkonti	meet
movi	move
necesi	need
oferti	offer
malfermi	open
pagi	pay
ludi	play
tiri	pull
puŝi	push
meti	put
legi	read
kuri	run
diri	say
vendi	sell
sidi	sit
rideti	smile
preni	take
paroli	talk
kompreni	understand
uzi	use
skribi	write
akcepti	accept
akuzi	accuse
atingi	achieve
agi	act
aldoni	add
koncedi	admit
konsenti	agree
permesi	allow
anonci	announce
disputi	argue
alveni	arrive
peti	ask
ataki	attack
eviti	avoid
vivi	be
porti	bear
venki	beat
iĝi	become
konduti	behave
kredi	believe
mordi	bite
alporti	bring
konstrui	build
alvoki	call
porti	carry
kapti	catch
emigi	cause
ŝanĝi	change
elekti	choose
klasi	classify
purigi	clean
kompari	compare
enhavi	contain
dauxrigi	continue
komandi	control
kuiradi	cook
kopii	copy
tusi	cough
pisti	crush
dispremi	crush
plori	cry
decidi	decide
liveri	deliver
priskribi	describe
plani	design
voli	desire
evolucii	develop
morti	die
diskuti	discuss
fendi	divide
dubi	doubt
stiri	drive
kuraĝigi	encourage
fini	end
levi	enhance
ĝui	enjoy
eniri	enter
fondi	establish
taksi	estimate
superi	exceed
ekzisti	exist
atendi	expect
ekspliki	explain
esprimi	express
batali	fight
plenigi	fill
trovi	find
fini	finish
niveli	flush
pardoni	forgive
liberigi	free
up kapitulaci	give
kreski	grow
okazi	happen
malami	hate
kaŝi	hide
teni	hold
identigi	identify
inkluzivi	include
kreski	increase
vundi	injure
prezenti	introduce
prezenti	introduce
kunligi	join
konservi	keep
kiki	kick
mortigi	kill
konduki	lead
permesi	let
levi	lift
limigi	limit
sxargxi	load
sxlosi	lock
aspekti	look
perdi	lose
administri	manage
edzigxi	marry
korespondi	match
intenci	mean
mezuri	measure
mencii	mention
nomi	name
ordoni	order
havi	own
elŝeligi	peel
plani	plan
gxojigi	please
plugi	plow
veneni	poison
poluri	polish
pretigi	prepare
preventi	prevent
presi	print
prilabori	process
profiti	profit
protesti	protest
montri	prove
publikigi	publish
eduki	raise
taksi	rate
gajni	reach
ricevi	receive
registri	record
plimalgrandigi	reduce
reflekti	reflect
rifuzi	refuse
elpreni	remove
redoni	render
respondi	reply
riporti	report
reprezenti	represent
peti	request
honori	respect
ripozi	rest
riveli	reveal
riski	risk
off rondigi	round
regi	rule
ŝpari	save
savi	save
vidi	see
konsideri	see
sendi	send
kudri	sew
kriegi	shout
montri	show
odori	smell
fetori	smell
odori	smell
stari	stand
resti	stay
sxteli	steal
haltigi	stop
studi	study
suferi	suffer
proponi	suggest
liveri	supply
subteni	support
supozi	suppose
surprizi	surprise
gustumi	taste
instrui	teach
testi	test
danki	thank
opinii	think
jxeti	throw
titoli	title
negoci	trade
trejni	train
iri	travel
trakti	treat
provi	try
turni	turn
viziti	visit
marsxi	walk
varmigi	warm
lavi	wash
observi	watch
porti	wear
pezi	weigh
gajni	win
