English	Finnish
another	toinen
bad	huono
basic	perus-
beautiful	kaunis
best	paras
better	parempi
big	suuri
clean	puhdas
cold	kylmä
correct	oikea
dark	pimeä
difficult	vaikea
dirty	likainen
fast	nopea
good	kiltti
great	huomattava
great	hauska
happy	onnellinen
healthy	terve
heavy	raskas
high	korkea
hot	kuuma
important	tärkeä
left	vasen
light	kevyt
long	pitkä
near	lähellä
new	uusi
nice	mukava
open	aava
real	oikea
right	oikea
sharp	tarkka
similar	kuin
slow	hidas
soft	pehmeä
strong	voimakas
weak	heikko
wrong	virheellinen
acid	hapan
ago	sitten
all	kaikki
any	joku
automatic	automaattinen
available	käytettävissä
bitter	karvas
boring	pitkäveteinen
bright	helakka
broken	rikki
central	keskeinen
certain	varma
cheap	halpa
chemical	kemiallinen
clear	kirkas
closed	suljettu
common	yleinen
common	yhteinen
complete	täydellinen
conscious	tajuinen
cruel	julma
current	nykyinen
dangerous	vaarallinen
delicate	hieno
deplorable	surullinen
different	erilainen
different	erilainen
down	Alas
dry	kuiva
each	jokainen
early	varhainen
easy	helppo
economic	taloudellinen
economic	taloudellinen
electric	sähköinen
equal	yhtäläinen
even	parillinen
even	sileä
every	jokainen
excellent	erinomainen
fake	petollinen
far	kaukana
fat	lihava
fat	runsas
few	vähän
final	lopullinen
financial	rahallinen
firm	luja
flat	tasainen
following	seuraava
foreign	ulkomaan
fragile	hauras
free	ilmainen
fresh	tuore
full	täysi
full	kokonais-
further	kauempana
future	tuleva
general	yleinen
industrial	teollinen
interesting	kiinnostava
international	kansainvälinen
last	viimeinen
legal	laillinen
liquid	nestemäinen
local	paikallinen
loud	kovaääninen
low	matala
lucky	onnekas
main	ensisijainen
major	merkittävä
many	monta
military	sotilas
modern	moderni
more	lisää
much	paljon
narrow	kapea
national	kansallinen
natural	luonnollinen
necessary	välttämätön
no	ei kukaan
normal	normaali
opposite	vastapäinen
original	alkuperäinen
other	toinen
own	oma
parallel	rinnakkainen
particular	erityinen
past	viime
personal	henkilökohtainen
physical	fyysinen
political	poliittinen
poor	köyhä
popular	yleistajuinen
possible	käypä
present	nykyinen
previous	edellinen
private	yksityinen
probable	todennäköinen
professional	ammatillinen
public	yleinen
quiet	hiljainen
ready	valmis
recent	äskeinen
regular	säännöllinen
rigid	jäykkä
rough	karkea
round	pyöreä
safe	turvallinen
same	sama
second	toinen
secret	salainen
separate	eri
serious	vakava
set	vakio
several	usea
short	lyhyt
silent	hiljainen
silver	hopeinen
simple	yksinkertainen
single	yksi ainoa
small	pieni
smooth	sileä
solid	kiinteä
sparse	harva
special	erityinen
square	neliö
standard	normaali
sticky	tahmea
straight	suora
strange	kummallinen
stylish	tyylikäs
sudden	äkillinen
sweet	makea
tall	pitkä
thick	sakea
thin	ohut
tight	tiukka
true	tosi
ugly	ruma
under	alla
usual	yleinen
various	erilainen
warm	lämmin
wet	märkä
whole	koko
wide	leveä