English	Finnish
be	olla
begin	käynnistää
break	rikkoa
buy	ostaa
close	sulkea
come	tulla
cut	leikata
dance	tanssia
do	käyttää
draw	piirtää
drink	juoda
eat	syödä
fall	pudota
find	löytää
fire	ampua
fly	lentää
follow	seurata
forget	unohtaa
get	saada
give	antaa
have	omistaa
hear	kuulla
help	avustaa
hope	toivoa
jump	loikkia
kiss	suudella
laugh	nauraa
learn	oppia
lie	maata
lie	valehdella
like	pitää
listen	kuunnella
look	katsoa
lose	menettää
love	rakastaa
make	tehdä
meet	tavata
move	liikkua
need	tarvita
offer	tarjota
open	avata
pay	maksaa
play	leikkiä
pull	vetää
push	työntää
put	panna
read	lukea
remember	muistaa
run	juosta
say	sanoa
sell	myydä
sing	laulaa
sit	istua
smile	hymyillä
swim	uida
take	ottaa
talk	puhua
understand	ymmärtää
use	käyttää
wait	odottaa
write	kirjoittaa
accept	ottaa vastaan
accuse	syyttää
achieve	saavuttaa
act	toimia
add	lisätä
add	lisätä
admit	myöntää
affect	liikuttaa
agree	täsmätä
allow	mahdollistaa
announce	ilmoittaa
argue	kiistellä
arrive	saapua
ask	kysyä
attack	hyökätä
avoid	välttää
be	elää
bear	kantaa
beat	voittaa
become	päästä
behave	toimia
believe	luulla
bite	haukata
bring	tuoda
build	muodostaa
burn	polttaa
call	soittaa
carry	kantaa
change	muuttaa
choose	valita
classify	luokitella
clean	puhdistaa
compare	verrata
contain	sisältää
continue	jatkaa
control	hallita
cook	valmistaa
copy	kopioida
cough	yskiä
crush	hienontaa
crush	ruhjoa
cry	itkeä
decide	ratkaista
describe	kuvata
desire	haluta
develop	kehittää
die	kuolla
discover	löytää
discuss	keskustella
divide	jakaa
doubt	epäillä
drive	ajaa
embrace	käsittää
encourage	rohkaista
end	lopettaa
enhance	parantaa
enjoy	nauttia
enter	astua sisään
establish	perustaa
estimate	arvioida
exceed	mennä yli
exist	olla olemassa
expect	odottaa
explain	selittää
fight	tapella
fill	täyttää
find	havaita
finish	lopettaa
flush	tasoittaa
forgive	antaa anteeksi
free	vapauttaa
grow	kasvaa
happen	tapahtua
hate	vihata
hide	kätkeä
hold	pitää
identify	tunnistaa
include	sisältää
increase	lisätä
injure	haavoittaa
introduce	esitellä
introduce	esitellä
join	liittää
keep	pitää
kick	potkaista
kill	tappaa
land	laskeutua
last	kestää
lead	opastaa
leave	jättää
let	antaa
lift	nostaa
limit	rajoittaa
load	ladata
lock	lukita
look	näyttää
lose	kadottaa
manage	johtaa
match	täsmätä
mean	tarkoittaa
mean	aikoa
measure	mitata
mention	mainita
miss	myöhästyä
name	kutsua
own	omistaa
pass	on luovuttaa
peel	kuoria
plan	järjestää
plow	kyntää
poison	myrkyttää
polish	kiillottaa
prepare	valmistaa
press	painaa
prevent	estää
print	painaa
process	käsitellä
profit	hyötyä
prove	näyttää toteen
publish	julkaista
raise	kasvattaa
rate	arvostaa
reach	saapua
receive	saada
record	äänittää
reduce	vähentää
reflect	heijastaa
refuse	kieltäytyä
remove	poistaa
render	palauttaa
replace	korvata
reply	vastata
report	ilmoittaa
represent	edustaa
request	pyytää
respect	kunnioittaa
reveal	paljastaa
risk	vaarantaa
rule	hallita
save	säästää
save	pelastaa
see	nähdä
send	lähettää
serve	palvella
sew	ommella
shout	huutaa
show	näyttää
smell	haista
smell	haista
smoke	höyrytä
spend	viettää
stand	seisoa
stay	jäädä
steal	varastaa
stop	pysäyttää
study	opiskella
suffer	kärsiä
suggest	ehdottaa
supply	hankkia
support	kannattaa
surprise	yllättää
taste	maistaa
teach	opettaa
test	testata
thank	kiittää
throw	heittää
train	harjoitella
travel	mennä
treat	kohdella
trick	puijata
try	yrittää
turn	kääntyä
visit	käydä
walk	kävellä
warm	lämmittää
wash	pestä
watch	katsella
wear	käyttää
weigh	painaa
win	voittaa
wish	toivoa