Finnish	﻿English
ympärillä	about
yläpuolella	above
uudestaan	again
melkein	almost
pitkin	along
jo	already
aina	always
noin	approximately
kuten	as
takana	behind
välissä	between
pitkin	by
suoraan	directly
alas	down
varhain	early
tarpeeksi	enough
jopa	even
täsmälleen	exactly
lopuksi	finally
edespäin	forward
yleensä	generally
tällöin	here
täällä	here
kuitenkin	however
välittömästi	immediately
johonkin	in
todella	indeed
sisällä	inside
myöhään	late
jälkeen	later
vähiten	least
vähäinen	little
vain	merely
enemmän	more
ei koskaan	never
ei	not
nyttemmin	now
ilmeisesti	obviously
usein	often
kerran	once
ulkona	outside
erinomaisen	particularly
ehkä	possibly
nopeasti	quickly
todella	really
todella	really
hiljakkoin	recently
hitaasti	slowly
niin	so
yksin	solely
joskus	sometimes
pian	soon
vielä	still
sellainen	such
varmasti	surely
silloin	then
tuolla	there
siis	therefore
tänään	today
yhdessä	together
huomenna	tomorrow
tänä iltana	tonight
myös	too
ylös	up
tavallisesti	usually
tosi	very
hyvin	well
