English	French
begin	débuter
break	briser
buy	acheter
close	fermer
come	venir
cut	couper
dance	danser
do	exercer
draw	dessiner
drink	boire
eat	manger
fall	tomber
feel	sentir
find	trouver
fire	tirer
fly	voler
follow	suivre
forget	oublier
get	attraper
give	donner
have	avoir
hear	entendre
help	aider
hope	espérer
jump	bondir
kiss	baiser
know	savoir
laugh	rire
learn	apprendre
lie	résider
lie	mentir
like	aimer
listen	écouter
look	regarder
lose	perdre
love	aimer
make	rendre
meet	rencontrer
move	bouger
need	avoir besoin de
offer	offrir
open	ouvrir
pay	payer
play	jouer
pull	tirer
push	pousser
put	poser
read	lire
remember	se rappeler
run	courir
say	dire
sell	vendre
sing	chanter
sit	poser
smile	sourire
take	prendre
talk	parler
understand	comprendre
use	se servir de
wait	attendre
write	écrire
accept	accepter
accuse	accuser
achieve	réaliser
act	agir
add	joindre
add	additionner
admit	reconnaître
affect	affecter
agree	accord avec
allow	permettre
announce	annoncer
argue	se disputer
arrive	arriver
ask	demander
attack	attaquer
avoid	éviter
be	vivre
bear	porter
beat	vaincre
become	devenir
behave	procéder
believe	croire
benefit	profiter
bite	mordre
bring	apporter
build	bâtir
call	téléphoner
carry	porter
catch	prendre
cause	pousser
change	modifier
choose	choisir
classify	classer
clean	nettoyer
compare	comparer
contain	contenir
continue	continuer
control	contrôler
cook	cuisiner
copy	copier
cough	tousser
crush	écraser
crush	écraser
cry	pleurer
decide	décider
deliver	remettre
describe	décrire
design	concevoir
desire	vouloir
develop	développer
die	mourir
discover	découvrir
discuss	discuter
divide	diviser
doubt	douter
drive	conduire
embrace	comprendre
encourage	encourager
end	finir
enhance	mettre en valeur
enjoy	aimer
enter	entrer
establish	fonder
estimate	estimer
exceed	dépasser
exist	exister
expect	attendre
explain	expliquer
express	formuler
fight	lutter
fill	remplir
find	détecter
finish	terminer
flush	égaliser
forgive	pardonner
free	libérer
give	up abdiquer
grow	pousser
happen	arriver
hate	détester
hide	dissimuler
hold	tenir
identify	identifier
imply	impliquer
include	inclure
increase	augmenter
injure	blesser
introduce	présenter
introduce	présenter
join	joindre
keep	garder
kick	coup de pied
kill	tuer
land	atterrir
last	durer
lead	conduire
leave	laisser
let	laisser
lift	lever
limit	contenir
load	charger
lock	fermer
look	sembler
lose	perdre
manage	administrer
marry	épouser
match	aller
mean	intention de
measure	mesurer
mention	parler de
miss	manquer
miss	manquer
name	appeler
operate	manoeuvrer
order	ordonner
own	posséder
pass	on rendre
peel	peler
plan	organiser
plow	labourer
poison	empoisonner
polish	cirer
prepare	préparer
press	appuyer sur
prevent	empêcher
print	imprimer
process	développer
profit	profit
protest	protester
prove	prouver
publish	publier
raise	élever
rate	apprécier
reach	arriver
receive	recevoir
record	enregistrer
reduce	réduire
reflect	renvoyer
refuse	refuser
remove	enlever
render	remettre
replace	remplacer
reply	ouvrir
report	signaler
represent	représenter
request	appeler
respect	honorer
rest	se reposer
reveal	révéler
risk	risquer le coup
round	off arrondir
rule	gouverner
save	économiser
save	sauver
see	voir
see	considérer
send	envoyer
serve	servir
sew	coudre
share	partager
shout	crier
show	montrer
smell	embaumer
smell	sentir
smell	sentir
spend	passer
stand	rester
stay	rester
steal	voler
stop	arrêter
study	étudier
suffer	endurer
suggest	proposer
supply	fournir
support	soutenir
suppose	supposer
surprise	surprendre
taste	goût
teach	enseigner
test	interroger
thank	remercier
think	réfléchir
throw	jeter
title	intituler
trade	commercer
train	former
travel	aller
treat	traiter
trick	attraper
try	tenter
turn	tourner
visit	visiter
walk	marcher
warm	chauffer
wash	laver
watch	regarder
wear	porter
weigh	peser
win	gagner
wish	désirer