French	﻿English
débuter	begin
briser	break
acheter	buy
fermer	close
venir	come
couper	cut
danser	dance
exercer	do
dessiner	draw
boire	drink
manger	eat
tomber	fall
sentir	feel
trouver	find
tirer	fire
voler	fly
suivre	follow
oublier	forget
attraper	get
donner	give
avoir	have
entendre	hear
aider	help
espérer	hope
bondir	jump
baiser	kiss
savoir	know
rire	laugh
apprendre	learn
résider	lie
mentir	lie
aimer	like
écouter	listen
regarder	look
perdre	lose
aimer	love
rendre	make
rencontrer	meet
bouger	move
avoir besoin de	need
offrir	offer
ouvrir	open
payer	pay
jouer	play
tirer	pull
pousser	push
poser	put
lire	read
se rappeler	remember
courir	run
dire	say
vendre	sell
chanter	sing
poser	sit
sourire	smile
prendre	take
parler	talk
comprendre	understand
se servir de	use
attendre	wait
écrire	write
accepter	accept
accuser	accuse
réaliser	achieve
agir	act
joindre	add
additionner	add
reconnaître	admit
affecter	affect
accord avec	agree
permettre	allow
annoncer	announce
se disputer	argue
arriver	arrive
demander	ask
attaquer	attack
éviter	avoid
vivre	be
porter	bear
vaincre	beat
devenir	become
procéder	behave
croire	believe
profiter	benefit
mordre	bite
apporter	bring
bâtir	build
téléphoner	call
porter	carry
prendre	catch
pousser	cause
modifier	change
choisir	choose
classer	classify
nettoyer	clean
comparer	compare
contenir	contain
continuer	continue
contrôler	control
cuisiner	cook
copier	copy
tousser	cough
écraser	crush
écraser	crush
pleurer	cry
décider	decide
remettre	deliver
décrire	describe
concevoir	design
vouloir	desire
développer	develop
mourir	die
découvrir	discover
discuter	discuss
diviser	divide
douter	doubt
conduire	drive
comprendre	embrace
encourager	encourage
finir	end
mettre en valeur	enhance
aimer	enjoy
entrer	enter
fonder	establish
estimer	estimate
dépasser	exceed
exister	exist
attendre	expect
expliquer	explain
formuler	express
lutter	fight
remplir	fill
détecter	find
terminer	finish
égaliser	flush
pardonner	forgive
libérer	free
up abdiquer	give
pousser	grow
arriver	happen
détester	hate
dissimuler	hide
tenir	hold
identifier	identify
impliquer	imply
inclure	include
augmenter	increase
blesser	injure
présenter	introduce
présenter	introduce
joindre	join
garder	keep
coup de pied	kick
tuer	kill
atterrir	land
durer	last
conduire	lead
laisser	leave
laisser	let
lever	lift
contenir	limit
charger	load
fermer	lock
sembler	look
perdre	lose
administrer	manage
épouser	marry
aller	match
intention de	mean
mesurer	measure
parler de	mention
manquer	miss
manquer	miss
appeler	name
manoeuvrer	operate
ordonner	order
posséder	own
on rendre	pass
peler	peel
organiser	plan
labourer	plow
empoisonner	poison
cirer	polish
préparer	prepare
appuyer sur	press
empêcher	prevent
imprimer	print
développer	process
profit	profit
protester	protest
prouver	prove
publier	publish
élever	raise
apprécier	rate
arriver	reach
recevoir	receive
enregistrer	record
réduire	reduce
renvoyer	reflect
refuser	refuse
enlever	remove
remettre	render
remplacer	replace
ouvrir	reply
signaler	report
représenter	represent
appeler	request
honorer	respect
se reposer	rest
révéler	reveal
risquer le coup	risk
off arrondir	round
gouverner	rule
économiser	save
sauver	save
voir	see
considérer	see
envoyer	send
servir	serve
coudre	sew
partager	share
crier	shout
montrer	show
embaumer	smell
sentir	smell
sentir	smell
passer	spend
rester	stand
rester	stay
voler	steal
arrêter	stop
étudier	study
endurer	suffer
proposer	suggest
fournir	supply
soutenir	support
supposer	suppose
surprendre	surprise
goût	taste
enseigner	teach
interroger	test
remercier	thank
réfléchir	think
jeter	throw
intituler	title
commercer	trade
former	train
aller	travel
traiter	treat
attraper	trick
tenter	try
tourner	turn
visiter	visit
marcher	walk
chauffer	warm
laver	wash
regarder	watch
porter	wear
peser	weigh
gagner	win
