English	German
be	sein
begin	anfangen, beginnen
break	brechen, zerbrechen
buy	kaufen
close	schließen, zumachen
come	kommen
cut	schneiden
dance	tanzen
do	praktizieren, exerzieren
draw	malen, zeichnen
drink	trinken
eat	essen
fall	fallen, stürzen
feel	fühlen, tasten
find	finden
fire	feuern, schießen
fly	fliegen
follow	folgen
forget	vergessen
get	bekommen
give	geben
have	haben
hear	hören
help	assistieren, helfen
hope	hoffen
jump	springen
kiss	küssen
laugh	lachen
learn	erlernen, lernen
lie	liegen
lie	lügen
like	lieben, mögen
listen	zuhören, hören
look	schauen
lose	verlieren
love	lieben
make	machen, tun
meet	treffen, zusammenkommen
move	bewegen
need	benötigen, brauchen
offer	anbieten, bieten
open	aufmachen, öffnen
pay	bezahlen, zahlen
play	spielen
pull	ziehen
push	schieben, stecken
put	platzieren, legen
read	lesen
remember	erinnern, sich erinnern
run	rennen
say	sagen, erzählen
sell	verkaufen
sing	singen
sit	sitzen
smile	lächeln
swim	schwimmen
take	nehmen
talk	sprechen, reden
understand	verstehen, begreifen
use	anwenden, verwenden
wait	warten
write	schreiben
accept	akzeptieren, annehmen
accuse	beschuldigen
achieve	erreichen, erzielen
act	tun
add	addieren, zurechnen
admit	zugeben, zulassen
affect	beeinflussen
agree	zustimmen, übereinstimmen
allow	erlauben, gestatten
announce	ansagen, annoncieren
argue	streiten, sich streiten
arrive	ankommen, anreisen
ask	fragen
attack	angreifen, attackieren
avoid	meiden, vermeiden
be	leben
bear	tragen
beat	besiegen, schlagen
become	bekommen
behave	handeln, sich benehmen
believe	glauben, trauen
benefit	nützlig sein
bite	beißen
bring	bringen
build	bauen
burn	verbrennen
call	telefonieren, anrufen
care	sorgen
carry	tragen
catch	auffangen, fangen
cause	bewirken
change	abändern, verändern
choose	auswählen, wählen
classify	klassifizieren, sortieren
clean	reinigen, säubern
compare	vergleichen
contain	enthalten
continue	fortsetzen, weitermachen
control	beherrschen, kontrollieren
cook	kochen
copy	kopieren
cough	husten
crush	zerdrücken, zerquetschen
crush	zerdrücken, zerquetschen
cry	weinen
decide	entscheiden, bestimmen
describe	beschreiben
design	entwerfen
desire	begehren, wollen
develop	entwickeln
die	sterben
discover	entdecken
discuss	debattieren, bereden
divide	teilen, verteilen
doubt	anzweifeln, bezweifeln
drive	steuern, lenken
embrace	enthalten, umfassen
encourage	ermutigen
end	enden
enhance	erhöhen, steigern
enjoy	genießen
enter	eintreten, hineingehen
establish	begründen, gründen
estimate	schätzen
exceed	übersteigen, übertreffen
exist	existieren, bestehen
expect	erwarten, entgegensehen
explain	erklären, erläutern
fight	kämpfen, ringen
fill	füllen, auffüllen
find	entdecken, enthüllen
finish	beenden, fertig stellen
flush	ausgleichen
forgive	verzeihen
free	befreien, erlösen
give	up kapitulieren
grow	anwachsen, wachsen
happen	stattfinden, geschehen
hate	hassen
hide	verbergen, verstecken
hold	halten
identify	identifizieren
include	einschließen
increase	steigen, wachsen
injure	verletzen, verwunden
introduce	vorstellen
introduce	vorstellen
join	verbinden, zusammenfügen
keep	halten, erhalten
kick	treten
kill	töten, umbringen
land	landen
last	halten
lead	leiten, führen
leave	hinterlassen, zurücklassen
let	lassen
lift	anheben, erhöhen
limit	begrenzen, beschränken
load	laden, aufladen
lock	schließen, verschließen
look	aussehen
lose	verlieren
manage	leiten
marry	heiraten
match	korrespondieren, übereinstimmen
mean	beabsichtigen, vorhaben
measure	messen
mention	zitieren
miss	verpassen, versäumen
miss	verfehlen
name	nennen, benennen
order	anordnen, befehlen
own	besitzen, eignen
pass	on übergeben
peel	schälen
plan	planen
please	erfreuen
plow	pflügen
poison	vergiften
polish	polieren
prepare	vorbereiten
press	drücken, pressen
prevent	hindern, verhindern
print	ausdrucken, drucken
process	bearbeiten, verarbeiten
profit	profitieren
protest	protestieren
prove	beweisen
publish	veröffentlichen
raise	erziehen, aufziehen
rate	einschätzen, schätzen
reach	erreichen, eintreffen
receive	bekommen, empfangen
record	aufnehmen, aufzeichnen
reduce	reduzieren, vermindern
reflect	reflektieren, widerspiegeln
refuse	ablehnen
remove	entfernen, beseitigen
render	zurückgeben
replace	ersetzen
reply	antworten, reagieren
report	berichten
represent	darstellen, verkörpern
request	fordern, verlangen
respect	achten, beachten
reveal	enthüllen, preisgeben
risk	riskieren
round	off abrunden
rule	herrschen, regieren
save	sparen
save	retten, schützen
see	sehen
see	betrachten
send	schicken, übersenden
serve	dienen
sew	nähen
share	teilen
shout	schreien, brüllen
show	präsentieren, zeigen
smash	schlagen, hauen
smell	duften, riechen
smell	stinken
smell	riechen
smoke	rauchen
spend	verbringen
stand	stehen
stay	bleiben
steal	klauen, stehlen
stop	anhalten, halten
study	studieren
suffer	erleiden, erdulden
suggest	beantragen, vorschlagen
supply	liefern, zustellen
support	stützen, unterstützen
surprise	überraschen
taste	kosten, schmecken
teach	lehren, unterrichten
test	probieren
thank	danken
throw	schleudern, werfen
title	betiteln, bezeichnen
trade	handeln
train	trainieren, schulen
travel	gehen, bewegen sich
treat	heilen, behandeln
trick	betrügen, hereinlegen
try	probieren, versuchen
turn	drehen
visit	besuchen
walk	gehen
warm	erwärmen, anwärmen
wash	waschen
watch	sehen, schauen
wear	anhaben, tragen
weigh	wiegen
win	gewinnen
wish	wünschen