German	﻿English
rund um	about
oben, ober	above
wiederum	again
fast	almost
entlang	along
bereits	already
stets, immer	always
nahezu, um	approximately
wie	as
ehe, vor	before
hinter	behind
zwischen	between
jenseits	beyond
vorbei	by
deutlich	clearly
direkt, gerade	directly
abwärts	down
früh	early
entweder	either
genug	enough
sogar	even
genau, gerade	exactly
letzter	finally
erst, zunächst	first
voraus, vordere	forward
gewöhnlich	generally
hier	here
hier	here
dennoch, aber	however
sofort	immediately
hinein, im	in
innen, innerhalb	inside
statt dessen	instead
spät	late
nach, später	later
wenigsten	least
wenig, bisschen	little
nur	merely
mehr	more
niemals	never
nicht	not
jetzt	now
offensichtlich	obviously
häufig, oft	often
einmal	once
außen, außer	outside
besonders, zumal	particularly
vielleicht	possibly
wahrscheinlich	probably
schnell	quickly
tatsächlich, wirklich	really
wahrlich, wirklich	really
neulich	recently
langsam	slowly
so	so
allein	solely
bisweilen, manchmal	sometimes
bald	soon
noch	still
derart, derartig	such
plötzlich	suddenly
gewiss, bestimmt	surely
dann	then
da, dort	there
also, daher	therefore
heute	today
zusammen	together
morgen	tomorrow
heute abend	tonight
auch	too
hinauf, oben	up
gewöhnlich	usually
sehr	very
gut	well
