English	Greek
be	είμαι, είσαι
begin	ξεκινώ, αρχίζω
break	σπάζω
buy	αγοράζω
close	κλείνω
come	έρχομαι
cut	κόβω
dance	χορεύω
do	εξασκώ
draw	σχεδιάζω
drink	πίνω
eat	τρώγω, τρώω
fall	πέφτω
feel	νιώθω, αισθάνομαι
find	βρίσκω
fire	πυροβολώ
fly	πετώ
follow	ακολουθώ
forget	ξεχνώ
get	πάρω
give	δίνω
have	έχω
hear	ακούω
help	βοηθώ
hope	ελπίζω
jump	πηδώ
kiss	φιλώ
know	γνωρίζω
laugh	γελώ
learn	μαθαίνω
lie	είμαι ξαπλωμένος
lie	λέω ψέματα
like	αγαπώ
listen	ακούω
look	κοιτάζω
lose	χάνω
love	αγαπώ
make	κάνω
meet	συναντώ
move	κινώ
need	έχω ανάγκη
offer	προσφέρομαι
open	ανοίγω
pay	πληρώνω
play	παίζω
pull	τραβώ, σέρνω
push	σπρώχνω
put	βάζω
read	διαβάζω
remember	θυμάμαι
run	τρέχω
say	λέω
sell	πουλώ
sing	τραγουδώ
sit	κάθομαι
smile	χαμογελώ
swim	κολυμπώ
take	παίρνω
talk	μιλώ
understand	καταλαβαίνω
use	χρησιμοποιώ
wait	περιμένω
write	γράφω
accept	αποδέχομαι
accuse	κατηγορώ
achieve	κατορθώνω
act	ενεργώ
add	προσθέτω
add	προσθέτω
admit	αναγνωρίζω
affect	επιρεάζω
agree	συμφωνώ
allow	επιτρέπω
announce	αναγγέλλω
argue	καβγαγίζω
arrive	φτάνω
ask	ρωτώ
attack	επιτίθεμαι
avoid	αποφεύγω
be	ζω
bear	φέρω
beat	νικώ
become	γίνομαι
behave	συμπεριφέρομαι
believe	πιστεύω
benefit	ωφελώ
bite	δαγκώνω
bring	φέρω, φέρνω
build	χτίζω
burn	καίω
call	τηλεφωνώ
care	στενεχωρώ
carry	μεταφέρω
catch	πιάνω
cause	προκαλώ
change	αλλάζω
choose	διαλέγω
classify	ταξινομώ
clean	καθαρίζω
compare	παραβάλλω
connect	συνδέω
contain	περιέχω
continue	συνεχίζω
control	ελέγχω
cook	βράζω
copy	αντιγράφω
cough	βήχω
count	μετρώ
crush	συνθλίβω
crush	συνθλίβω
cry	κλαίω
decide	αποφασίζω
deliver	παραδίδω, εκδίδω
describe	περιγράφω
design	σχεδιάζω
desire	θέλω
develop	αναπτύσσω
die	πεθαίνω
discover	ανακαλύπτω
discuss	συζητώ
dislike	δεν μου αρέσει
divide	διαιρώ
doubt	αμφιβάλλω
drive	οδηγώ
embrace	περιλαμβάνω
encourage	ενθαρρύνω
end	τελειώνω
enhance	αυξάνω
enjoy	απολαμβάνω
enter	μπαίνω
establish	ιδρύω
estimate	εκτιμώ
exceed	υπερβαίνω
exist	υπάρχω
expect	αναμένω
explain	εξηγώ
express	εκφράζω
fight	μάχομαι
fill	γεμίζω
find	αποκαλύπτω
find	out αποφασίζω
finish	τελειώνω
flush	εξαλείφω
forgive	συγχωρώ
free	απελευθερώνω
give	up εγκαταλείπω
grow	αυξάνομαι
happen	συμβαίνω
hate	μισώ
hide	κρύβω
hold	κρατώ
identify	αναγνωρίζω
imply	μπλέκω
include	κλείνω
increase	αυξάνω
injure	πληγώνω
introduce	παρουσιάζω
introduce	παρουσιάζω
join	ενώνω
keep	διατηρώ
kick	κλοτσώ
kill	σκοτώνω
land	προσγειώνομαι
last	κρατώ
lead	κατευθύνω
leave	αφήνω
let	αφήνω
lift	σηκώνω
limit	περιορίζω
load	φορτώνω
lock	κλειδώνω
look	φαίνομαι
lose	χάνω
manage	διευθύνω
marry	παντρεύομαι
match	ταυτίζομαι
mean	εννοώ
mean	σχεδιάζω
measure	μετρώ
mention	αναφέρω
miss	χάνω
miss	αστοχώ
name	ονομάζω
operate	λειτούργω
order	διατάζω
own	έχω
pass	on παραδίδω, εκδίδω
peel	ξεφλουδίζω
plan	σχεδιάζω
please	χαίρομαι % χαίρω
plow	αλετρίζω
poison	δηλητηριάζω
polish	γυαλίζω
prepare	προετοιμάζω
press	πιέζω
prevent	αποτρέπω, προλαμβάνω
print	τυπώνω
process	επεξεργάζομαι
profit	αποκτώ
protest	διαμαρτύρομαι
prove	αποδεικνύω
publish	εκδίδω
raise	ανατρέφω
rate	εκτιμώ
reach	φτάνω
receive	λαμβάνω, λαβαίνω
record	ηχογραφώ
reduce	μειώνω
reflect	αντανακλώ
refuse	αρνούμαι
remove	απομακρύνω
render	επιστρέφω
replace	εκπροσωπώ
reply	απαντώ
report	αναφέρω
represent	αντιπροσωπεύω
request	ζητώ
respect	εκτιμώ
rest	αναπαύομαι
reveal	αποκαλύπτω
risk	διακινδυνεύω, ρισκάρω
round	off στρογγυλεύω
rule	κυβερνώ
save	αποταμιεύω
save	διασώζω
see	βλέπω
see	θεωρώ
send	ταχυδρομώ
serve	υπηρετώ
sew	ράβω
share	μοιράζομαι
shout	φωνάζω
show	διαδηλώνω
smash	χτηπώ
smell	μυρίζω
smell	βρομώ
smell	μυρίζω
smoke	καπνίζω
spend	περνώ
stand	στέκομαι
stay	απομένω
steal	κλέβω
stop	σταματώ
study	μελετώ
suffer	παθαίνω
suggest	προτείνω
supply	προμηθεύω
support	υποστηρίζω
suppose	υποθέτω
surprise	εκπλήσσω
taste	έχω γεύση
teach	διδάσκω
test	δοκιμάζω
thank	ευχαριστώ
think	σκέφτομαι
throw	πετώ
title	τιτλοφορώ
trade	εμπορεύομαι
train	προπονούμαι, προγυμνάζω
travel	πηγαίνω
treat	θεραπεύω
trick	εξαπατώ
try	προσπαθώ
turn	γυρίζω
visit	επισκέπτομαι
walk	πηγαίνω, περπατώ
warm	ζεσταίνω
wash	πλένω
watch	βλέπω
wear	φορώ
weigh	έχω βάρος
win	κερδίζω
wish	εύχομαι