English	Hindi
black	बिना दूध का
brown	भूरा [bhooraa]
gray	धूसर [dhoosar]
green	कच्चा [kachchaa]
orange	नारंगी [naarangee]
pink	गुलाबी रंग का
violet	बैगनी
white	सफेद [saphed]
yellow	पीला [peelaa]
couple	दो साथी
eight	आठ [aath]
eighty	अस्सी [assee]
eleven	ग्यारह [gyaarah]
fifteen	पंद्रह [pandrah]
fifty	पचास [pachaas]
five	पांच
forty	चालीस [chaalees]
fourteen	चौदह [chaudah]
million	दस लाख [das laakh]
nine	नौ [nau]
nineteen	उन्नीस [unnees]
ninety	नब्बे [nabbe]
nothing	कुछ नहीं [kuchh naheen]
one	एक (ek) (numeral: १)
seventy	सत्तर [sattar]
six	छः [chhah]
sixteen	सोलह [solah]
sixty	साठ [saath]
ten	दस (das)
third	तीन [teen]
thirteen	तेरह [terah]
thirty	तीस [tees]
thousand	हजार [hajaar]
thousand	हजार [hajaar]
three	तीन [teen]
two	दो (do)
arm	बांह
back	पीठ [peeth]
beak	चोंच [chonch]
blood	रक्त [rakt]
body	शरीर [shareer]
bone	हड्डी
brain	दिमाग [dimaag]
breath	सांस [saans]
cell	कोशिका [koshikaa]
chest	वक्ष [vaksh]
chest	छाती [chhaatee]
chin	ठुड्डी
ear	कान [kaan]
eye	आंख [aankh]
face	मुख [mukh]
finger	उंगली
gene	जीन [jeen]
hair	बाल [baal]
hair	बाल [baal]
hand	हाथ [haath]
head	सिर [sir]
heart	हृदय [hruday]
knee	घुटना [ghutanaa]
leg	टांग
lip	होंठ [honth]
mouth	मुंह
muscle	पेशी [peshee]
nail	नाखून [naakhoon]
neck	गरदन [garadan]
nerve	नस [nas]
nose	नाक [naak]
skin	त्वचा
stomach	आमाशय
tail	पिछला हिस्सा [pichhalaa hissaa]
throat	गला [galaa]
thumb	अंगूठा
tongue	जीभ [jeebh]
tooth	दांत [daant]
wing	पंख [pankh]
ant	चींटी [cheentee]
bear	भालू [bhaaloo]
bee	मधुमक्खी [madhumakkhee]
bird	चिड़िया [chidiyaa]
cat	बिल्ली [billee]
cow	गाय [gaay]
dog	कुत्ता [kuttaa]
elephant	हाथी [haathee]
fish	मछली [machhalee]
fly	उड़ना [udanaa]
goat	बकरा [bakaraa]
horse	घोड़ा
insect	कीड़ा [keedaa]
lion	शेर [sher]
monkey	बंदर
pig	सुअर [suar]
sheep	भेड़ [bhed]
snake	सर्प [sarp]
afternoon	तीसरा पहर [teesaraa pahar]
April	अप्रैल [aprail]
August	अगस्त [agast]
autumn	शरद ऋतु [sharad rritu]
beginning	आरम्भ [aarambh]
century	शताब्दी [shataabdee]
date	किसी पत्र में दिन
December	दिसम्बर
evening	संध्या [sandhyaa]
February	फ़रवरी
Friday	शुक्रवार [shukravaar]
future	भविष्य [bhavishy]
hour	घंटा [ghantaa]
January	जनवरी [janavaree]
July	जुलाई [julaaee]
June	जून [joon]
May	मई [maee]
midnight	आधी रात [aadhee raat]
minute	मिनट [minat]
moment	इसी क्षण
Monday	सोमवार
month	महिना (mahinā)
morning	सुबह [subah]
night	रात [raat]
November	नवंबर [navambar]
now	अब [ab]
October	अक्टूबर [aktoobar]
past	अतीत [ateet]
pause	मध्यान्तर [madhyaantar]
period	काल [kaal]
present	वर्तमान [vartamaan]
Saturday	शनिश्चरवार
season	मौसम [mausam]
second	क्षण [kshan]
September	सितंबर [sitambar]
spring	वसन्त [vasant]
summer	ग्रीष्म
Sunday	रविवार [ravivaar]
Thursday	गुरुवार [guruvaar]
Tuesday	मंगलवार [mangalavaar]
Wednesday	बुधवार [budhavaar]
week	सप्ताह [saptaah]
weekend	सप्ताहांत [saptaahaant]
while	समय [samay]
winter	जाड़ा [jaadaa]
year	वर्ष [varsh]
bread	रोटी [rotee]
breakfast	नाश्ता [naashtaa]
butter	मक्खन [makkhan]
cheese	चीज [cheej]
chocolate	चाकलेट [chaakalet]
egg	अंडा [andaa]
food	आहार [aahaar]
fruit	फल [phal]
lunch	दोपहर का खाना
meal	भोजन [bhojan]
meat	मांस [maans]
oil	तेल [tel]
rice	चावल (ćāval)
salad	सलाद [salaad]
salt	नमक [namak]
sandwich	सैंडविच [saindavich]
sauce	चटनी [chatanee]
soup	शोरबा [shorabaa]
sugar	चीनी [cheenee]
sweet	मीठापन [meethaapan]
beer	बियर [biyar]
coffee	कॉफ़ी
drink	पानी के अतिरिक्त दूसरे पेय
milk	दूध [doodh]
tea	चाय [chaay]
water	पानी [paanee]
wine	अंगूरी शराब
apple	सेब [seb]
apricot	खुबानी [khubaanee]
banana	केला [kelaa]
blackberry	शहतूत [shahatoot]
cherry	चेरी [cheree]
lemon	नींबू [neemboo]
nut	सुपारी [supaaree]
orange	नारंगी [naarangee]
peach	आड़ू [aadoo]
pear	नाशपाती [naashapaatee]
pineapple	अनन्नास [anannaas]
plum	बेर का फल
raspberry	रसभरी [rasabharee]
strawberry	हिसालू [hisaaloo]
bean	सेम [sem]
cabbage	बंदगोभी [bandagobhee]
carrot	गाजर [gaajar]
cucumber	ककड़ी [kakadee]
garlic	लहसुन [lahasun]
olive	जैतून (jaitūn), ज़ैतून (zaitūn)
onion	प्याज [pyaaj]
parsnip	चुकंदर [chukandar]
potato	आलू [aaloo]
radish	मूली [moolee]
tomato	टमाटर [tamaatar]
baby	शिशु [shishu]
birth	प्रसव [prasav]
birthday	जन्मदिन [janmadin]
boy	लड़का [ladakaa]
brother	भाई [bhaaee]
child	बेटा (m), बेटी (f)
daughter	बेटी [betee]
death	मृत्यु [mrutyu]
family	फ़ैमिली
father	पिता [pitaa]
friend	मित्र [mitr]
girl	लड़की [ladakee]
grandfather	दादा [daadaa]
human	मानव [maanav]
husband	पति [pati]
man	पुरूष [puroosh]
marriage	विवाह [vivaah]
