English	Hindi
everybody	प्रत्येक व्यक्ति [pratyek vyakti]
everything	सब कुछ [sab kuchh]
he	वह (vah), (yah)
her	उसका [usakaa]
herself	खुद को
his	उसका [usakaa]
it	वह (vah), यह (yah)
me	मुझको [mujhako]
my	मेरा [meraa]
our	हमारा [hamaaraa]
she	वह स्त्री
their	उनका (unkā)
them	उन्हें [unhen]
they	वे [ve]
this	यह (yaha), इस (isa)
us	हमें [hamen]
we	हम [ham]
what	क्या [kyaa]
when	जब [jab]
which	कौनसा (kaunsā)
which	कौनसा (kaunsā)
who	कौन [kaun]
whom	जिसको
whose	किसका (kiskā)
you	तू (tū), तुम (tum)
your	तेरा (terā), आपका (āpkā)
yourself	तुम [tum]