English	Hungarian
another	másik
bad	rossz
basic	alap-
beautiful	gyönyörű
best	legjobb
better	jobb
big	nagy
clean	tiszta
cold	hideg
correct	hibátlan
dark	sötét
difficult	nehéz
dirty	maszatos
fast	gyors
good	jó
great	nagy
happy	boldog
healthy	egészséges
heavy	nehéz
hot	forró
important	fontos
left	bal
light	enyhe
long	hosszadalmas
near	közeli
new	új
nice	kellemes
real	igazi
right	igazi
sharp	éles
similar	hasonló
slow	lassú
soft	puha
weak	gyönge
wrong	nem helyes
acid	sav
all	egész
any	akármi
automatic	automata
available	kapható
bitter	keserves
boring	unalmas
bright	világos
broken	törött
central	központi
certain	biztos
cheap	olcsó
chemical	kémiai
clear	tiszta
closed	lezárt
common	közönséges
common	közös
complete	egész
conscious	tudatos
cruel	kegyetlen
dangerous	veszélyes
delicate	finom
deplorable	szomorú
down	lent
dry	száraz
each	mindegyik
early	korán
easy	könnyű
economic	gazdaságos
economic	takarékos
electric	elektromos
equal	azonos
even	páros
even	egyenes
every	mindegyik
excellent	kiváló
fake	hamis
false	csalfa
far	távol
fat	kövér
fat	zsíros
few	kevés
final	végleges
financial	pénzügyi
firm	szilárd
flat	sík
following	legközelebbi
foreign	külföldi
former	korábbi
fragile	kényes
free	szabad
frequent	gyakori
fresh	friss
full	tele
full	teljes
further	tovább
general	általános
industrial	ipari
interesting	érdekes
international	nemzetközi
last	legutóbbi
legal	törvényes
liquid	folyékony
local	helybeli
loud	hangos
low	alacsony
lucky	szerencsés
main	legfontosabb
major	nagyobb
many	sok
metal	fémes
military	katonai
minute	parányi
modern	modern
more	nagyobb mértékben
much	sok
narrow	keskeny
national	nemzeti
natural	természeti
necessary	szükséges
next	szomszédos
no	semmi
normal	normális
opposite	ellentétes
original	eredeti
other	más
own	saját
parallel	párhuzamos
particular	rendkívüli
past	múlt
personal	személyes
physical	testi
political	politikai
poor	szegény
popular	népi
possible	lehetséges
present	jelenlegi
private	magán-
probable	lehetséges
professional	szakmai
public	nyilvános
quiet	csendes
ready	kész
recent	legújabb
regular	szabályos
responsible	felelős
rigid	merev
rough	nyers
round	kerek
safe	biztonságos
same	azonos
second	második
secret	titkos
separate	független
serious	komoly
set	kötött
several	különféle
short	rövid
silent	csendes
simple	szerény
single	egyetlen
small	kicsi
smooth	sima
solid	szilárd
sparse	szórványos
special	különleges
specific	különleges
standard	sztandard
sticky	ragadós
straight	egyenes
strange	különös
stylish	elegáns
sudden	hirtelen
sweet	édes
tall	magas
thin	vékony
tight	szoros
true	igaz
ugly	csúnya
under	kevesebb
unusual	szokatlan
usual	közönséges
various	különféle
warm	meleg
wet	nedves
whole	egész
wide	széles