English	Hungarian
about	körül
above	felett
again	újra
almost	majdnem
along	hosszában
already	már
always	mindig
approximately	körülbelül
as	mint
behind	mögött
between	között
by	keresztül
directly	egyenesen
early	korán
either	mindkét
enough	elég
exactly	pontosan
finally	utoljára
first	eleinte
forward	buzgó
here	itt
here	itt
however	azonban
immediately	mindjárt
in	-ba
indeed	tényleg
inside	benn
instead	inkább
late	volt
later	miután
little	kevés
merely	csak
never	soha
not	nem
now	jelenleg
obviously	nyilvánvalóan
often	gyakran
once	egykor
outside	kívül
particularly	különösen
possibly	talán
probably	valószínűleg
quickly	gyorsan
really	valóban
really	igazán
recently	mostanában
slowly	lassan
so	így
solely	csakis
sometimes	néha
soon	nemsokára
still	még
such	ilyen
suddenly	hirtelen
surely	biztosan
then	akkor
there	tessék
therefore	ezentúl
today	ma
together	együtt
tomorrow	holnap
tonight	ma este
too	is
usually	rendszerint
very	nagyon
well	jó
why	ami miatt