English	Hungarian
begin	indít
break	megtör
buy	megszerez
close	becsuk
come	következik
cut	vág
dance	táncol
do	gyakorol
draw	rajzol
drink	iszik
eat	eszik
fall	elesik
fire	tüzel
follow	követ
forget	elfelejt
give	ad
help	segít
hope	remél
jump	ugrik
kiss	csókol
laugh	nevet
learn	tanul
lie	fekszik
lie	hazudik
like	szeret
listen	tárgyal
look	néz
lose	elveszít
love	szeret
move	mozog
need	kíván
open	kinyit
pay	fizet
play	játszik
pull	lehúz
push	tol
put	helyez
read	olvasás
remember	emlékszik
run	fut
say	mond
sell	elad
sit	ül
smile	mosolyog
take	vesz
talk	beszél
understand	értesül
use	felhasznál
wait	vár
write	megír
accept	elfogad
achieve	teljesít
act	cselekszik
add	hozzáad
admit	beismer
agree	egyetért
announce	bejelent
argue	vitatkozik
arrive	megérkezik
ask	kér
attack	megtámad
avoid	kikerül
be	él
bear	visel
bring	eredményez
build	épít
call	telefonál
change	megváltoztat
choose	kiválaszt
classify	osztályoz
compare	hasonlít
contain	tartalmaz
continue	folytat
control	irányít
cook	elkészít
copy	másolás
cough	köhög
crush	összeprésel
cry	sír
decide	eldönt
describe	leír
design	tervez
desire	akar
die	meghal
discover	felfedez
discuss	megbeszél
divide	szétoszt
drive	vezet
encourage	bátorít
end	befejez
enhance	növel
enjoy	élvez
enter	belép
establish	alapít
exceed	átad
exist	létezik
expect	vár
explain	indokol
fight	harcol
fill	megtölt
find	felfedez
flush	kiegyenlít
forgive	megbocsát
free	felszabadít
grow	növekszik
happen	megtörténik
hate	utál
hide	elrejt
hold	tart
identify	felismer
include	benne van
increase	növel
injure	megsebesít
introduce	bemutat
join	összeköt
keep	tart
kill	gyilkol
land	leszáll
last	megmarad
lead	vezet
leave	otthagy
let	enged
lift	emel
limit	korlátoz
load	betölt
lock	bezár
look	látszik
lose	elveszít
manage	vezet
marry	elvesz
match	egyezik
mean	szándékozik
measure	mér
mention	említ
name	hív
own	birtokol
peel	hámoz
plan	tervez
poison	megmérgez
prepare	megcsinál
press	nyomás
print	nyomtat
process	feldolgoz
protest	tiltakozik
publish	kiad
raise	felnevel
rate	becsül
receive	kap
record	felvesz
reduce	csökkent
reflect	visszaver
refuse	visszautasít
remove	eltávolít
render	visszaad
reply	válaszol
report	beszámol
represent	képvisel
request	kér
respect	tisztel
reveal	felfed
risk	megkockáztat
rule	kormányoz
save	megtakarít
save	kiment
see	lát
send	küld
sew	összevarr
share	osztozik
shout	kiabál
show	megmutat
smell	megszagol
stand	áll
stay	marad
stop	leállítás
study	tanul
suggest	ajánl
supply	ellát
support	támogat
surprise	meglep
taste	megízlel
teach	tanít
test	kipróbál
thank	megköszön
throw	dob
trade	kereskedik
train	betanít
travel	megy
treat	kezel
try	megkísérel
turn	forog
visit	meglátogat
walk	jár
warm	melegít
wash	kimos
watch	néz
wear	hord
win	elnyer
wish	óhajt