Hungarian	﻿English
másik	another
rossz	bad
alap-	basic
gyönyörű	beautiful
legjobb	best
jobb	better
nagy	big
tiszta	clean
hideg	cold
hibátlan	correct
sötét	dark
nehéz	difficult
maszatos	dirty
gyors	fast
jó	good
nagy	great
boldog	happy
egészséges	healthy
nehéz	heavy
forró	hot
fontos	important
bal	left
enyhe	light
hosszadalmas	long
közeli	near
új	new
kellemes	nice
igazi	real
igazi	right
éles	sharp
hasonló	similar
lassú	slow
puha	soft
gyönge	weak
nem helyes	wrong
sav	acid
egész	all
akármi	any
automata	automatic
kapható	available
keserves	bitter
unalmas	boring
világos	bright
törött	broken
központi	central
biztos	certain
olcsó	cheap
kémiai	chemical
tiszta	clear
lezárt	closed
közönséges	common
közös	common
egész	complete
tudatos	conscious
kegyetlen	cruel
veszélyes	dangerous
finom	delicate
szomorú	deplorable
lent	down
száraz	dry
mindegyik	each
korán	early
könnyű	easy
gazdaságos	economic
takarékos	economic
elektromos	electric
azonos	equal
páros	even
egyenes	even
mindegyik	every
kiváló	excellent
hamis	fake
csalfa	false
távol	far
kövér	fat
zsíros	fat
kevés	few
végleges	final
pénzügyi	financial
szilárd	firm
sík	flat
legközelebbi	following
külföldi	foreign
korábbi	former
kényes	fragile
szabad	free
gyakori	frequent
friss	fresh
tele	full
teljes	full
tovább	further
általános	general
ipari	industrial
érdekes	interesting
nemzetközi	international
legutóbbi	last
törvényes	legal
folyékony	liquid
helybeli	local
hangos	loud
alacsony	low
szerencsés	lucky
legfontosabb	main
nagyobb	major
sok	many
fémes	metal
katonai	military
parányi	minute
modern	modern
nagyobb mértékben	more
sok	much
keskeny	narrow
nemzeti	national
természeti	natural
szükséges	necessary
szomszédos	next
semmi	no
normális	normal
ellentétes	opposite
eredeti	original
más	other
saját	own
párhuzamos	parallel
rendkívüli	particular
múlt	past
személyes	personal
testi	physical
politikai	political
szegény	poor
népi	popular
lehetséges	possible
jelenlegi	present
magán-	private
lehetséges	probable
szakmai	professional
nyilvános	public
csendes	quiet
kész	ready
legújabb	recent
szabályos	regular
felelős	responsible
merev	rigid
nyers	rough
kerek	round
biztonságos	safe
azonos	same
második	second
titkos	secret
független	separate
komoly	serious
kötött	set
különféle	several
rövid	short
csendes	silent
szerény	simple
egyetlen	single
kicsi	small
sima	smooth
szilárd	solid
szórványos	sparse
különleges	special
különleges	specific
sztandard	standard
ragadós	sticky
egyenes	straight
különös	strange
elegáns	stylish
hirtelen	sudden
édes	sweet
magas	tall
vékony	thin
szoros	tight
igaz	true
csúnya	ugly
kevesebb	under
szokatlan	unusual
közönséges	usual
különféle	various
meleg	warm
nedves	wet
egész	whole
