English	Indonesian
about	di sekitar
above	di atas
again	lagi
almost	hampir
along	sepanjang
already	sudah
always	selalu
approximately	kurang lebih
as	sebagai
before	sebelum
behind	di belakang
between	antara
by	melalui
directly	langsung
down	menuruni
early	awal
either	keduanya
enough	cukup
exactly	secara mutlak
finally	akhirnya
first	lebih dulu
generally	biasanya
here	sekarang
here	di sini
however	walaupun demikian
immediately	seketika
in	ke dalam
indeed	memang
inside	di dalam
late	larut
later	sesudah
least	paling kurang
little	sedikit
merely	hanya
never	tidak pernah
not	tidak
now	sekarang
obviously	terbukti
often	sering
once	sekali
outside	di luar
particularly	sangat
possibly	mungkin
probably	mungkin
quickly	dengan cepat
really	benar-benar
really	sangat
recently	belum lama ini
slowly	perlahan-lahan
so	demikian
solely	sendiri
sometimes	kadang-kadang
soon	segera
still	masih
such	seperti
surely	pasti
then	ketika itu
there	itu
therefore	karenanya
today	hari ini
together	bersama
tomorrow	besok pagi
tonight	malam ini
too	juga
usually	biasanya
very	benar-benar
well	sehat
why	mengapa