Indonesian	﻿English
memecah	break
membeli	buy
menutup	close
datang	come
memotong	cut
menari	dance
menggunakan	do
menggambar	draw
minum	drink
makan	eat
jatuh	fall
menemukan	find
melepaskan	fire
terbang	fly
menyusul	follow
melupakan	forget
memberi	give
mempunyai	have
mendengar	hear
membantu	help
mengharapkan	hope
melompat	jump
mencium	kiss
tertawa	laugh
belajar	learn
menggeletak	lie
berdusta	lie
menyukai	like
mendengarkan	listen
melihat	look
kehilangan	lose
mencintai	love
mengadakan	make
bertemu secara tiba-tiba	meet
menggerakkan	move
memerlukan	need
menawarkan	offer
membuka	open
membayar	pay
bermain	play
menarik	pull
mendorong	push
meletakkan	put
membaca	read
mengingat	remember
berlari	run
mengatakan	say
menjual	sell
menyanyi	sing
duduk	sit
tersenyum	smile
berenang	swim
mengambil	take
berbicara	talk
memahami	understand
menggunakan	use
menunggu	wait
menulis	write
menerima	accept
menuduh	accuse
mencapai	achieve
bertindak	act
menambah	add
mengakui	admit
sependapat	agree
memungkinkan	allow
mengumumkan	announce
bertengkar	argue
datang	arrive
bertanya	ask
menyerang	attack
menghindari	avoid
hidup	be
membawa	bear
menaklukkan	beat
menjadi	become
percaya	believe
gigit	bite
mengakibatkan	bring
membangun	build
bakar	burn
menelepon	call
membawa	carry
mengubah	change
memilih	choose
menganggap	classify
membersihkan	clean
menyamakan	compare
berisi	contain
meneruskan	continue
menguasai	control
memasak	cook
batuk	cough
meremas	crush
menangis	cry
memastikan	decide
merancang	design
menginginkan	desire
memproses	develop
mati	die
menemukan	discover
membicarakan	discuss
membagi	divide
ragu-ragu	doubt
mengemudikan	drive
mencakup	embrace
memberi semangat	encourage
menyelesaikan	end
meningkatkan	enhance
menikmati	enjoy
masuk	enter
mendirikan	establish
menaksir	estimate
melampaui	exceed
ada	exist
menunggu	expect
menjelaskan	explain
berkelahi	fight
mengisi	fill
menemukan	find
menyamakan	flush
memaafkan	forgive
membebaskan	free
tumbuh	grow
terjadi	happen
membenci	hate
menyembunyikan	hide
memegang	hold
mengenali	identify
mencakup	include
meningkatkan	increase
melukai	injure
memperkenalkan	introduce
menggabungkan	join
menjaga	keep
menendang	kick
membunuh	kill
mendaratkan	land
bertahan	last
memimpin	lead
meninggalkan	leave
mengijinkan	let
mengangkat	lift
membatasi	limit
menyetrum	load
mengunci	lock
tampaknya	look
kehilangan	lose
menjadi pengurus	manage
mengawini	marry
cocok	match
berarti	mean
merencanakan	mean
mengukur	measure
menyebutkan	mention
ketinggalan	miss
meleset	miss
menamai	name
memiliki	own
on menyerahkan	pass
mengupas	peel
merencanakan	plan
meracuni	poison
menggosok	polish
menyiapkan	prepare
menekan	press
mencegah	prevent
mencetak	print
mendapat keuntungan	profit
protes	protest
membuktikan	prove
menerbitkan	publish
mendidik	raise
menilai	rate
mencapai	reach
menerima	receive
merekam	record
mengurangi	reduce
memantulkan	reflect
menolak	refuse
menyingkirkan	remove
mengembalikan	render
jawab	reply
melaporkan	report
mewakili	represent
meminta	request
menghormati	respect
mengungkapkan	reveal
menghadapi risiko	risk
memerintah	rule
menabung	save
menyelamatkan	save
melihat	see
menganggap	see
mengirimkan	send
mengabdi	serve
menjahit	sew
berbagi	share
berteriak	shout
mempertunjukkan	show
berbau	smell
mencium bau	smell
asap	smoke
melewatkan	spend
berdiri	stand
tinggal	stay
mencuri	steal
menghentikan	stop
belajar	study
mengusulkan	suggest
melengkapi	supply
mendukung	support
mengejutkan	surprise
mencicipi	taste
melatih	teach
menguji	test
berterima kasih	thank
melemparkan	throw
memberi judul	title
berdagang	trade
melatih	train
pergi	travel
memperlakukan	treat
mencoba	try
memutar	turn
mengunjungi	visit
berjalan	walk
menghangatkan	warm
mencuci	wash
melihat	watch
memakai	wear
berbobot	weigh
menang	win
