English	Italian
another	un altro
bad	cattivo
basic	di base
beautiful	bello
best	migliore
better	meglio
big	grande
clean	pulito
cold	freddo
correct	corretto
dark	scuro
difficult	difficile
dirty	sporco
fast	veloce
good	buono
great	grande
great	meraviglioso
happy	felice
healthy	in salute
heavy	pesante
hot	caldo
important	importante
left	sinistro
light	leggero
little	insignificante
near	vicino
new	nuovo
nice	bello
real	vero
right	destro
sharp	acuto
similar	simile
slow	lento
soft	morbido
strong	forte
weak	debole
wrong	scorretto
ago	fa
all	tutto
any	qualsiasi
automatic	automatico
available	disponibile
bitter	amaro
boring	noioso
both	entrambi
bright	chiaro
broken	rotto
central	centrale
certain	certo
cheap	economico
chemical	chimico
clear	limpido
closed	chiuso
common	comune
common	comune
complete	completo
conscious	consapevole
cruel	crudele
dangerous	pericoloso
delicate	delicato
deplorable	triste
different	diverso
different	dissimile
down	sotto
dry	secco
each	ogni
early	presto
easy	facile
economic	economico
economic	economico
electric	elettrico
equal	uguale
even	pari
even	uguale
every	ogni
excellent	eccellente
fake	falso
far	lontano
fat	grasso
fat	grande
few	poco
final	definitivo
financial	finanziario
firm	fermo
flat	piatto
following	seguente
foreign	straniero
former	precedente
fragile	delicato
free	gratuito
frequent	frequente
fresh	fresco
front	davanti
full	pieno
full	totale
further	più lontano
future	futuro
general	generale
industrial	industriale
interesting	interessante
international	internazionale
last	ultimo
late	tardi
legal	legale
liquid	liquido
local	locale
loud	forte
low	basso
lucky	fortunato
main	principale
major	maggiore
many	molti
metal	metallico
military	militare
minute	piccolissimo
modern	moderno
more	più
much	molto
narrow	stretto
national	nazionale
natural	naturale
necessary	necessario
next	adiacente
no	nessuno
normal	normale
off	finito
on	su
opposite	opposto
original	originale
other	altro
own	proprio
parallel	parallelo
particular	particolare
past	passato
personal	personale
physical	fisico
political	politico
poor	povero
popular	popolare
possible	possibile
present	presente
previous	precedente
private	privato
probable	probabile
professional	professionale
public	pubblico
quiet	calmo
ready	pronto
recent	recente
regular	regolare
responsible	responsabile
rigid	rigido
rough	sgarbato
round	rotondo
safe	sicuro
same	stesso
second	secondo
secret	clandestino
separate	separato
serious	serio
set	stabilito
several	vari
short	corto
silent	silenzioso
simple	semplice
single	solo
small	piccolo
smooth	liscio
solid	solido
sparse	rado
special	speciale
specific	specifico
square	quadrato
squeamish	difficile
standard	standard
sticky	glutinoso
straight	diritto
strange	strano
stylish	elegante
sudden	improvviso
sweet	dolce
tall	alto
thick	denso
thin	sottile
tight	stretto
true	vero
ugly	brutto
under	sotto
unusual	insolito
usual	comune
various	diverso
warm	caldo
wet	bagnato
whole	intero
wide	largo