Italian	﻿English
intorno	about
sopra	above
di nuovo	again
quasi	almost
lungo	along
già	already
sempre	always
approssimativamente	approximately
come	as
prima	before
dietro	behind
tra	between
oltretomba	beyond
di	by
direttamente	directly
presto	early
ambedue	either
abbastanza	enough
perfino	even
esattamente	exactly
infine	finally
prima	first
innanzi	forward
generalmente	generally
a questo punto	here
qui	here
tuttavia	however
immediatamente	immediately
in	in
davvero	indeed
dentro	inside
invece	instead
tardi	late
meno	least
poco	little
soltanto	merely
mai	never
non	not
attualmente	now
in modo evidente	obviously
frequentemente	often
una volta	once
fuori	outside
particolarmente	particularly
forse	possibly
probabilmente	probably
rapidamente	quickly
in realtà	really
molto	really
recentemente	recently
lentamente	slowly
così	so
solamente	solely
talvolta	sometimes
presto	soon
ancora	still
come	such
certamente	surely
allora	then
ecco	there
perciò	therefore
oggi	today
insieme	together
domani	tomorrow
stasera	tonight
anche	too
su	up
normalmente	usually
molto	very
bene	well
