Italian	﻿English
essere	be
iniziare	begin
rompere	break
comprare	buy
chiudere	close
venire	come
tagliare	cut
ballare	dance
esercitare	do
disegnare	draw
bere	drink
mangiare	eat
cadere	fall
tatto	feel
trovare	find
sparare	fire
volare	fly
seguire	follow
dimenticare	forget
buscarsi	get
dare	give
avere	have
sentire	hear
aiutare	help
sperare	hope
balzare	jump
baciare	kiss
ridere	laugh
apprendere	learn
essere	lie
mentire	lie
probabile	like
ascoltare	listen
guardare	look
perdere	lose
amare	love
rendere	make
incontrare	meet
muovere	move
necessitare	need
offrire	offer
aprire	open
pagare	pay
giocare	play
tirare	pull
spingere	push
posare	put
leggere	read
ricordare	remember
correre	run
dire	say
vendere	sell
cantare	sing
sedersi	sit
sorridere	smile
prendere	take
parlare	talk
capire	understand
usare	use
aspettare	wait
scrivere	write
accettare	accept
accusare	accuse
realizzare	achieve
agire	act
addizionare	add
addizionare	add
riconoscere	admit
influenzare	affect
accordo con	agree
permettere	allow
annunciare	announce
discutere	argue
arrivare	arrive
chiedere	ask
attaccare	attack
evitare	avoid
vivere	be
portare	bear
vincere	beat
diventare	become
agire	behave
credere	believe
mordere	bite
dare	bring
costruire	build
bruciare	burn
chiamare	call
portare	carry
cogliere	catch
procurare	cause
modificare	change
scegliere	choose
classificare	classify
pulire	clean
paragonare	compare
contenere	contain
continuare	continue
controllare	control
cuocere	cook
copiare	copy
tossire	cough
pestare	crush
piangere	cry
decidere	decide
descrivere	describe
progettare	design
volere	desire
sviluppare	develop
morire	die
scoprire	discover
discutere	discuss
dividere	divide
dubitare	doubt
guidare	drive
comprendere	embrace
incoraggiare	encourage
finire	end
aumentare	enhance
godere	enjoy
entrare	enter
istituire	establish
stimare	estimate
oltrepassare	exceed
esistere	exist
aspettare	expect
spiegare	explain
lottare	fight
riempire	fill
scoprire	find
cessare	finish
livellare	flush
perdonare	forgive
liberare	free
up capitolare	give
crescere	grow
accadere	happen
odiare	hate
nascondere	hide
tenere	hold
identificare	identify
includere	include
accrescere	increase
ferire	injure
presentare	introduce
unire	join
tenere	keep
calciare	kick
uccidere	kill
atterrare	land
durare	last
condurre	lead
lasciare	leave
lasciare	let
alzare	lift
limitare	limit
caricare	load
sembrare	look
perdere	lose
amministrare	manage
sposare	marry
corrispondere	match
intendere	mean
misurare	measure
menzionare	mention
perdere	miss
sbagliare	miss
chiamare	name
ingiungere	order
possedere	own
on consegnare	pass
sbucciare	peel
arare	plow
avvelenare	poison
lucidare	polish
preparare	prepare
premere	press
impedire	prevent
stampare	print
sviluppare	process
approfittare	profit
protestare	protest
provare	prove
pubblicare	publish
educare	raise
valutare	rate
arrivare a	reach
ricevere	receive
registrare	record
tagliare	reduce
riflettere	reflect
declinare	refuse
rimuovere	remove
restituire	render
rimpiazzare	replace
rispondere	reply
raccontare	report
rappresentare	represent
richiedere	request
onorare	respect
rivelare	reveal
rischiare	risk
governare	rule
risparmiare	save
salvare	save
vedere	see
considerare	see
mandare	send
servire	serve
cucire	sew
condividere	share
gridare	shout
mostrare	show
puzzare	smell
odorare	smell
odorare	smell
passare	spend
restare	stand
restare	stay
rubare	steal
fermare	stop
studiare	study
subire	suffer
proporre	suggest
fornire	supply
sostenere	support
sorprendere	surprise
assaggiare	taste
istruire	teach
esaminare	test
ringraziare	thank
gettare	throw
intitolare	title
commerciare	trade
istruire	train
andare	travel
trattare	treat
imbrogliare	trick
tentare	try
girare	turn
visitare	visit
camminare	walk
riscaldare	warm
pulire	wash
guardare	watch
indossare	wear
pesare	weigh
vincere	win
