English	Japanese
another	変わった [kawatuta]
bad	悪い [warui]
basic	根本的 [konponteki]
beautiful	美しい [utsukushii]
better	寧ろ [mushiro]
big	大きい [ookii]
cold	冷たい [tsumetai]
correct	正しい [tadashii]
dark	暗い [kurai]
difficult	難しい [muzukashii]
dirty	汚い [kitanai]
fast	速い [hayai]
good	望ましい [nozomashii]
great	すばらしい [subarashii]
happy	うれしい [ureshii]
heavy	重い [omoi]
hot	熱い [atsui]
left	左側 [sasoku]
light	軽い [karui]
little	一寸した [chiyotutoshita]
near	近い [chikai]
new	新しい [atarashii]
nice	快い [kokoroyoi]
real	すごい [sugoi]
right	順当 [jiyuntou]
sharp	鋭い [surudoi]
slow	遅い [osoi]
soft	柔らかい [yawarakai]
strong	濃い [koi]
weak	弱い [yowai]
wrong	不可 [fuka]
ago	以前に [izenni]
all	総て [subete]
any	どれでも [doredemo]
automatic	自動的 [jidouteki]
available	使用可能 [shiyoukanou]
bitter	苦い [nigai]
boring	つまらない [tsumaranai]
both	共に [tomoni]
bright	明朗 [meirou]
central	中心的 [chiyuushinteki]
certain	確か [tashika]
cheap	安い [yasui]
chemical	化学的 [kagakuteki]
closed	クローズ
deplorable	悲しい [kanashii]
down	下 [shita]
dry	そっけない [sotukenai]
each	おのおの [onoono]
early	早い [hayai]
economic	経済的 [keizaiteki]
economic	経済的 [keizaiteki]
equal	等しい [hitoshii]
even	平たい [hiratai]
every	各各 [sorezore]
excellent	優れた [sugureta]
far	遠い [tooi]
fat	太った [futotuta]
fat	脂っ濃い [aburatukoi]
few	少ない [sukunai]
firm	硬い [katai]
flat	平たい [hiratai]
foreign	見知らぬ [mishiranu]
fragile	こわれやすい [kowareyasui]
fresh	新しい [atarashii]
general	全般的 [zenpanteki]
interesting	興味深い [kiyoumibukai]
international	国際的 [kokusaiteki]
legal	合法的 [gouhouteki]
loud	高らか [takaraka]
low	低い [hikui]
main	主要 [shiyuyou]
many	多数 [tasuu]
military	軍事 [gunji]
minute	細かい [komakai]
more	もっと [motuto]
narrow	狭い [semai]
national	国民的 [kokuminteki]
necessary	必然的 [hitsuzenteki]
next	隣接した [rinsetsushita]
normal	庶民的 [shiyominteki]
original	独創的 [dokusouteki]
physical	肉的 [nikuteki]
political	政治的 [seijiteki]
poor	貧しい [mazushii]
present	いる [iru]
private	私設 [shisetsu]
quiet	静か [shizuka]
regular	規則正しい [kisokutadashii]
rigid	硬い [katai]
rough	荒っぽい [aratupoi]
round	丸い [marui]
safe	恙無い [tsutsuganai]
same	同じ [onnaji]
secret	窃か [hisoka]
serious	重重しい [omoomoshii]
several	いくつか [ikutsuka]
short	短い [mijikai]
silent	黙黙 [mokumoku]
simple	軽易 [keii]
small	小さい [chiisai]
sparse	水っぽい [mizutupoi]
special	格別 [kakubetsu]
square	四角い [shikakui]
sticky	粘っこい [nebatukoi]
stylish	しゃれた [shiyareta]
sweet	甘い [umai]
thick	濃い [koi]
thin	薄い [usui]
tight	きつい [kitsui]
ugly	醜い [minikui]
under	以下 [ika]
unusual	普通でない [futsuudenai]
usual	ありふれた [arifureta]
various	区々 [machimachi]
warm	暖い [atutakai]
wet	湿った [shimetuta]
whole	全部 [zenbu]
wide	広い [hiroi]