English	Japanese
above	上 [uwa]
again	再び [futatabi]
almost	ほとんど [hotondo]
already	すでに [sudeni]
always	いつも [itsumo]
approximately	ほぼ [hobo]
before	前 [zen]
directly	すぐに [suguni]
enough	十分 [jiyuubun]
exactly	まさに [masani]
first	最前 [saizen]
generally	概して [gaishite]
however	しかし [shikashi]
immediately	直ちに [tadachini]
indeed	本当に [hontouni]
inside	内 [uchi]
instead	その代わり [sonokawari]
late	遅い [osoi]
little	小さい [chiisai]
merely	ただ [tada]
never	金輪際 [konrinzai]
obviously	明らか [akiraka]
often	しばしば [shibashiba]
once	一度 [ichido]
particularly	特に [tokuni]
possibly	たぶん [tabun]
probably	たぶん [tabun]
quickly	速く [hayaku]
really	実際に [jitusaini]
really	とても [totemo]
recently	最近 [saikin]
slowly	ゆっくり [yutukuri]
sometimes	時々 [tokidoki]
soon	すぐに [suguni]
still	まだ [mada]
such	大した [taishita]
surely	確かに [tashikani]
then	その時 [sonotoki], そのとき [sonotoki]
there	そら [sora]
therefore	その為 [sonotame]
today	オーブントースター
together	一緒に [itushiyoni]
tomorrow	明日 [miyounichi]
tonight	今夜 [konya]
too	また [mata]
usually	ふつう [futsuu]
very	とても [totemo]
well	うまく [umaku]
why	なぜ [naze]