English	Japanese
anything	何でも [nandemo]
everybody	皆さん [minnasan]
everything	諸事万端 [shiyojibantan]
he	彼 (かれ, káre), あの人 (あのひと, ano hito)
her	彼女 [kanojiyo]
his	彼の [kano]
it	それ [sore]
my	我が [waga]
our	我が [waga]
she	彼奴 [kiyatsu]
that	その (sonó), あの (anó)
their	彼らの
these	この [kono]
they	奴等 [yatsura]
this	此の [kono]
we	身共 [midomo]
what	何 [nani]
when	何時 [nanji]
which	何の [nanno]
which	何の [nanno]
who	誰 [tare]
whose	誰 [tare]
you	(familiar) 君 (きみ, kimi), (polite) 貴方 (あなた, anata), (dialect) 自分 (jibun), (usu. feminine or older male speaker) あんた (anta), (feminine to young male) 僕 (boku), (friendly or slightly rude) お前 (おまえ, omae), (highly insulting) 貴様 (きさま, kisama), (polite) そちら
your	あなたの (anata-no), きみの (kimi-no)