Japanese	﻿English
黒 [kuro]	black
青い [aoi]	blue
茶色 [chiyairo]	brown
灰色 [haiiro]	gray
緑 [midori]	green
オレンジ [orenji]	orange
ピンク [pinku]	pink
赤 [aka]	red
紫 [murasaki]	violet
白い [shiroi]	white
黄色 [oushiyoku]	yellow
二人組 [niningumi]	couple
八 [ya]	eight
十八 [jiyuuhachi]	eighteen
八十 [yaso]	eighty
十一 [toichi]	eleven
五十 [iso]	fifty
五 [itsu]	five
四十 [yoso]	forty
四つ [yotutsu]	four
十四 [jiyuuyon]	fourteen
1000000	million
九 [ku]	nine
十九 [jiyuukiyuu]	nineteen
九十 [kujiyuu]	ninety
無 [muchi]	nothing
一つ [hitotsu]	one
七 [shichi]	seven
七十 [shichijiyuu]	seventy
六 [roku]	six
十六 [jiyuuroku]	sixteen
六十 [rokujiyuu]	sixty
十 [too]	ten
十三 [jiyuusan]	thirteen
三十 [sanjiyuu]	thirty
千 [sen]	thousand
三 [san]	three
腕 [ude]	arm
背中 [senaka]	back
くちばし [kuchibashi]	beak
血 [chi]	blood
胴 [dou]	body
骨 [kotsu]	bone
脳 [nou]	brain
息 [soku]	breath
細胞 [saihou]	cell
胸部 [kiyoubu]	chest
胸部 [kiyoubu]	chest
あご [ago]	chin
耳 [mimi]	ear
目 [moku]	eye
顔 [kao]	face
指 [yubi]	finger
足 [soku]	foot
額 [hitai]	forehead
遺伝子 [idenshi]	gene
髪の毛 [kaminoke]	hair
毛 [mou]	hair
手 [te]	hand
頭部 [toubu]	head
心臓 [shinzou]	heart
ひざ [hiza]	knee
脚 [kiyaku]	leg
くちびる [kuchibiru]	lip
口 [kuchi]	mouth
筋肉 [sujiniku]	muscle
つめ [tsume]	nail
首 [tsukasa]	neck
神経 [shinkei]	nerve
鼻 [hana]	nose
皮膚 [hifu]	skin
胃 [i]	stomach
尾 [o]	tail
のど [nodo]	throat
親指 [oyayubi]	thumb
足の指 [ashinoyubi]	toe
舌 [shita]	tongue
歯 [ha]	tooth
ウイング [uingu]	wing
あり [ari]	ant
熊 [kuma]	bear
みつばち [mitsubachi]	bee
鳥 [tori]	bird
猫 [neko]	cat
雌牛 [meushi]	cow
犬 [inu]	dog
象 [zou]	elephant
魚 [uo]	fish
ハエ	fly
やぎ [yagi]	goat
馬 [uma]	horse
昆虫 [konchiyuu]	insect
ライオン [raion]	lion
猿 [saru]	monkey
豚 [buta]	pig
羊 [hitsuji]	sheep
へび [hebi]	snake
午後 [gogo]	afternoon
年齢 [nenrei]	age
四月 [shigatsu]	April
八月 [hachigatsu]	August
秋 [aki]	autumn
開始 [kaishi]	beginning
世紀 [seiki]	century
年月日 [nengatupi]	date
日 [nichi]	day
十二月 [jiyuunigatsu]	December
締切り [shimekiri]	end
夕方 [yuugata]	evening
二月 [nigatsu]	February
金曜日 [kinyoubi]	Friday
未来 [mirai]	future
時 [toki]	hour
正月 [shiyougatsu]	January
七月 [shichigatsu]	July
六月 [rokugatsu]	June
五月 [satsuki]	May
真夜中 [mayonaka]	midnight
分 [fun]	minute
瞬間 [shiyunkan]	moment
瞬間 [shiyunkan]	moment
月曜日 [getsuyoubi]	Monday
月 [tsuki]	month
朝 [chiyou]	morning
夜 [yoru]	night
十一月 [jiyuuichigatsu]	November
現在 [genzai]	now
十月 [jiyuugatsu]	October
前歴 [zenreki]	past
休憩時間 [kiyuukeijikan]	pause
期間 [kikan]	period
現在 [genzai]	present
土曜日 [doyoubi]	Saturday
シーズン	season
秒 [biyou]	second
九月 [kugatsu]	September
春 [haru]	spring
夏 [natsu]	summer
日曜日 [nichiyoubi]	Sunday
木曜日 [mokuyoubi]	Thursday
明日 [miyounichi]	tomorrow
火曜日 [kayoubi]	Tuesday
水曜日 [suiyoubi]	Wednesday
週 [shiyuu]	week
週末 [shiyuumatsu]	weekend
冬 [fuyu]	winter
年度 [nendo]	year
パン [pan]	bread
朝食 [chiyoushiyoku]	breakfast
バター	butter
ケーキ	cake
チーズ	cheese
チョコレート	chocolate
卵 [tamago]	egg
食物 [shiyokumotsu]	food
果実 [kajitsu]	fruit
昼食 [hiruge]	lunch
食事 [shiyokuji]	meal
肉 [shishi]	meat
油 [abura]	oil
米穀 [beikoku]	rice
サラダ [sarada]	salad
塩 [shio]	salt
サンドイッチ [sandoituchi]	sandwich
ソース	sauce
スープ	soup
砂糖 [satou]	sugar
ビール	beer
コーヒー	coffee
飲み物 [nomimono]	drink
乳汁 [niyuujiyuu]	milk
ミルクセーキ	milkshake
茶 [chiya]	tea
水 [sui]	water
ぶどう酒 [budoushiyu]	wine
りんご [ringo]	apple
アンズ	apricot
バナナ [banana]	banana
クワの実	blackberry
さくらんぼ [sakuranbo]	cherry
レモン [remon]	lemon
木の実 [konomi]	nut
オレンジ [orenji]	orange
桃 [momo]	peach
なし [nashi]	pear
パイナップル [painatupuru]	pineapple
プラム [puramu]	plum
きいちご [kiichigo]	raspberry
いちご [ichigo]	strawberry
豆 [mame]	bean
キャベツ [kiyabetsu]	cabbage
人参 [ninjin]	carrot
きゅうり [kiyuuri]	cucumber
にんにく [ninniku]	garlic
オリーブ	olive
玉ねぎ [tamanegi]	onion
パースニップ	parsnip
じゃがいも [jiyagaimo]	potato
ハツカダイコン	radish
トマト [tomato]	tomato
赤ん坊 [akanbou]	baby
誕生 [tanjiyou]	birth
誕生日 [tanjiyoubi]	birthday
少年 [shiyounen]	boy
兄弟 [kiyoudai]	brother
娘 [musume]	daughter
死 [shi]	death
一族 [ichizoku]	family
父親 [chichioya]	father
友人 [yuujin]	friend
少女 [shiyoujiyo]	girl
祖父母 [sofubo]	grandfather
人間 [ningen]	human
夫 [tsuma]	husband
一生 [itushiyou]	life
男 [otoko]	man
結婚 [ketukon]	marriage
母 [kaka]	mother
隣人 [rinjin]	neighbor
親 [shin]	parent
人 [to]	person
関係 [kankei]	relationship
姉妹 [shimai]	sister
息子 [musuko]	son
結婚式 [ketukonshiki]	wedding
結婚式 [ketukonshiki]	wedding
妻 [tsuma]	wife
女 [onna]	woman
住所 [jiyuushiyo]	address
トイレ；浴室	bathroom
寝室 [shinshitsu]	bedroom
れんが [renga]	brick
ドア [doa]	door
床 [yuka]	floor
階 [kai]	floor
車庫 [shiyako]	garage
庭 [niwa]	garden
門 [to]	gate
ロビー	hall
家 [ya]	home
家 [ya]	house
台所 [daidokoro]	kitchen
屋根 [yane]	roof
部屋 [heya]	room
シャワー	shower
階段 [kaidan]	step
トイレ [toire]	toilet
塀 [hei]	wall
井戸 [ido]	well
窓 [mado]	window
ベッド [betudo]	bed
じゅうたん [jiyuutan]	carpet
椅子 [isu]	chair
戸棚 [todana]	cupboard
カーテン	curtain
机 [tsukue]	desk
家具 [kagu]	furniture
席 [seki]	seat
棚 [tana]	shelf
流し [nagashi]	sink
テーブル	table
袋 [fukuro]	bag
ブーツ	boot
布 [nuno]	cloth
衣類 [irui]	clothing
外套 [gaitou]	coat
えり [eri]	collar
帽子 [boushi]	hat
上衣 [uwagi]	jacket
宝石 [houseki]	jewel
指輪 [yubiwa]	ring
シャツ [shiyatsu]	shirt
靴 [kutsu]	shoe
スカート	skirt
スーツケース	suitcase
ネクタイ [nekutai]	tie
空気 [kuuki]	air
動物 [doubutsu]	animal
枝 [shi]	branch
発展 [hatuten]	evolution
農場 [noujiyou]	farm
畑 [hatake]	field
炎 [honoo]	fire
花 [hana]	flower
森 [mori]	forest
芝生 [shibafu]	grass
葉 [you]	leaf
生命 [seimei]	life
稲妻 [inazuma]	lightning
湿気 [shituki]	moisture
自然界 [shizenkai]	nature
植物 [shiyokubutsu]	plant
根 [ne]	root
性 [shiyou]	sex
空 [uro]	sky
眠り [nemuri]	sleep
匂い [nioi]	smell
煙 [kemuri]	smoke
源泉 [gensen]	spring
茎 [kuki]	stem
流れ [nagare]	stream
木 [moku]	tree
波 [nami]	wave
天気 [tenki]	weather
世界 [sekai]	world
飛行場 [hikoujiyou]	airport
銀行 [ginkou]	bank
橋 [kiyou]	bridge
建物 [tatemono]	building
首都 [shiyuto]	capital
城 [shiro]	castle
教会 [kiyoukai]	church
映画 [eiga]	cinema
都市 [toshi]	city
工場 [koujiyou]	factory
アパート	flat
病院 [biyouin]	hospital
ホテル [hoteru]	hotel
図書館 [zushiyokan]	library
公園 [kouen]	park
刑務所 [keimushiyo]	prison
レストラン [resutoran]	restaurant
道路 [douro]	road
学校 [gatukou]	school
駅 [eki]	station
通り [toori]	street
建設 [kensetsu]	structure
地下鉄 [chikatetsu]	subway
スーパーマーケット	supermarket
劇場 [gekijiyou]	theater
町 [machi]	town
大学 [daigaku]	university
村 [mura]	village
事故 [jiko]	accident
ボート	boat
バス [basu]	bus
自動車 [jidoushiya]	car
曲がり [magari]	curve
急行列車 [kiyuukouretushiya]	express
飛行 [hikou]	flight
旅行 [riyokou]	journey
乗客 [jiyoukiyaku]	passenger
飛行機 [hikouki]	plane
船 [fune]	ship
レール	track
列車 [retushiya]	train
運搬 [unpan]	transport
俳優 [haiyuu]	actor
女優 [jiyoyuu]	actress
実業家 [jitsugiyouka]	businessman
専門家 [senmonka]	expert
将軍 [shiyougun]	general
ジャーナリスト	journalist
裁判官 [saibankan]	judge
指揮者 [shikishiya]	leader
大臣 [daijin]	minister
音楽家 [ongatuka]	musician
写真家 [shiyashinka]	photographer
パイロット [pairotuto]	pilot
警察官 [keisatsukan]	policeman
政治家 [seijika]	politician
大統領 [daitouriyou]	president
プロ [puro]	professional
セールスマン	representative
水夫 [suifu]	sailor
科学者 [kagakushiya]	scientist
秘書 [hishiyo]	secretary
召使 [meshitsukai]	servant
軍人 [gunjin]	soldier
作家 [satuka]	writer
堤防 [teibou]	bank
浜 [hama]	beach
流れ [nagare]	current
方向 [houkou]	direction
輿地 [yochi]	Earth
東 [hingashi]	east
高度 [koudo]	height
丘 [tsukasa]	hill
島 [tou]	island
湖 [mizuumi]	lake
陸地 [rikuchi]	land
地図 [chizu]	map
月 [tsuki]	Moon
北 [kita]	north
平原 [heigen]	plain
領域 [riyouiki]	region
川 [kawa]	river
海 [wata]	sea
南 [minami]	south
宇宙 [uchiyuu]	space
恒星 [kousei]	star
太陽 [taiyou]	sun
西 [sei]	west
雲 [kumo]	cloud
露 [tsuyu]	dew
霧 [kiri]	fog
霜 [shimo]	frost
雨 [ame]	rain
虹 [niji]	rainbow
雪 [yuki]	snow
嵐 [arashi]	storm
雷 [kaminari]	thunder
風 [kaze]	wind
酸 [su]	acid
化学薬品 [kagakuyakuhin]	chemical
element 元素 [genso]	chemical
石炭 [sekitan]	coal
ほこり [hokori]	dust
地球 [chikiyuu]	earth
脂肪 [shibou]	fat
ガラス [garasu]	glass
接着剤 [setuchiyakuzai]	glue
粒子 [riyuushi]	grain
氷 [koori]	ice
黒金 [kurogane]	iron
革 [tsukurikawa]	leather
液体 [ekitai]	liquid
物質 [butushitsu]	matter
