Japanese	﻿English
何でも [nandemo]	anything
皆さん [minnasan]	everybody
諸事万端 [shiyojibantan]	everything
彼 (かれ, káre), あの人 (あのひと, ano hito)	he
彼女 [kanojiyo]	her
彼の [kano]	his
それ [sore]	it
我が [waga]	my
我が [waga]	our
彼奴 [kiyatsu]	she
その (sonó), あの (anó)	that
彼らの	their
この [kono]	these
奴等 [yatsura]	they
此の [kono]	this
身共 [midomo]	we
何 [nani]	what
何時 [nanji]	when
何の [nanno]	which
何の [nanno]	which
誰 [tare]	who
誰 [tare]	whose
(familiar) 君 (きみ, kimi), (polite) 貴方 (あなた, anata), (dialect) 自分 (jibun), (usu. feminine or older male speaker) あんた (anta), (feminine to young male) 僕 (boku), (friendly or slightly rude) お前 (おまえ, omae), (highly insulting) 貴様 (きさま, kisama), (polite) そちら	you
