Japanese	﻿English
ある [aru]	be
始める [hajimeru]	begin
こわす [kowasu]	break
買う [kau]	buy
閉める [shimeru]	close
来る [kuru]	come
切る [kiru]	cut
踊る [odoru]	dance
用いる [mochiiru]	do
描く [kaku]	draw
飲む [nomu]	drink
食べる [taberu]	eat
落ちる [ochiru]	fall
見つける [mitsukeru]	find
撃つ [utsu]	fire
飛ぶ [tobu]	fly
ついていく [tsuiteiku]	follow
忘れる [wasureru]	forget
得る [uru]	get
与える [ataeru]	give
生む [umu]	have
聞く [kiku]	hear
手伝う [tetsudau]	help
望む [nozomu]	hope
はずむ [hazumu]	jump
笑う [warau]	laugh
学ぶ [manabu]	learn
横たわる [yokotawaru]	lie
好きだ	like
聞く [kiku]	listen
見る [miru]	look
失う [ushinau]	lose
愛する [aisuru]	love
出会う [deau]	meet
動く [ugoku]	move
取る [toru]	need
申し出る [moushideru]	offer
開ける [hirakeru]	open
支払う [shiharau]	pay
遊ぶ [asubu]	play
引く [hiku]	pull
押す [osu]	push
置く [oku]	put
読む [yomu]	read
思い出す [omoidasu]	remember
走る [hashiru]	run
言う [yuu]	say
売る [uru]	sell
歌う [utau]	sing
すわる [suwaru]	sit
ほほえむ [hohoemu]	smile
取る [toru]	take
しゃべる [shiyaberu]	talk
飲み込む [nomikomu]	understand
用いる [mochiiru]	use
待つ [matsu]	wait
書く [kaku]	write
受取る [uketoru]	accept
罪する [tsumisuru]	accuse
なしとげる [nashitogeru]	achieve
寄せる [yoseru]	add
認める [shitatameru]	admit
差し響く [sashihibiku]	affect
同じる [doujiru]	agree
許す [yurusu]	allow
知らせる [shiraseru]	announce
言い合う [iiau]	argue
来る [kuru]	arrive
尋ねる [tazuneru]	ask
襲う [osou]	attack
避ける [yokeru]	avoid
暮らす [kurasu]	be
運ぶ [hakobu]	bear
倒す [taosu]	beat
齎らす [motarasu]	bring
建てる [tateru]	build
呼び出す [yobidasu]	call
運ぶ [hakobu]	carry
受け止める [uketomeru]	catch
来たす [kitasu]	cause
変わる [kawaru]	change
選ぶ [erabu]	choose
並べ替え [narabekae]	classify
たとえる [tatoeru]	compare
含む [kukumu]	contain
続ける [tsuzukeru]	continue
制する [seisuru]	control
コピー, 転送	copy
押しつぶす [oshitsubusu]	crush
泣く [naku]	cry
決める [kimeru]	decide
画く [kaku]	describe
仕組む [shikumu]	design
欲する [hotusuru]	desire
死ぬ [shinu]	die
論じる [ronjiru]	discuss
割る [waru]	divide
疑う [utagau]	doubt
含む [kukumu]	embrace
励ます [hagemasu]	encourage
終える [oeru]	end
高める [takameru]	enhance
楽しむ [tanoshimu]	enjoy
入る [iru]	enter
設ける [moukeru]	establish
見積もる [mitsumoru]	estimate
超える [koeru]	exceed
求める [motomeru]	expect
戦う [tatakau]	fight
満たす [mitasu]	fill
見つける [mitsukeru]	find
仕上げる [shiageru]	finish
許す [yurusu]	forgive
許す [yurusu]	free
育つ [sodatsu]	grow
起こる [okoru]	happen
憎む [nikumu]	hate
隠す [kakusu]	hide
含む [kukumu]	include
増える [fueru]	increase
傷付ける [kizutsukeru]	injure
つなぐ [tsunagu]	join
つかむ [tsukamu]	keep
ける [keru]	kick
殺す [korosu]	kill
もつ [motsu]	last
導く [michibiku]	lead
任せる [makaseru]	leave
上げる [ageru]	lift
限る [kagiru]	limit
見える [mieru]	look
失う [ushinau]	lose
取り計らう [torihakarau]	manage
縁付く [enzuku]	marry
合う [ou]	match
志す [kokorozasu]	mean
測る [hakaru]	measure
述べる [noberu]	mention
見過す [misugosu]	miss
呼ぶ [yobu]	name
言い渡す [iiwatasu]	order
擁する [yousuru]	own
on 引き渡す [hikiwatasu]	pass
磨く [migaku]	polish
調える [totonoeru]	prepare
押しつける [oshitsukeru]	press
防ぐ [fusegu]	prevent
刷る [suru]	print
扱う [atsukau]	process
証拠立てる [shiyoukodateru]	prove
発行 [hatukou]	publish
育てる [sodateru]	raise
着く [tsuku]	reach
受取る [uketoru]	receive
書き記す [kakishirusu]	record
切り下げる [kirisageru]	reduce
映す [utsusu]	reflect
断わる [kotowaru]	refuse
取り除く [torinozoku]	remove
返す [kaesu]	render
答える [kotaeru]	reply
届け出る [todokederu]	report
表わす [arawasu]	represent
頼む [tanomu]	request
敬う [uyamau]	respect
明らかにする [akirakanisuru]	reveal
賭ける [kakeru]	risk
治める [osameru]	rule
貯める [tameru]	save
救い出す [sukuidasu]	save
見る [miru]	see
眺める [nagameru]	see
送る [okuru]	send
勤める [tsutomeru]	serve
縫う [nuu]	sew
叫ぶ [sakebu]	shout
見せる [miseru]	show
匂う [niou]	smell
臭う [niou]	smell
過ごす [sugosu]	spend
立つ [tatsu]	stand
居残る [inokoru]	stay
盗む [nusumu]	steal
止める [yameru]	stop
学ぶ [manabu]	study
耐え忍ぶ [taeshinobu]	suffer
言い出す [iidasu]	suggest
備える [sonaeru]	supply
舐める [nameru]	taste
教える [oshieru]	teach
試みる [kokoromiru]	test
投げる [nageru]	throw
仕込む [shikomu]	train
行く [yuku]	travel
扱う [atsukau]	treat
試みる [kokoromiru]	try
回す [mawasu]	turn
訪れる [otozureru]	visit
歩く [aruku]	walk
暖める [atatameru]	warm
洗う [arau]	wash
眺める [nagameru]	watch
履く [haku]	wear
勝つ [katsu]	win
