English	Korean
about	주위에 [juwie]
above	...보다 높이
again	다시 한 번 [dasi han beon]
almost	거의 [geoui]
along	...을 따라서
already	이전에 [ijeone]
always	항상 [hangsang]
approximately	대략 [daeryak]
behind	뒤에 [dwie]
between	사이에 [saie]
directly	바로 [baro]
down	아래로 [araero]
early	초기에 [chogie]
either	양쪽의 [yangjjokui]
enough	충분한 [chungbunhan]
exactly	바로 [baro]
finally	결국 [gyeolguk]
first	맨 처음 [maen cheoeum]
generally	대체로 [daechero]
here	이 점에서 [i jeomeseo]
here	이리로 [iriro]
however	그럼에도 불구하고 [geureomedo bulguhago]
immediately	곧 [got]
indeed	정말로 [jeongmalro]
inside	...의 안쪽에
instead	대신에 [daesine]
least	가장 적게 [gajang jeokge]
little	적은 [jeokeun]
merely	단지 [danji]
more	더 (deo)
not	...아니다
obviously	분명하게 [bunmyeonghage]
often	자주 [jaju]
once	일찌기 [iljjigi]
particularly	특히 [teukhi]
please	제발 (jebal)
possibly	아마 [ama]
quickly	빨리 [ppalri]
really	정말로 [jeongmalro]
really	대단히 [daedanhi]
recently	최근에 [choegeune]
slowly	느리게 [neurige]
so	그와 같이 [geuwa gati]
sometimes	이따금 [ittageum]
soon	곧 [got]
still	여전히 [yeojeonhi]
such	그러한 [geureohan]
suddenly	갑자기 (gapjagi), 급격하게 (gapgyeokhage)
surely	틀림없이 [teulrimeopti]
then	그 때 [geu ttae]
there	이봐 [ibwa]
therefore	그 결과 [geu gyeolgwa]
today	오늘 [oneul]
together	함께 [hamkke]
tomorrow	내일 [naeil]
tonight	오늘밤 [oneulbam]
too	또한 [ttohan]
up	위에 (wie), 위로 (wiro)
usually	보통 [botong]
very	정말로 [jeongmalro]
well	기분좋은 [gibunjoheun]
why	왜 [wae]