English	Korean
black	흑인의 [heukinui]
blue	푸른 [pureun]
brown	갈색의 [galsaekui]
gray	회색의 [hoesaekui]
green	익지 않은 [ikji anheun]
orange	주황색 (朱黃色], juhwangsaek) (noun)
pink	분홍 [bunhong]
red	빨강 [ppalgang]
violet	보랏빛이다 [boratbicida]
white	흰 [huin]
yellow	노랗다 [norahda]
couple	한 쌍 [han ssang]
eight	여덟 [yeodeolp]
eighteen	18세의
eighty	80의
eleven	열하나 (yeolhana), 11 (sipil)
fifteen	15의
fifty	50의
five	5
forty	40의
four	4의
fourteen	14의
million	백만 [baekman]
nine	9의
nineteen	19의
ninety	90의
nothing	영 [yeong]
one	하나의 [hanaui]
seventeen	열일곱 (yeolilgop), 십칠 [十七] (sipchil)
seventy	70의
six	여섯 [yeoseot]
sixteen	16의
sixty	60의
ten	10의
thirteen	13
thirty	30의
thousand	1000
thousand	천 [cheon]
three	셋 [set]
twenty	스물 (seumul)
two	둘 (dul) / 두 (du), 이 (二)
arm	팔 [pal]
back	백 [baek]
beak	부리 [buri]
blood	혈액 [hyeolaek]
body	몸통 [momtong]
bone	골격 [golgyeok]
brain	뇌 [noe]
breath	숨 [sum]
cell	세포 [sepo]
chest	가슴 [gaseum]
chest	가슴 [gaseum]
chin	아래턱 [araeteok]
ear	귀 [gwi]
eye	눈 [nun]
face	얼굴 [eolgul]
finger	장갑의 손가락 [janggapui songarak]
foot	발 [bal]
forehead	이마 [ima]
gene	유전(인)자
hair	머리카락 [meorikarak]
hair	털 [teol]
hand	손 [son]
head	머리 [meori]
heart	심장 [simjang]
knee	무릎 [mureup]
leg	다리 [dari]
lip	입술 [ipsul]
mouth	입 [ip]
muscle	근육 [geunyuk]
nail	손톱 [sontop]
neck	목 [mok]
nerve	신경 [singyeong]
nose	코 [ko]
skin	피부 [pibu]
stomach	위 [wi]
tail	꼬리 [kkori]
throat	인후 [inhu]
thumb	엄지 손가락 [eomji songarak]
toe	발가락 [balgarak]
tongue	혀 [hyeo]
tooth	치아 [chia]
wing	부속 건물 [busok geonmul]
ant	개미 [gaemi]
bear	곰 [gom]
bee	꿀벌 [kkulbeol]
bird	새 [sae]
cat	고양이 [goyangi]
cow	암소 [amso]
dog	개 [gae]
elephant	코끼리 [kokkiri]
fish	어류 [eoryu]
fly	파리 [pari]
goat	염소 [yeomso]
horse	말 [mal]
insect	곤충 [gonchung]
lion	골프장 [golpeujang]
monkey	원숭이 [wonsungi]
pig	돼지 [dwaeji]
sheep	양 [yang]
snake	뱀 [baem]
afternoon	오후 [ohu]
age	노령 [noryeong]
April	4월
August	팔월 [palwol]
autumn	가을 [gaeul]
beginning	시작 [sijak]
century	100년
day	하루 [haru]
December	12월
evening	밤 [bam]
February	2월
Friday	금요일 [geumyoil]
future	미래 [mirae]
hour	한 시간 [han sigan]
January	1월
July	7월
June	6월
May	오월 [owol]
midnight	자정 [jajeong]
minute	분 [bun]
moment	모먼트
moment	찰나 [chalna]
Monday	월요일 [wolyoil]
month	달 [dal]
morning	아침 [achim]
night	밤 [bam]
November	11월
now	지금 [jigeum]
October	10월
past	과거 [gwageo]
pause	막간 [makgan]
period	기간 [gigan]
present	현재 [hyeonjae]
Saturday	토요일 [toyoil]
season	철 [cheol]
second	초 [cho]
September	9월
spring	봄 [bom]
summer	하계 [hagye]
Sunday	일요일 [ilyoil]
Thursday	목요일 [mokyoil]
tomorrow	내일 [naeil]
Tuesday	화요일 [hwayoil]
Wednesday	수요일 [suyoil]
week	주 [ju]
while	동안 [dongan]
winter	겨울 [gyeoul]
year	해 [hae]
bread	빵 [ppang]
breakfast	아침 식사 [achim siksa]
butter	버터 [beoteo]
cake	케이크 [keikeu]
cheese	치즈 [chijeu]
chocolate	초콜릿 [chokolrit]
egg	알 [al]
food	음식 [eumsik]
fruit	열매 [yeolmae]
lunch	가벼운 식사 [gabyeoun siksa]
meal	식사 [siksa]
meat	고기 [gogi]
oil	기름 [gireum]
rice	쌀 (ssal) (uncooked), 밥 (bab) (cooked)
salad	샐러드 [saelreodeu]
salt	소금 [sogeum]
sandwich	샌드위치 [saendeuwichi]
sauce	소스 [soseu]
soup	수프 [supeu]
sugar	설탕 [seoltang]
sweet	단맛 [danmat]
beer	맥주 [maekju]
coffee	커피 [keopi]
drink	음료 [eumryo]
milk	밀크 [milkeu]
milkshake	밀크셰이크 [milkeusyeikeu]
tea	차 [cha]
water	물 [mul]
wine	포도주 [podoju]
apple	사과 [sagwa]
apricot	살구 [salgu]
banana	바나나 [banana]
blackberry	검은딸기 [geomeunttalgi]
cherry	버찌 [beojji]
lemon	레몬, lemon
nut	견과 [gyeongwa]
orange	오렌지 [orenji]
peach	복숭아 [boksunga]
pear	배 [bae]
pineapple	파인애플 [painaepeul]
plum	서양 자두 [seoyang jadu]
raspberry	나무딸기 [namuttalgi]
strawberry	딸기 [ttalgi]
bean	콩 [kong]
cabbage	양배추 [yangbaechu]
carrot	당근 [danggeun]
cucumber	오이 [oi]
garlic	마늘 [maneul]
olive	올리브 열매 [olribeu yeolmae]
onion	양파 [yangpa]
parsnip	설탕당근 [seoltangdanggeun]
potato	감자 [gamja]
radish	무 [mu]
tomato	토마토 [tomato]
baby	젖먹이 [jeotmeoki]
birth	탄생 [tansaeng]
birthday	생일 [saengil]
boy	사내아이 [sanaeai]
brother	형제 [hyeongje]
daughter	딸 [ttal]
death	죽음 [jukeum]
family	패밀리 [paemilri]
father	아버지 [abeoji]
friend	친구 [chingu]
girl	아가씨 [agassi]
grandfather	조부 [jobu]
human	사람 [saram]
husband	남편 [nampyeon]
man	남자 [namja]
marriage	결혼 생활 [gyeolhon saenghwal]
mother	어머니 [eomeoni]
neighbor	이웃 사람 [iut saram]
parent	부 또는 모 [bu ttoneun mo]
person	사람 [saram]
relationship	관계 [gwangye]
sister	자매 [jamae]
son	아들 [adeul]
wedding	결혼 (gyeolhon)
wedding	결혼 [gyeolhon]
wife	아내 [anae]
woman	여자 [yeoja]
address	주소 [juso]
bathroom	화장실 [hwajangsil]
bedroom	침실 [chimsil]
brick	벽돌 [byeokdol]
door	문 [mun]
floor	바닥 [badak]
floor	마루 [maru]
garage	차고 [chago]
garden	정원 [jeongwon]
