English	Korean
break	부서지다 [buseojida]
buy	사다 [sada]
close	닫다 [datda]
come	오다 [oda]
cut	베다 [beda]
dance	춤추다 [chumchuda]
do	사용하다 [sayonghada]
draw	그리다 [geurida]
drink	마시다 [masida]
eat	먹다 [meokda]
fall	떨어지다 [tteoleojida]
find	우연히 눈에 띄다 [uyeonhi nune ttuida]
fire	발사하다 [balsahada]
fly	날다 [nalda]
follow	이해하다 [ihaehada]
forget	잊다 [itda]
get	병에 걸리다 [byeonge geolrida]
give	주다 [juda]
have	소유하다 [soyuhada]
hear	듣다 [deutda]
help	돕다 [dopda]
hope	기대하다 [gidaehada]
jump	뛰다 [ttwida]
kiss	키스하다 (kiseu hada), 입맞추다 (im-matchuda)
laugh	웃다 [utda]
learn	배우다 [baeuda]
lie	눕다 [nupda]
lie	거짓말하다 [geojitmalhada]
like	마음에 들다 [maeume deulda]
listen	경청하다 [gyeongcheonghada]
look	바라보다 [baraboda]
lose	벗어나다 [beoteonada]
love	사랑하다 [saranghada]
make	하다 (hada)
meet	우연히 만나다 [uyeonhi mannada]
move	움직이다 [umjikida]
need	필요로 하다 [pilyoro hada]
offer	권하다 [gwonhada]
open	열다 [yeolda]
pay	지불하다 [jibulhada]
play	놀다 [nolda]
pull	끌어당기다 [kkeuleodanggida]
push	밀다 [milda]
put	놓다 [nohda]
read	읽다 [ilkda]
remember	상기하다 [sanggihada]
run	달리다 [dalrida]
say	...이라고 말하다
sell	...을 팔다
sing	노래하다 [noraehada]
sit	앉다 [antda]
smile	미소짓다 [misojitda]
swim	수영하다 (suyeonghada)
take	받다 [batda]
talk	말하다 [malhada]
understand	이해하다 (ihaehada)
use	적용하다 [jeokyonghada]
wait	기다리다 [gidarida]
write	쓰다 [sseuda]
accept	받다 [batda]
accuse	고소하다 [gosohada]
achieve	이루다 [iruda]
act	행하다 [haenghada]
admit	인정하다 [injeonghada]
agree	의견이 일치하다 [uigyeoni ilchihada]
announce	발표하다 [balpyohada]
argue	논쟁하다 [nonjaenghada]
arrive	도착하다 [dochakhada]
ask	질문하다 [jilmunhada]
attack	공격하다 [gonggyeokhada]
avoid	피하다 [pihada]
be	살아 있다 [sala itda]
bear	나르다 [nareuda]
beat	...을 정복하다
become	...이 되다
believe	믿다 [mitda]
benefit	도움이 되다 [doumi doeda]
bring	초래하다 [choraehada]
build	짓다 [jitda]
call	전화하다 [jeonhwahada]
carry	운반하다 [unbanhada]
change	바뀌다 [bakkwida]
choose	선택하다 [seontaekhada]
classify	분류하다 [bunryuhada]
clean	깨끗해지다 [kkaekkeuthaejida]
compare	비유하다 [biyuhada]
contain	속에 담다 [soke damda]
continue	계속하다 [gyesokhada]
control	지배하다 [jibaehada]
cook	요리하다 [yorihada]
copy	복사하다 [boksahada]
cough	기침하다 [gichimhada]
crush	압착하다 [apchakhada]
cry	소리내어 울다 [sorinaeeo ulda]
decide	결정하다 [gyeoljeonghada]
describe	표현하다 [pyohyeonhada]
design	설계하다 [seolgyehada]
desire	...을 원하다
die	죽다 [jukda]
discover	발견하다 [balgyeonhada]
discuss	토론하다 [toronhada]
divide	갈라지다 [galrajida]
doubt	의심하다 [uisimhada]
drive	운전하다 [unjeonhada]
embrace	포함하다 [pohamhada]
encourage	용기를 북돋다 [yonggireul bukdotda]
end	끝나다 [kkeutnada]
enhance	강화하다 [ganghwahada]
enjoy	즐기다 [jeulgida]
enter	들어가다 [deuleogada]
establish	설립하다 [seolriphada]
estimate	어림잡다 [eorimjapda]
exceed	초과하다 [chogwahada]
exist	존재하다 [jonjaehada]
expect	기다리다 [gidarida]
explain	설명하다 [seolmyeonghada]
fight	싸우다 [ssauda]
fill	가득 채우다 [gadeuk chaeuda]
find	알아내다 [alanaeda]
free	자유롭게 하다 [jayuropge hada]
give	up 항복하다 (hangbokhada)
grow	자라다 [jarada]
happen	일어나다 [ileonada]
hate	몹시 싫어하다 [mopsi silheohada]
hide	숨기다 [sumgida]
hold	잡다 [japda]
identify	식별하다 [sikbyeolhada]
include	포함하다 [pohamhada]
increase	증대하다 [jeungdaehada]
injure	상처 입히다 [sangcheo iphida]
introduce	소개하다 [sogaehada]
join	연결하다 [yeongyeolhada]
keep	유지하다 [yujihada]
kick	차다 [chada]
kill	죽이다 [jukida]
land	상륙하다 [sangryukhada]
last	견디다 [gyeondida]
lead	안내하다 [annaehada]
leave	놓고 가다 [nohgo gada]
let	허락하다 [heorakhada]
lift	들다 [deulda]
limit	한정하다 [hanjeonghada]
load	충전하다 [chungjeonhada]
lock	자물쇠를 채우다 [jamulsoereul chaeuda]
look	...인 것 같다
lose	잃다 [ilhda]
manage	경영하다 [gyeongyeonghada]
marry	결혼하다 [gyeolhonhada]
match	어울리다 [eoulrida]
mean	...할 작정이다
measure	재다 [jaeda]
mention	말하다 [malhada]
miss	놓치다 [nohchida]
name	...을 ...이라고 부르다
own	소유하다 [soyuhada]
pass	on 넘겨주다 [neomgyeojuda]
peel	껍질을 벗기다 [kkeopjileul beotgida]
