Korean	﻿English
부서지다 [buseojida]	break
사다 [sada]	buy
닫다 [datda]	close
오다 [oda]	come
베다 [beda]	cut
춤추다 [chumchuda]	dance
사용하다 [sayonghada]	do
그리다 [geurida]	draw
마시다 [masida]	drink
먹다 [meokda]	eat
떨어지다 [tteoleojida]	fall
우연히 눈에 띄다 [uyeonhi nune ttuida]	find
발사하다 [balsahada]	fire
날다 [nalda]	fly
이해하다 [ihaehada]	follow
잊다 [itda]	forget
병에 걸리다 [byeonge geolrida]	get
주다 [juda]	give
소유하다 [soyuhada]	have
듣다 [deutda]	hear
돕다 [dopda]	help
기대하다 [gidaehada]	hope
뛰다 [ttwida]	jump
키스하다 (kiseu hada), 입맞추다 (im-matchuda)	kiss
웃다 [utda]	laugh
배우다 [baeuda]	learn
눕다 [nupda]	lie
거짓말하다 [geojitmalhada]	lie
마음에 들다 [maeume deulda]	like
경청하다 [gyeongcheonghada]	listen
바라보다 [baraboda]	look
벗어나다 [beoteonada]	lose
사랑하다 [saranghada]	love
하다 (hada)	make
우연히 만나다 [uyeonhi mannada]	meet
움직이다 [umjikida]	move
필요로 하다 [pilyoro hada]	need
권하다 [gwonhada]	offer
열다 [yeolda]	open
지불하다 [jibulhada]	pay
놀다 [nolda]	play
끌어당기다 [kkeuleodanggida]	pull
밀다 [milda]	push
놓다 [nohda]	put
읽다 [ilkda]	read
상기하다 [sanggihada]	remember
달리다 [dalrida]	run
...이라고 말하다	say
...을 팔다	sell
노래하다 [noraehada]	sing
앉다 [antda]	sit
미소짓다 [misojitda]	smile
수영하다 (suyeonghada)	swim
받다 [batda]	take
말하다 [malhada]	talk
이해하다 (ihaehada)	understand
적용하다 [jeokyonghada]	use
기다리다 [gidarida]	wait
쓰다 [sseuda]	write
받다 [batda]	accept
고소하다 [gosohada]	accuse
이루다 [iruda]	achieve
행하다 [haenghada]	act
인정하다 [injeonghada]	admit
의견이 일치하다 [uigyeoni ilchihada]	agree
발표하다 [balpyohada]	announce
논쟁하다 [nonjaenghada]	argue
도착하다 [dochakhada]	arrive
질문하다 [jilmunhada]	ask
공격하다 [gonggyeokhada]	attack
피하다 [pihada]	avoid
살아 있다 [sala itda]	be
나르다 [nareuda]	bear
...을 정복하다	beat
...이 되다	become
믿다 [mitda]	believe
도움이 되다 [doumi doeda]	benefit
초래하다 [choraehada]	bring
짓다 [jitda]	build
전화하다 [jeonhwahada]	call
운반하다 [unbanhada]	carry
바뀌다 [bakkwida]	change
선택하다 [seontaekhada]	choose
분류하다 [bunryuhada]	classify
깨끗해지다 [kkaekkeuthaejida]	clean
비유하다 [biyuhada]	compare
속에 담다 [soke damda]	contain
계속하다 [gyesokhada]	continue
지배하다 [jibaehada]	control
