English	Latin
black	niger
blue	caeruleus (m), caerulea (f)
brown	fuscus
green	viridis
pink	roseus
white	albus
yellow	flavus
couple	par
eight	octo
eighteen	duodeviginti
eighty	octoginta
eleven	undecim
fifteen	quindecim
fifty	quinquaginta
five	quinque
forty	quadraginta
fourteen	quattuordecim
million	decies centena milia
nine	novem
nineteen	undeviginti
ninety	nonaginta
nothing	nihil
one	unus (m), una (f)
seventeen	septendecim
seventy	septuaginta
six	sex
sixteen	sedecim
sixty	sexaginta
ten	decem
thirteen	tredecim
thirty	triginta
thousand	mille
thousand	mille
three	tres
twenty	viginti
two	duo
arm	brachium
back	tergum
beak	rostrum
blood	sanguis (nom.), sanguis (gen.)
body	truncus
bone	os (nom.), ossis (gen.)
brain	cerebrum
breath	spiritus
cell	cella
chest	pectus (nom.), pectoris (gen.)
chest	pectus (nom.), pectoris (gen.)
chin	mentum
ear	auris (nom.), auris (gen.)
eye	oculus
face	facies
finger	digitus
foot	pes (nom.), pedis (gen.)
forehead	frons (nom.), frontis (gen.)
hair	capillus
hand	manus
head	caput (nom.), capitis (gen.)
heart	cor (nom.), cordis (gen.)
knee	genu (nom.), genus (gen.)
leg	crus (nom.), cruris (gen.)
lip	labrum
mouth	os (nom.), oris (gen.)
muscle	musculus
nail	unguis (nom.), unguis (gen.)
neck	cervix (nom.), cervicis (gen.)
nerve	nervus
nose	nasus
skin	cutis (nom.), cutis (gen.)
stomach	stomachus
tail	cauda
throat	pharynx
thumb	pollex (nom.), pollicis (gen.)
tongue	lingua
tooth	dens (nom.), dentis (gen.)
wing	ala
ant	formica
bear	ursus {m}, ursa {f}
bee	apis (nom.), apis (gen.)
bird	avis (nom.), avis (gen.)
cat	feles, felis (nom.)
cow	bos (nom.), bovis (gen.)
dog	canis (nom.), canis (gen.)
elephant	elephantus
fish	piscis (nom.), piscis (gen.)
fly	musca
goat	capra
horse	equus
insect	insecta
lion	leo (nom.), leonis (gen.)
monkey	simia
pig	porcus, sus (nom.)
sheep	ovis (nom.), ovis (gen.)
snake	serpens (nom.), serpentis (gen.)
afternoon	meridianus
age	aetas
April	Aprilis
August	Augustus
autumn	autumnus
beginning	initium
century	saeculum
date	dies
day	dies
December	December
end	finis
evening	vesper
February	Februarius
Friday	Dies Veneris
future	futurum
hour	hora
January	Ianuarius
July	Iulius
June	Iunius
May	Maius
minute	minutus
Monday	Dies lunae
month	mensis
morning	mane
night	nox
November	November
now	nunc
October	October
pause	abscissio
period	aetas
Saturday	Dies Saturni
season	tempora anni
second	secundum
September	September
spring	ver
summer	aestas
Sunday	Dies solis
Thursday	Dies Iovis
tomorrow	cras
Tuesday	Dies Martis
Wednesday	Dies Mercurii
week	hebdomas
while	aliquatenus
winter	hiems
year	annus
bread	panis
breakfast	ientaculum
butter	butyrum
cake	crustum
cheese	caseus
chocolate	socolata
egg	ovum
food	cibus
fruit	fructus
lunch	prandium
meal	epulae
meat	caro
oil	oleum
rice	oryza
salt	sal
sauce	embamma
soup	ius
sugar	saccharum
sweet	dulcedo
beer	cervisia
coffee	coffeum
drink	potio
milk	lac
tea	thea
water	aqua
wine	vinum
apple	malum
apricot	malum Armeniacum
banana	musa
blackberry	morum
cherry	cerasum
nut	nux
orange	citrus sinensis
peach	Malum persicum
pear	pirum
pineapple	Ananas sativus
plum	prunum
raspberry	rubus
strawberry	fragum
bean	fasiolum
cabbage	brassica
carrot	carota
cucumber	cucumer
garlic	alium
olive	olea
onion	cepa
radish	raphanus
tomato	lycopersicum
baby	infans
birth	natio
birthday	dies natalis
boy	puer
brother	frater
child	infans
daughter	filia
death	mors
family	familia
father	pater
friend	amicus
girl	puella
grandfather	avus
human	homo sapiens
husband	maritus
man	vir
marriage	matrimonium
mother	mater
neighbor	vicinus
parent	parens
person	homo
relationship	cognatio
sister	soror
son	filius
wedding	Hymen
wedding	matrimonium
wife	uxor
woman	femina
address	appellare
bathroom	lavacrum
bedroom	cubiculum
brick	later
door	porta
floor	solum
floor	tabulatio
garden	hortus
gate	porta
home	domus
house	domus
kitchen	culina
roof	tectum
room	aedes
shower	pluvia
step	gradus
wall	murus
well	puteus
window	fenestra
bed	lectus
carpet	tapetum
chair	sella
cupboard	armarium
curtain	velum
furniture	supellex
shelf	pluteus
table	mensa
boot	calceus
cloth	tela
clothing	vestis
jewel	gemma
ring	anulus
shoe	calceus
air	aer
animal	animal
branch	stipes
evolution	evolutio
farm	ager
field	ager
fire	flamma
flower	flos
forest	silva
grass	gramen
leaf	folium
life	biota
lightning	fulmen
moisture	umor
nature	natura
plant	planta
root	radix
sky	caelum
sleep	somnus
smell	odor
spring	fons
stem	festuca
stream	amnis
tree	arbor
wave	unda
weather	status caeli
world	mundus
airport	aeroportus
bank	argentaria
bridge	pons
building	aedificium
capital	caput
castle	castellum
church	ecclesia
cinema	cinemateum
city	civitas
flat	aedes
hospital	valetudinarium
hotel	deversorium
library	bibliotheca
park	hortus
prison	phylaca
restaurant	caupona
road	via
school	schola
station	constituo
street	via
structure	constructio
supermarket	-
theater	theatrum
town	urbs
village	vicus
accident	casus
boat	cumba
bus	laophorium
car	autocinetum
journey	via
passenger	viator
plane	aeroplanum
ship	navis
train	hamaxostichus (new)
transport	transportatio
actor	actor
actress	mima
businessman	negotiator (nom.), negotiatoris (gen.)
expert	peritus
general	dux
judge	iudex
leader	dux
minister	minister
musician	musicus
pilot	gubernator
president	praesidens (nominative), praesidentis (genitive)
representative	vicarius
sailor	nauta
secretary	scriba
servant	famulus
soldier	miles
writer	scriptor
bank	crepido
beach	litus
current	amnis
direction	gubernatio
Earth	Terra
east	oriens
height	altitudo
hill	collis
island	insula
lake	lacus
land	humus
map	tabula
Moon	luna
north	septentriones
plain	planum
region	pars
river	flumen
sea	mare
south	meridianus
space	capacitas
star	astrum
sun	sol
west	vesper
cloud	nubes
dew	ros
fog	nebula
frost	pruina
rain	pluvia
rainbow	arcus
snow	nix
storm	tempestas
thunder	tonitrus
wind	ventus
acid	acidum
chemical element	elementum
coal	carbo
dust	pulvis
earth	humus
glass	vitrum
glue	gluten
grain	mica
ice	glacies
iron	ferrum
leather	corium
liquid	liquor
matter	materia
metallic element	metallum
oil	crudus
poison	venenum
powder	pulvis
sand	arena
silk	bombyx
soap	sapo
steel	chalybs
wood	lignum
bag	saccus
basket	fiscus
cup	poculum
envelope	theca
plate	lanx
bell	campana
hammer	malleus
hook	hamus
key	clavis
lock	claustrum
nail	clavus
needle	acus
rope	chorda
stamp	signum
whip	flagellum
addition	additio
angle	angulus
area	area
center	centrum
circle	circulus
degree	aquus
difference	discrimen
distance	distantia
division	discrimen
edge	ora
element	elementum
half	dimidium
limit	finis
line	linea
net	rete
outside	deforis
percent	per centum
purpose	officium
result	exitus
rule	principatus
set	copia
side	latus
square	quadratum
square	quadratus
surface	superficies
act	actus
action	factum
activity	actio
addition	additio
amount	quantitas
attack	lacesso
attempt	conatus
behavior	mos
bit	assula
blow	aspirare
campaign	expeditio
case	causa
chance	opportunitas
change	vicis
choice	electio
condition	causa
damage	injuria
danger	periculum
death	letum
decoration	decus
destruction	eversio
drop	gutta
duty	officium
effort	labor
fall	decido
feature	proprius
fight	colluctatio
front	frons
hole	foramen
increase	incrementum
increase	augmen
internet	interrete
knot	nodus
list	album
matter	res
mind	mens
opposite	contrarietas
part	pars
part	pars
personality	persona
piece	frustum
place	locus
position	locus
power	potestas
practice	exercitatio (nom.), exercitationis (gen.)
project	propositum
property	possessio
quality	qualitas
quiet	tranquillitas
responsibility	auctoritas
rest	otium
return	reditus
rise	ascensio
risk	periculum
seat	locus
silence	silentium
situation	condicio
slice	fragmentum
step	passus
taste	gustus (m)
thing	quendam
top	cacumen
treatment	cura
tremble	horror
trick	ars
use	consumptio
way	modus
whole	universitas
will	voluntas
wish	desiderium
art	ars (nom.), artis (gen.)
artist	artifex
brush	peniculus
color	colores
concert	acroama
diversity	distantia
entertainment	oblectatio (nom.), oblectationis (gen.)
ink	atramentum
manner	modus
movie	cinematographia (new)
museum	museum
music	musica
note	sonus
orchestra	orchestra
paint	color
painting	tabula, pictura
paper	charta
pen	stilus
pencil	plumbum
picture	imago
poem	poema
poetry	poesis
rhythm	numerus
shape	forma
singer	cantor
song	carmen (nom.), carminis (gen.)
stage	scaena
style	stilus
account	ratio
advantage	utilitas
advertisement	proscriptio (nom.), proscriptionis (gen.)
advice	consilium
agreement	pactum
attention	intentio
authority	auctoritas
banknote	-
bargain	pactum
business	causa
businesswoman	negotiatrix (nom.), negotiatricis (gen.)
committee	mandatum
competition	certatio
complaint	criminatio
contract	pactum
copy	copia
cost	sumptus
council	consilium
customer	cliens
demand	requirere
difficulty	difficultas
director	rector
experience	usus
firm	societas
group	classis
help	auxilium
holiday	feria
income	vectigal
industry	diligentia
job	negotium
law	lex
leave	commeatus
loss	calamitas
management	procuratio
mark	specimen
market	forum
material	materia
meeting	coitio
money	pecunia
occupation	negotium
offer	oblatio
office	officium
owner	possessor
package	fascis
payment	pensio
plan	consilium
price	sumptus
problem	quaestio
product	genimen
profit	compendium
property	proprietas
rest	reliquum
reward	merces
right	ius
sale	venditio
section	sectio
service	officium
share	pars
shop	taberna
show	spectaculum
success	felix exitus
support	firmamentum
tax	tributum
trade	commercium
value	pretium
work	opera
worker	operarius
announcement	pronuntiatio
answer	responsum
approval	approbatio
book	liber
character	character
controversy	iurgium
cry	ululatus
decision	exitus
dictionary	lexicon
discussion	disputatio
doubt	dubitatio
feeling	sensus
humor	festivitas
idea	cogitatio
information	informatio
interest	fenus
interview	colloquium
language	lingua
letter	littera
letter	epistula
lie	mendacium
mail	cursus publicus
memory	memoria
memory	memoria
mistake	error
name	nomen
number	numerus
opinion	opinio
page	pagina
pronunciation	pronuntiatio
proposal	propositio
question	interrogatio
reason	causa
request	postulatio
secret	secretum
sign	signum
speech	lingua
standard	modificatio
subject	argumentum
suggestion	propositio
voice	vox
word	verbum
writing	scriptura
good luck	bona fortuna, felicitas
hello	salve, salve
how are you	quid agis?
