Latin	﻿English
malus	bad
pulcher	beautiful
optimus, (m)	best
melius	better
grandis	big
mundus	clean
frigidus	cold
emendatus	correct
obscurus	dark
acer	difficult
sordidus	dirty
firmus	fast
bonus	good
grandis	great
felix	happy
saluber	healthy
ponderosus	heavy
alte	high
calidus	hot
gravis	important
sinister	left
levis	light
longus	long
novus	new
bonus	nice
patens	open
dexter (m), dextra (f)	right
acutus	sharp
similis	similar
lentus	slow
malacus	soft
pollens	strong
debilis	weak
acidus	acid
totus	all
quisquis	any
amarus	bitter
molestus	boring
candidus	bright
fractus (m), fracta (f)	broken
certus	certain
vilis	cheap
clarus	clear
clausus	closed
communis	common
communis	common
expletus	complete
barbarus	cruel
amnis	current
acutus	dangerous
lacrimabilis	deplorable
dissimilis	different
deorsum	down
siccus	dry
omnis	each
facilis	easy
aequus	equal
campester	even
omnis	every
egregius	excellent
falsus	fake
falsus	false
nitidus	fat
pinguis	fat
pervicax	firm
planus	flat
posterus	following
allophylus	foreign
antiquus	former
fragilis	fragile
eripio	free
celeber	frequent
recens	fresh
plenus	full
plenus	full
posterus	future
dux	general
ultimus	last
sero	late
legalis	legal
liquidus	liquid
humilis	low
fortunatus	lucky
cardinalis	main
multi	many
militaris	military
magis	more
angustus	narrow
naturalis	natural
necessarius	necessary
nullus	no
contrarietas	opposite
archetypus	original
alius	other
parallelos	parallel
personalis	personal
corporeus	physical
inops	poor
possibilis	possible
praesens	present
privatus	private
probabilis	probable
publicus	public
quies quietis	quiet
promptus	ready
recens	recent
ordinarius	regular
rigidus	rigid
crudus	rough
rotundus	round
idem	same
secundus	second
latens	secret
separatus	separate
serius	serious
brevis	short
quietus	silent
argenteus	silver
simplex	simple
simplex	single
parvus	small
teres	smooth
firmus	solid
tenuis	sparse
specialis	special
quadratus	square
rectus	straight
alienus	strange
subitus	sudden
creber	thick
angustus	tight
verus	true
turpis	ugly
insolitus	unusual
vulgaris	usual
multiplex	various
vapor	warm
humens	wet
integer	whole
