Latin	﻿English
fere	about
supra	above
denuo	again
quasi	almost
iam	already
semper	always
fere	approximately
ut	as
inter	between
rectus	directly
deorsum	down
mane	early
satis	enough
etiam	even
exacte	exactly
primus	first
protinus	forward
universe	generally
hac	here
autem	however
protinus	immediately
in	in
serus	late
postquam	later
paucus	little
modo	merely
amplius	more
numquam	never
non	not
nunc	now
sape	often
quondam	once
extra	outside
praesertim	particularly
fortasse	possibly
fortasse	probably
cito	quickly
reapse	really
enim	really
nuper	recently
lente	slowly
sic	so
singularis	solely
aliquando	sometimes
mox	soon
etiam	still
sic	such
subito	suddenly
certe	surely
tum	then
illic	there
igitur	therefore
hodie	today
simul	together
cras	tomorrow
etiam	too
sursum	up
valde	very
bene	well
