English	Lithuanian
black	juoduma
blue	mėlynas
brown	rudas
gray	pilkas
green	žalias
orange	oranžinis
pink	rausvas
red	raudonas
violet	purpurinis
white	balta
yellow	geltona
eight	aštuoni
eighteen	aštuoniolika
eighty	aštuoniasdešimt
eleven	vienuolika
fifteen	penkiolika
fifty	penkiasdešimt
five	penki
forty	keturiasdešimt
four	keturi
fourteen	keturiolika
million	milijonas
nine	devyni
nineteen	devyniolika
ninety	devyniasdešimt
nothing	niekas
one	vienas
seventy	septyniasdešimt
six	šeši
sixteen	šešiolika
sixty	šešiasdešimt
ten	dešimt
third	trečias
thirteen	trylika
thirty	trisdešimt
thousand	tūkstantis
thousand	tūkstantis (m)
three	trys
two	du, du
arm	ranka
back	nugara
beak	snapas
blood	kraujas
body	kūnas
bone	kaulas
brain	smegenys
breath	kvapas
cell	ląstelė
chest	krūtinė
chest	krūtinė
chin	smakras
ear	ausis
eye	akis
face	veidas
finger	pirštas
foot	pėda
forehead	kakta
gene	genas
hair	plaukas
hand	pagalba
head	galva
heart	širdis
knee	*kelis??
leg	koja
lip	lūpa
mouth	burna
muscle	raumuo
nail	nagas
neck	kaklas
nerve	nervas
nose	nosis
skin	oda
stomach	skrandis
tail	uodega
throat	gerklė
thumb	nykštys
tongue	liežuvis
tooth	dantis
wing	sparnas
ant	skruzdėlė
bear	lokys
bee	bitė
bird	paukštis
cat	katinas
cow	karvė
dog	šuo
elephant	dramblys
fish	žuvys
fly	musė (f)
goat	ožka
horse	arklys
insect	vabzdys
lion	liūtas
monkey	beždžionė
pig	kiaulė
sheep	avis
snake	gyvatė
afternoon	popietė
age	amžius
April	Balandis
August	rugpjūtis
autumn	ruduo
beginning	pradžia
century	šimtmetis
date	data
day	diena
December	Gruodis
evening	vakaras
February	Vasaris
Friday	Penktadienis
future	ateitis
hour	valanda
January	Sausis
July	Liepa
June	Birželis
May	gegužės mėnuo
midnight	vidurnaktis
minute	minutė
moment	momentas
moment	momentas
Monday	Pirmadienis
month	mėnuo
morning	rytas
night	naktis
November	Lapkritis
October	Spalis
past	praeitis
pause	pertrauka
period	laikotarpis
Saturday	Šeštadienis
season	sezonas
second	sekundė
September	Rugsėjis
spring	pavasaris
summer	vasara
Sunday	Sekmadienis
Thursday	Ketvirtadienis
tomorrow	rytojus
Tuesday	Antradienis
Wednesday	Trečiadienis
week	savaitė
weekend	savaitgalis
while	valandėlė
winter	žiema
year	metai
bread	duona
breakfast	pusryčiai
butter	sviestas
cake	pyragas
cheese	sūris
chocolate	šokoladas
egg	kiaušinis
food	maistas
fruit	vaisius
lunch	priešpiečiai
meal	valgymas
meat	mėsa
oil	aliejus
rice	ryžiai
salad	mišrainė
salt	druska
sandwich	sumuštinis
sauce	padažas
soup	sriuba
sugar	cukrus
beer	alus
coffee	kava
drink	gėrimas
milk	pienas
tea	arbata
water	vanduo
wine	vynas
apple	obuolys
apricot	abrikosas
banana	bananas
blackberry	gervuogė
cherry	trešnė
lemon	citrina
nut	riešutas
orange	apelsinas
peach	persikas
pear	kriaušė
pineapple	ananasas
plum	slyva
raspberry	avietė
strawberry	žemuogė
bean	pupa
cabbage	kopūstas
carrot	morka
cucumber	agurkas
garlic	česnakas
olive	alyvos
onion	svogūnas
parsnip	paprastasis pastarnokas
potato	bulvė
radish	valgomasis ridikas
tomato	pomidoras
baby	kūdikis
boy	berniukas
brother	brolis
daughter	duktė
death	mirtis
family	šeima
father	tėvas
friend	draugas
girl	mergaitė
grandfather	senelis
human	žmogus
husband	vyras
life	gyvenimas
man	vyras
marriage	santuoka
mother	motina
neighbor	kaimynas
parent	tėvas
person	asmuo
relationship	draugystė
sister	sesuo
son	sūnus
wedding	vestuvės
wife	žmona
woman	moteris
address	adresas
bathroom	tualetas
bedroom	miegamasis
brick	plyta
door	durys
floor	grindys
floor	aukštas
garage	garažas
garden	sodas
gate	vartai
hall	fojė
house	namas
kitchen	virtuvė
roof	stogas
room	kambarys
shower	dušas
step	laiptelis
toilet	tualetas
wall	siena
well	šulinys
window	langas
bed	lova
carpet	kilimas
chair	kėdė
cupboard	spinta
curtain	užuolaida
furniture	baldai
seat	vieta
shelf	lentyna
sink	kriauklė
table	stalas
bag	tašė
boot	batas
cloth	audinys
clothing	apranga
coat	paltas
collar	apykaklė
hat	skrybėlė
jacket	striukė
jewel	perlas
ring	žiedas
shirt	marškiniai
shoe	batas
skirt	sijonas
sock	puskojinė
suitcase	lagaminas
tie	kaklaraištis
air	oras
animal	gyvulys
branch	šaka
evolution	raida
farm	ferma
field	laukas
fire	ugnis
flower	žiedas
forest	miškas
grass	žolė
leaf	lapas
life	gyvybė
lightning	žaibas
moisture	drėgmė
nature	gamta
plant	augalas
root	šaknis
sex	lytis
sky	dangus
sleep	miegas
smell	kvapas
spring	šaltinis
stem	kotas
stream	srovė
tree	medis
wave	banga
weather	oras
world	pasaulis
airport	aerouostas
bank	bankas
bridge	tiltas
building	pastatas
capital	sostinė
castle	pilis
church	bažnyčia
cinema	kinoteatras
city	miestas
factory	fabrikas
flat	butas
hospital	ligoninė
hotel	viešbutis
library	biblioteka
park	parkas
prison	kalėjimas
restaurant	restoranas
road	kelias
school	mokykla
station	būstinė
street	gatvė
structure	statyba
subway	metro
supermarket	didelė universalinė parduotuvė
theater	teatras
town	miestas
university	universitetas
village	kaimas
accident	avarija
boat	valtis
bus	autobusas
car	automobilis
curve	lankstas
express	skubus
flight	skrydis
