Lithuanian	﻿English
kitas	another
blogas	bad
pradinis	basic
gražus	beautiful
verčiau	better
didelis	big
švarus	clean
šaltas	cold
teisingas	correct
tamsus	dark
kietas	difficult
greitas	fast
geras	good
didžiulis	great
nuostabus	great
laimingas	happy
sunkus	heavy
karštas	hot
svarbus	important
kairys	left
lengvas	light
naujas	new
malonus	nice
tikras	real
dešinys	right
geras	sharp
panašus	similar
lėtas	slow
minkštas	soft
silpnas	weak
negeras	wrong
prieš	ago
automatinis	automatic
kartus	bitter
nuobodus	boring
tikras	certain
pigus	cheap
cheminis	chemical
aiškus	clear
įprastas	common
bendras	common
pilnas	complete
žiaurus	cruel
pavojingas	dangerous
gležnas	delicate
liūdnas	deplorable
skirtingas	different
skirtingas	different
žemyn	down
sausas	dry
kiekvienas	each
ankstyvas	early
lengvas	easy
ekonominis	economic
ekonomiškas	economic
elektrinis	electric
lygus	equal
lyginis	even
lygus	even
kiekvienas	every
puikus	excellent
toli	far
riebus	fat
didžiulis	fat
nedaug	few
galutinis	final
finansinis	financial
tvirtas	firm
plokščias	flat
kitas	following
užsieninis	foreign
trapus	fragile
dažnas	frequent
šviežias	fresh
sotus	full
bendras	full
toliau	further
bendras	general
pramoninis	industrial
įdomus	interesting
tarptautinis	international
paskutinis	last
legalus	legal
skystas	liquid
vietinis	local
garsus	loud
žemas	low
laimingas	lucky
pagrindinis	main
pagrindinis	major
daugelis	many
metalinis	metal
karinis	military
smulkus	minute
dar	more
daug	much
siauras	narrow
natūralus	natural
būtinas	necessary
gretimas	next
numeris	no
normalus	normal
kitas	opposite
pirminis	original
kitas	other
savas	own
lygiagretus	parallel
ypatingas	particular
ankstesnis	past
asmeninis	personal
fizinis	physical
politinis	political
vargšas	poor
galimas	possible
dabartinis	present
ankstesnis	previous
privatus	private
galimas	probable
profesinis	professional
viešas	public
ramus	quiet
gatavas	ready
lygus	regular
atsakingas	responsible
kietas	rigid
grubus	rough
apvalus	round
saugus	safe
antras	second
atskiras	separate
rimtas	serious
keli	several
trumpas	short
tylus	silent
paprastas	simple
vienintelis	single
mažas	small
švelnus	smooth
kietas	solid
retas	sparse
atskiras	special
specifinis	specific
kvadratinis	square
standartinis	standard
lipnus	sticky
tiesus	straight
keistas	strange
stilingas	stylish
staigus	sudden
saldumynai	sweet
aukštas	tall
tankus	thick
plonas	thin
siauras	tight
bjaurus	ugly
po	under
nepaprastas	unusual
eilinis	usual
skirtingas	various
šiltas	warm
šlapias	wet
visas	whole
