Lithuanian	﻿English
ant	about
virš	above
vėl	again
beveik	almost
išilgai	along
jau	already
visuomet	always
apie	approximately
kaip	as
prieš	before
tarp	between
tiesioginis	directly
žemyn	down
abu	either
pakankamas	enough
taip	exactly
paskiausiai	finally
pirma	first
daugiausia	generally
čia	here
čia	here
tačiau	however
nedelsiant	immediately
į	in
viduje	inside
nedaug	little
tiktai	merely
niekada	never
ne	not
matyt	obviously
kažkada	once
lauke	outside
ypač	particularly
galbūt	possibly
tikriausiai	probably
taip	so
kartais	sometimes
netrukus	soon
dar	still
toks	such
tikriausiai	surely
paskui	then
todėl	therefore
šiandien	today
kartu	together
rytojus (m), rytdiena (f)	tomorrow
šiąnakt	tonight
į	up
labai	very
geras	well
